round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	4	5	0	0	0.000146	0.000105	0.000335	0.000082	0.000197	0.000089	0.000465	0.053870	0.052450	14385152	14581760	14585856	14585856	14585856	14585856	14585856	14585856	14585856	14647296	14647296	14647296	14647296	14516224	14581760	14585856	14585856	14585856	14585856	14585856	14585856	14585856	14647296	14647296	14647296	14647296
2	4	0	0	4	17	17	22	0	0	0.000130	0.000100	0.000223	0.000082	0.000000	0.000091	0.000436	0.001861	0.000800	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392
3	17	4	0	13	96	82	104	4	0	0.000130	0.000129	0.000220	0.000089	0.000000	0.000088	0.000446	0.001899	0.000797	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14655488	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14655488
4	82	24	0	58	510	447	551	28	0	0.000124	0.000282	0.000236	0.000127	0.000000	0.000112	0.000510	0.002246	0.000856	14655488	14655488	14655488	14655488	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14655488	14655488	14655488	14655488	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776
5	447	131	0	316	2509	1960	2511	159	0	0.000185	0.001074	0.000330	0.000301	0.000000	0.000297	0.000907	0.004032	0.000938	14671872	14671872	14684160	14684160	14757888	14757888	14766080	14766080	14766080	14766080	14766080	14766080	14766080	14671872	14671872	14684160	14684160	14757888	14757888	14766080	14766080	14766080	14766080	14766080	14766080	14766080
6	1960	687	2	1271	10840	7714	10225	846	2	0.000406	0.004187	0.000675	0.001479	0.000000	0.001407	0.002620	0.011811	0.001038	14766080	14766080	14794752	14794752	15142912	15142912	15159296	15159296	15687680	15687680	16216064	16216064	16080896	14766080	14766080	14794752	14798848	15142912	15142912	15159296	15159296	15687680	15687680	16216064	16216064	16080896
7	7714	3005	15	4694	43237	28583	38808	3851	17	0.001256	0.015401	0.001988	0.004996	0.000000	0.004359	0.007380	0.036434	0.001052	16084992	16084992	16191488	16191488	17928192	17928192	18509824	18509824	20611072	20611072	22183936	22183936	22056960	16084992	16084992	16191488	16191488	17928192	17928192	18509824	18509824	20611072	20611072	22183936	22183936	22056960
8	28583	10041	41	18501	169739	106762	145570	13892	58	0.003656	0.047365	0.007118	0.018196	0.000000	0.017492	0.026261	0.122329	0.002242	22056960	22056960	22388736	22388736	28438528	28438528	30748672	30748672	34947072	34947072	41238528	41238528	41578496	22056960	22056960	22388736	22388736	28438528	28438528	30748672	30748672	34947072	34947072	42622976	42622976	42622976
9	106762	41609	225	64928	610934	346184	491754	55501	283	0.015928	0.177686	0.026673	0.093689	0.000000	0.088568	0.144330	0.556496	0.009623	31088640	31088640	38686720	38686720	63193088	63193088	70877184	70877184	87658496	87658496	96047104	96047104	102461440	42622976	42622976	42622976	42622976	63193088	63197184	70877184	70877184	95375360	95375360	103776256	103776256	103776256
10	346184	128314	794	217076	2070403	1095851	1587605	183815	1077	0.074324	0.602880	0.101139	0.453803	0.000000	0.362006	0.602675	2.228416	0.031588	61321216	61321216	96006144	96006144	177139712	177139712	185561088	185561088	227848192	227848192	278179840	278179840	244867072	103776256	103776256	103776256	103776256	177139712	177139712	187936768	187936768	302604288	302604288	302604288	302604288	302604288
11	1095851	441814	4375	649662	6408513	2954532	4542137	625629	5452	0.229465	1.924253	0.450868	1.583403	0.000000	1.262300	2.030773	7.588346	0.107284	181698560	181698560	258899968	258899968	504729600	504729600	489308160	489308160	601489408	601489408	802816000	802816000	692232192	302604288	302604288	302604288	302604288	504729600	504729600	570777600	570777600	719208448	719208448	869462016	869462016	892903424
12	2954532	1185217	16239	1753076	17195492	7196129	11738266	1810846	21691	0.830101	5.101183	1.701308	4.616822	0.000000	3.553145	5.246320	21.222370	0.173491	635035648	635035648	803618816	803618816	1435279360	1449762816	1489727488	1489727488	1620602880	1620602880	1889038336	1889038336	1620598784	892903424	892903424	892903424	892903424	1435279360	1449762816	1723879424	1723879424	1891921920	1891921920	2156662784	2156662784	2156662784
13	5000000	2214729	44245	2741026	27422265	11357094	23095360	4025575	65936	1.204199	8.688490	3.736021	8.514084	0.000000	7.741625	10.886774	41.181999	0.410807	1486376960	1486376960	1671061504	1671061504	2520670208	2552877056	2557870080	2557870080	2875363328	2875363328	3412234240	3412234240	2937151488	2156662784	2156662784	2156662784	2156662784	2520670208	2552877056	2940526592	2940526592	3362652160	3362652160	3948445696	3948445696	3948445696
14	5000000	2236829	45253	2717918	26977701	10174884	33270244	6262404	111189	1.272718	8.871925	1.849277	8.540890	0.000000	10.852166	11.031801	42.896632	0.477854	2684833792	2684833792	2856312832	2856312832	3490750464	3508645888	3552124928	3552124928	3873177600	3873177600	3873177600	3873177600	3428630528	3948445696	3948445696	3948445696	3948445696	3948445696	3948445696	3948445696	3948445696	4357001216	4357001216	4409520128	4409520128	4409520128
15	5000000	2195337	53595	2751068	26848481	9058460	42328704	8457741	164784	1.273262	8.958488	4.065285	8.667015	0.000000	17.007270	10.686923	51.135195	0.476952	3107176448	3107176448	3296555008	3296555008	3937312768	3954876416	3977084928	3977084928	4299169792	4299169792	5372911616	5372911616	4925259776	4409520128	4409520128	4409520128	4409520128	4409520128	4409520128	4409520128	4409520128	4781977600	4781977600	6446190592	6446190592	6446190592
16	5000000	2252172	55792	2692036	26350521	7482185	49810889	10709913	220576	1.300087	8.944211	2.201017	8.506573	0.000000	15.707848	8.431564	45.475107	0.383806	4607787008	4607787008	4803969024	4803969024	5366636544	5384650752	5430509568	5430509568	5756579840	5756579840	5488144384	5488144384	5263523840	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592
17	5000000	2305888	72367	2621745	25629841	8554769	58365658	13015801	292943	1.332280	9.000992	4.339121	10.386499	0.000000	15.459544	7.225830	48.106687	0.362420	4986052608	4986052608	5183021056	5183021056	5681319936	5699768320	5753319424	5753319424	6622023680	6622023680	6622023680	6622023680	5551902720	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	6446190592	7363276800	7363276800	7363276800	7363276800	7363276800
18	5000000	2369764	69626	2560610	25081714	6752199	65117857	15385565	362569	1.348335	8.991533	2.344125	8.133615	0.000000	19.653130	8.688384	49.598117	0.438995	5309276160	5309276160	5506494464	5506494464	6057766912	6076723200	6080090112	6080090112	6416310272	6416310272	6147874816	6147874816	5971591168	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800
19	5000000	2465082	88694	2446224	23805973	5713899	70831756	17850647	451263	1.314051	8.831450	4.398147	7.770177	0.000000	20.639714	4.951835	48.246593	0.341219	5675048960	5675048960	5871312896	5871312896	6317481984	6337208320	6394662912	6394662912	6741086208	6741086208	6472650752	6472650752	6181179392	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800
20	5000000	2511597	97219	2391184	23274099	5619357	76451113	20362244	548482	1.420329	8.769200	2.266505	7.603413	0.000000	22.018814	5.248687	47.681574	0.354626	5962141696	5962141696	6161543168	6161543168	6615674880	6635769856	6667034624	6667034624	7017713664	7017713664	6749278208	6749278208	6499717120	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7363276800	7471497216	7471497216	7471497216	7471497216	7471497216
