round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	4	4	5	0	0	0.000140	0.000101	0.000340	0.000080	0.000200	0.000160	0.000086	0.000074	0.000396	0.051996	0.050581	14381056	14581760	14581760	14581760	14581760	14581760	14581760	14581760	14581760	14643200	14643200	14643200	14643200	14647296	14516224	14581760	14581760	14581760	14581760	14581760	14581760	14581760	14581760	14643200	14643200	14643200	14643200	14647296
2	4	0	0	4	17	17	17	22	0	0	0.000106	0.000098	0.000224	0.000079	0.000000	0.000163	0.000076	0.000087	0.000369	0.001848	0.000809	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296	14647296
3	17	4	0	13	96	83	82	104	4	0	0.000141	0.000125	0.000221	0.000086	0.000000	0.000176	0.000094	0.000082	0.000373	0.001892	0.000769	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392	14651392
4	82	24	0	58	510	451	447	551	28	0	0.000135	0.000272	0.000237	0.000125	0.000000	0.000201	0.000099	0.000102	0.000457	0.002248	0.000821	14655488	14655488	14655488	14655488	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14655488	14655488	14655488	14655488	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776	14667776
5	447	131	0	316	2509	2052	1960	2511	159	0	0.000185	0.001051	0.000337	0.000295	0.000000	0.000602	0.000348	0.000254	0.000877	0.004213	0.000866	14667776	14667776	14680064	14680064	14753792	14753792	14761984	14761984	14761984	14761984	14761984	14761984	14761984	14761984	14667776	14667776	14680064	14680064	14753792	14753792	14761984	14761984	14761984	14761984	14761984	14761984	14761984	14761984
6	1960	687	2	1271	10840	8275	7714	10225	846	2	0.000408	0.004255	0.000680	0.001565	0.000000	0.002185	0.001450	0.000735	0.002218	0.012211	0.000900	14766080	14766080	14794752	14794752	15138816	15138816	15155200	15155200	15683584	15683584	15683584	16076800	16076800	16072704	14766080	14766080	14794752	14794752	15138816	15138816	15155200	15155200	15683584	15683584	15683584	16076800	16076800	16072704
7	7714	3005	15	4694	43237	31717	28583	38808	3851	17	0.000982	0.012638	0.001891	0.005055	0.000000	0.008144	0.005682	0.002462	0.007548	0.037193	0.000936	16072704	16072704	16179200	16179200	17920000	17920000	18497536	18497536	20598784	20598784	20619264	21819392	21819392	22339584	16072704	16072704	16179200	16179200	17920000	17920000	18497536	18497536	20598784	20598784	22020096	22020096	22020096	22339584
8	28583	10041	41	18501	169739	118773	106762	145570	13892	58	0.003523	0.046757	0.006935	0.019687	0.000000	0.033709	0.021137	0.012572	0.027634	0.140561	0.002315	22343680	22343680	22675456	22675456	28954624	28954624	31264768	31264768	35463168	35463168	35618816	44011520	44011520	42487808	22343680	22343680	22675456	22675456	28954624	28954624	31264768	31264768	35463168	35463168	39047168	44011520	44011520	43479040
9	106762	41609	225	64928	610934	402725	346184	491754	55501	283	0.015714	0.174388	0.026939	0.092073	0.000000	0.166205	0.114386	0.051820	0.143827	0.628653	0.009506	32792576	32792576	38682624	38682624	63188992	63188992	70873088	70873088	87654400	87654400	90624000	84328448	84328448	104546304	43479040	43479040	43479040	43479040	63188992	63188992	70873088	70873088	95244288	95244288	106983424	106983424	106983424	106983424
10	346184	128314	794	217076	2070403	1288420	1095851	1587605	183815	1077	0.074521	0.595215	0.098496	0.456518	0.000000	0.684364	0.444321	0.240042	0.621157	2.562352	0.032081	67678208	67678208	99758080	99758080	180895744	180895744	190865408	190865408	233152512	233152512	224632832	291745792	291745792	258187264	106983424	106983424	106983424	106983424	180895744	180895744	191602688	191602688	307908608	307908608	307908608	307908608	307908608	307908608
11	1095851	441814	4375	649662	6408513	3753533	2954532	4542137	625629	5452	0.217576	1.899409	0.467487	1.594645	0.000000	2.334396	1.540222	0.794173	2.192241	8.812742	0.106988	214913024	214913024	259235840	259235840	505065472	505065472	491728896	491728896	603553792	603553792	603553792	804880384	804880384	662970368	307908608	307908608	307908608	307908608	505065472	505065472	572801024	572801024	721272832	721272832	804225024	871526400	871526400	918601728
