round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000131	0.000095	0.000308	0.000076	0.000234	0.000156	0.000083	0.000073	0.000426	0.051372	0.049947	22810624	23007232	23007232	23007232	23007232	23007232	23011328	23011328	23011328	23138304	23138304	23138304	23138304	23138304	22941696	23007232	23007232	23007232	23007232	23007232	23011328	23011328	23011328	23138304	23138304	23138304	23138304	23138304
2	4	0	0	4	17	0	17	22	0	0	0	0.000105	0.000095	0.000213	0.000075	0.000000	0.000140	0.000071	0.000070	0.000414	0.001799	0.000756	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400
3	17	4	0	13	96	0	82	104	0	4	0	0.000105	0.000129	0.000213	0.000074	0.000000	0.000136	0.000069	0.000068	0.000416	0.001838	0.000764	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400
4	82	24	0	58	510	0	447	551	0	28	0	0.000118	0.000281	0.000254	0.000074	0.000000	0.000136	0.000068	0.000068	0.000422	0.002042	0.000756	23146496	23146496	23146496	23146496	23150592	23150592	23154688	23154688	23154688	23154688	23154688	23154688	23154688	23154688	23146496	23146496	23146496	23146496	23150592	23150592	23154688	23154688	23154688	23154688	23154688	23154688	23154688	23154688
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000166	0.001072	0.000319	0.000074	0.000000	0.000138	0.000070	0.000069	0.000802	0.003393	0.000821	23158784	23158784	23158784	23158784	23216128	23216128	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23158784	23158784	23158784	23158784	23216128	23216128	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000392	0.004282	0.000672	0.000097	0.000000	0.000154	0.000077	0.000077	0.002517	0.009093	0.000979	23220224	23220224	23232512	23232512	23449600	23449600	23465984	23465984	23465984	23465984	23465984	23465984	23465984	23465984	23220224	23220224	23232512	23232512	23449600	23449600	23465984	23465984	23465984	23465984	23465984	23465984	23465984	23855104
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001423	0.017081	0.002439	0.000086	0.000000	0.000159	0.000082	0.000077	0.008378	0.030734	0.001167	23470080	23470080	23863296	23863296	24735744	24735744	25313280	25313280	25313280	25313280	25313280	25313280	25313280	25542656	23855104	23855104	23863296	23863296	24735744	24735744	25313280	25313280	25313280	25313280	25313280	25313280	25313280	27525120
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.003954	0.049494	0.007530	0.000099	0.000000	0.000124	0.000058	0.000065	0.023716	0.086815	0.001897	25542656	25542656	26886144	26886144	31047680	31047680	33886208	33886208	33886208	33886208	33886208	33886208	33886208	34213888	27525120	27525120	27525120	27525120	31047680	31047680	33886208	33886208	33886208	33886208	33886208	33886208	33886208	38367232
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.014764	0.183945	0.027748	0.000067	0.000000	0.000116	0.000058	0.000058	0.106535	0.339484	0.006309	31117312	31117312	34103296	34103296	47984640	47984640	55664640	55664640	55664640	55664640	55664640	55664640	55664640	57909248	38367232	38367232	38367232	38367232	47984640	47984640	55664640	55664640	55664640	55664640	55664640	55664640	55664640	82935808
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.064712	0.733249	0.093398	0.000070	0.000000	0.000117	0.000059	0.000058	0.406650	1.330437	0.032242	47587328	47587328	70017024	70017024	147144704	147148800	149585920	149585920	149585920	149585920	149585920	149585920	149585920	175128576	82935808	82935808	82935808	82935808	147144704	147148800	150974464	150974464	150974464	150974464	150974464	150974464	150974464	208285696
