time_jst	freq_max_mhz	pkg_temp_c	throttle
2026-09-20T00:22:49	2594	52.0	0
2026-09-20T00:23:50	3395	58.0	0
2026-09-20T00:24:50	3280	60.0	0
2026-09-20T00:25:50	3500	63.0	0
2026-09-20T00:26:50	3500	67.0	0
2026-09-20T00:27:50	3406	68.0	0
2026-09-20T00:28:50	3492	67.0	0
2026-09-20T00:29:50	3435	69.0	0
2026-09-20T00:30:50	3492	70.0	0
2026-09-20T00:31:50	3492	71.0	0
2026-09-20T00:32:50	3492	71.0	0
2026-09-20T00:33:50	3492	72.0	0
2026-09-20T00:34:50	3453	70.0	0
2026-09-20T00:35:50	3293	70.0	0
2026-09-20T00:36:50	3492	71.0	0
2026-09-20T00:37:50	3398	69.0	0
