round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000144	0.000154	0.000297	0.000063	0.000221	0.000144	0.000071	0.000073	0.000402	0.044492	0.043066	23040000	23236608	23236608	23236608	23244800	23244800	23244800	23244800	23244800	23306240	23306240	23306240	23306240	23306240	23171072	23236608	23236608	23236608	23244800	23244800	23244800	23244800	23244800	23306240	23306240	23306240	23306240	23306240
2	4	0	0	4	17	0	17	22	0	0	0	0.000090	0.000131	0.000191	0.000074	0.000000	0.000112	0.000056	0.000056	0.000465	0.001718	0.000655	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336
3	17	4	0	13	96	0	82	104	0	4	0	0.000092	0.000123	0.000188	0.000071	0.000000	0.000110	0.000055	0.000055	0.000463	0.001721	0.000674	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432
4	82	24	0	58	510	0	447	551	0	28	0	0.000097	0.000166	0.000267	0.000089	0.000000	0.000131	0.000073	0.000058	0.000431	0.001875	0.000693	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23318528	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23318528
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000143	0.000415	0.000279	0.000068	0.000000	0.000119	0.000060	0.000059	0.000677	0.002476	0.000775	23322624	23322624	23322624	23322624	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23379968	23322624	23322624	23322624	23322624	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23379968
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000295	0.001213	0.000549	0.000068	0.000000	0.000119	0.000060	0.000059	0.002202	0.005155	0.000708	23384064	23384064	23384064	23384064	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23621632	23384064	23384064	23384064	23384064	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23855104
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001108	0.004516	0.001640	0.000069	0.000000	0.000118	0.000060	0.000058	0.007770	0.015967	0.000747	23621632	23621632	24027136	24027136	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24190976	25001984	23855104	23855104	24027136	24027136	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24190976	27066368
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.004464	0.017732	0.007140	0.000069	0.000000	0.000118	0.000059	0.000059	0.026785	0.057056	0.000749	25001984	25001984	27025408	27025408	27652096	27652096	28692480	28692480	28692480	28692480	28692480	28692480	28692480	30834688	27066368	27066368	27066368	27066368	27652096	27652096	28692480	28692480	28692480	28692480	28692480	28692480	28692480	35987456
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.015068	0.068210	0.026738	0.000101	0.000000	0.000111	0.000056	0.000054	0.113086	0.224240	0.000927	30834688	30834688	34631680	34631680	34484224	34484224	40660992	40660992	40660992	40660992	40660992	40660992	40660992	42692608	35987456	35987456	35987456	35987456	35987456	35987456	40660992	40660992	40660992	40660992	40660992	40660992	40660992	74747904
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.069259	0.296125	0.091315	0.000070	0.000000	0.000120	0.000060	0.000060	0.443263	0.904199	0.004046	42692608	42692608	72146944	72146944	95051776	95051776	95232000	95232000	95232000	95232000	95232000	95232000	95232000	116973568	74747904	74747904	74747904	74747904	95051776	95051776	100429824	100429824	100429824	100429824	100429824	100429824	100429824	180994048
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.216041	1.178096	0.421605	0.000071	0.000000	0.000122	0.000061	0.000061	1.641373	3.463008	0.005701	76881920	76881920	171225088	171225088	219242496	223064064	226156544	226156544	226156544	226156544	226156544	226156544	226156544	272244736	180994048	180994048	180994048	180994048	283119616	283119616	321712128	321712128	321712128	321712128	321712128	321712128	321712128	548450304
