round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000141	0.000182	0.000297	0.000079	0.000212	0.000155	0.000083	0.000072	0.000295	0.051308	0.049946	22671360	22867968	22867968	22867968	22937600	22937600	22937600	22937600	22937600	22999040	22999040	22999040	22999040	22999040	22867968	22867968	22867968	22867968	22937600	22937600	22937600	22937600	22937600	22999040	22999040	22999040	22999040	22999040
2	4	0	0	4	17	0	17	22	0	0	0	0.000106	0.000146	0.000224	0.000076	0.000000	0.000142	0.000070	0.000072	0.000294	0.001766	0.000778	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576
3	17	4	0	13	96	0	82	104	0	4	0	0.000105	0.000153	0.000236	0.000078	0.000000	0.000141	0.000071	0.000070	0.000296	0.001779	0.000771	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576
4	82	24	0	58	510	0	447	551	0	28	0	0.000103	0.000206	0.000258	0.000077	0.000000	0.000139	0.000069	0.000070	0.000385	0.001944	0.000775	23064576	23064576	23064576	23064576	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23064576	23064576	23064576	23064576	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000115	0.000468	0.000313	0.000084	0.000000	0.000154	0.000077	0.000076	0.000762	0.002758	0.000861	23068672	23068672	23068672	23068672	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23068672	23068672	23068672	23068672	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000119	0.001434	0.000690	0.000083	0.000000	0.000140	0.000070	0.000070	0.002447	0.005771	0.000859	23080960	23080960	23080960	23080960	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23080960	23080960	23080960	23080960	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000128	0.005138	0.001877	0.000081	0.000000	0.000142	0.000072	0.000071	0.009476	0.017752	0.000909	23130112	23130112	23130112	23130112	23293952	23293952	23687168	23687168	23687168	23687168	23687168	23687168	23687168	24526848	23130112	23130112	23130112	23130112	23293952	23293952	23687168	23687168	23687168	23687168	23687168	23687168	23687168	26148864
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000161	0.020122	0.007784	0.000101	0.000000	0.000153	0.000078	0.000075	0.032944	0.062185	0.000920	24526848	24526848	24526848	24526848	25260032	25260032	27881472	27881472	27881472	27881472	27881472	27881472	27881472	29167616	26148864	26148864	26148864	26148864	26148864	26148864	27881472	27881472	27881472	27881472	27881472	27881472	27881472	34713600
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000333	0.067034	0.024756	0.000083	0.000000	0.000118	0.000059	0.000059	0.116170	0.209559	0.001066	29167616	29167616	29212672	29212672	31129600	31129600	39350272	39350272	39350272	39350272	39350272	39350272	39350272	41218048	34713600	34713600	34713600	34713600	34713600	34713600	39796736	39796736	39796736	39796736	39796736	39796736	39796736	73850880
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.001210	0.269767	0.079579	0.000069	0.000000	0.000118	0.000059	0.000059	0.437441	0.791945	0.003762	41218048	41218048	41218048	41218048	87879680	87879680	90808320	90808320	90808320	90808320	90808320	90808320	90808320	113078272	73850880	73850880	73850880	73850880	87879680	87879680	97964032	97964032	97964032	97964032	97964032	97964032	97964032	180342784
