round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000138	0.000211	0.000292	0.000101	0.000216	0.000158	0.000084	0.000074	0.000283	0.053765	0.052365	22441984	22573056	22573056	22577152	22646784	22646784	22646784	22646784	22646784	22708224	22708224	22708224	22708224	22708224	22573056	22573056	22573056	22577152	22646784	22646784	22646784	22646784	22646784	22708224	22708224	22708224	22708224	22708224
2	4	0	0	4	17	0	17	22	0	0	0	0.000107	0.000147	0.000240	0.000078	0.000000	0.000146	0.000073	0.000073	0.000278	0.001812	0.000817	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760
3	17	4	0	13	96	0	82	104	0	4	0	0.000106	0.000158	0.000239	0.000077	0.000000	0.000142	0.000071	0.000071	0.000271	0.001821	0.000828	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760
4	82	24	0	58	510	0	447	551	0	28	0	0.000106	0.000227	0.000220	0.000076	0.000000	0.000143	0.000071	0.000072	0.000303	0.001885	0.000811	22773760	22773760	22773760	22773760	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22773760	22773760	22773760	22773760	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000106	0.000547	0.000226	0.000077	0.000000	0.000209	0.000108	0.000101	0.000308	0.002292	0.000819	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000132	0.001555	0.000358	0.000079	0.000000	0.000143	0.000072	0.000071	0.000430	0.003520	0.000822	22790144	22790144	22790144	22790144	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22790144	22790144	22790144	22790144	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000115	0.005548	0.000315	0.000080	0.000000	0.000144	0.000072	0.000073	0.001063	0.008148	0.000883	22839296	22839296	22839296	22839296	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23232512	22839296	22839296	22839296	22839296	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23396352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000273	0.020554	0.000682	0.000082	0.000000	0.000162	0.000089	0.000073	0.003453	0.026274	0.001068	23003136	23003136	23232512	23232512	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	25337856	23396352	23396352	23396352	23396352	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	26517504
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000612	0.065896	0.002461	0.000082	0.000000	0.000121	0.000061	0.000060	0.008428	0.078795	0.001194	24481792	24481792	25210880	25210880	29171712	29487104	29822976	29822976	29822976	29822976	29822976	29822976	29822976	29618176	26517504	26517504	26517504	26517504	29171712	29487104	31182848	31182848	31182848	31182848	31182848	31182848	31182848	37359616
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002145	0.262097	0.006938	0.000096	0.000000	0.000120	0.000060	0.000060	0.033909	0.307221	0.001915	26845184	26845184	32260096	32260096	69410816	70885376	78974976	78974976	78974976	78974976	78974976	78974976	78974976	97185792	37359616	37359616	37359616	37359616	80785408	80785408	80785408	80785408	80785408	80785408	80785408	80785408	80785408	97185792
