round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000156	0.000199	0.000317	0.000088	0.000246	0.000165	0.000092	0.000074	0.000328	0.053414	0.051914	22437888	22568960	22568960	22568960	22638592	22638592	22638592	22638592	22638592	22700032	22700032	22700032	22700032	22700032	22568960	22568960	22568960	22568960	22638592	22638592	22638592	22638592	22638592	22700032	22700032	22700032	22700032	22700032
2	4	0	0	4	17	0	17	22	0	0	0	0.000116	0.000157	0.000258	0.000089	0.000000	0.000142	0.000072	0.000071	0.000329	0.001897	0.000806	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568
3	17	4	0	13	96	0	82	104	0	4	0	0.000116	0.000162	0.000260	0.000087	0.000000	0.000142	0.000072	0.000071	0.000326	0.001898	0.000805	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568
4	82	24	0	58	510	0	447	551	0	28	0	0.000116	0.000213	0.000245	0.000087	0.000000	0.000143	0.000072	0.000071	0.000332	0.001945	0.000810	22765568	22765568	22765568	22765568	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22765568	22765568	22765568	22765568	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000114	0.000454	0.000254	0.000091	0.000000	0.000148	0.000076	0.000073	0.000419	0.002319	0.000839	22769664	22769664	22769664	22769664	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22769664	22769664	22769664	22769664	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952	22781952
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000120	0.001327	0.000288	0.000090	0.000000	0.000143	0.000072	0.000072	0.000426	0.003250	0.000856	22781952	22781952	22781952	22781952	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22781952	22781952	22781952	22781952	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104	22831104
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000130	0.004705	0.000332	0.000087	0.000000	0.000144	0.000072	0.000072	0.001126	0.007435	0.000911	22831104	22831104	22831104	22831104	22994944	22994944	22994944	22994944	22994944	22994944	22994944	22994944	22994944	23224320	22831104	22831104	22831104	22831104	22994944	22994944	22994944	22994944	22994944	22994944	22994944	22994944	22994944	23396352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000282	0.017878	0.000664	0.000074	0.000000	0.000114	0.000058	0.000057	0.002970	0.022912	0.000928	22994944	22994944	23224320	23224320	24477696	24477696	24477696	24477696	24477696	24477696	24477696	24477696	24477696	25329664	23396352	23396352	23396352	23396352	24477696	24477696	24477696	24477696	24477696	24477696	24477696	24477696	24477696	26517504
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000516	0.058780	0.002344	0.000091	0.000000	0.000130	0.000061	0.000069	0.008447	0.071526	0.001219	24473600	24473600	25202688	25202688	29163520	29478912	29814784	29814784	29814784	29814784	29814784	29814784	29814784	29609984	26517504	26517504	26517504	26517504	29163520	29478912	31182848	31182848	31182848	31182848	31182848	31182848	31182848	37359616
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002140	0.254565	0.007091	0.000080	0.000000	0.000119	0.000060	0.000059	0.033105	0.299064	0.001965	26836992	26836992	32251904	32251904	69402624	70877184	78966784	78966784	78966784	78966784	78966784	78966784	78966784	97177600	37359616	37359616	37359616	37359616	80785408	80785408	80785408	80785408	80785408	80785408	80785408	80785408	80785408	97177600
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002885	0.954196	0.030702	0.000100	0.000000	0.000119	0.000060	0.000059	0.103610	1.096971	0.005359	97177600	97177600	97202176	97202176	212733952	216559616	240062464	240062464	240062464	240062464	240062464	240062464	240062464	263786496	97177600	97177600	97202176	97202176	276385792	276385792	276385792	276385792	276385792	276385792	276385792	276385792	276385792	310624256
