round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000156	0.000176	0.000291	0.000078	0.000216	0.000153	0.000081	0.000071	0.000297	0.050434	0.049067	22614016	22745088	22745088	22745088	22814720	22814720	22814720	22814720	22814720	22876160	22876160	22876160	22876160	22876160	22745088	22745088	22745088	22745088	22814720	22814720	22814720	22814720	22814720	22876160	22876160	22876160	22876160	22876160
2	4	0	0	4	17	0	17	22	0	0	0	0.000105	0.000145	0.000225	0.000074	0.000000	0.000137	0.000068	0.000068	0.000326	0.001829	0.000817	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696
3	17	4	0	13	96	0	82	104	0	4	0	0.000104	0.000153	0.000222	0.000074	0.000000	0.000141	0.000070	0.000070	0.000308	0.001813	0.000811	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696
4	82	24	0	58	510	0	447	551	0	28	0	0.000100	0.000204	0.000235	0.000075	0.000000	0.000136	0.000068	0.000068	0.000430	0.001978	0.000799	22941696	22941696	22941696	22941696	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22941696	22941696	22941696	22941696	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000103	0.000451	0.000312	0.000083	0.000000	0.000139	0.000069	0.000070	0.000721	0.002650	0.000841	22945792	22945792	22945792	22945792	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22945792	22945792	22945792	22945792	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080	22958080
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000117	0.001416	0.000668	0.000080	0.000000	0.000140	0.000070	0.000070	0.002496	0.005786	0.000870	22958080	22958080	22958080	22958080	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232	22958080	22958080	22958080	22958080	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232	23007232
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000129	0.005033	0.001895	0.000087	0.000000	0.000154	0.000078	0.000076	0.009536	0.017749	0.000915	23007232	23007232	23007232	23007232	23171072	23171072	23564288	23564288	23564288	23564288	23564288	23564288	23564288	24403968	23007232	23007232	23007232	23007232	23171072	23171072	23564288	23564288	23564288	23564288	23564288	23564288	23564288	26148864
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000157	0.019286	0.006884	0.000077	0.000000	0.000132	0.000066	0.000066	0.028161	0.055544	0.000848	24403968	24403968	24403968	24403968	25137152	25137152	27758592	27758592	27758592	27758592	27758592	27758592	27758592	29061120	26148864	26148864	26148864	26148864	26148864	26148864	27758592	27758592	27758592	27758592	27758592	27758592	27758592	34709504
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000271	0.061330	0.022535	0.000104	0.000000	0.000124	0.000065	0.000059	0.114071	0.199469	0.001035	29061120	29061120	29106176	29106176	31023104	31023104	39260160	39260160	39260160	39260160	39260160	39260160	39260160	41123840	34709504	34709504	34709504	34709504	34709504	34709504	39825408	39825408	39825408	39825408	39825408	39825408	39825408	73879552
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.001332	0.277029	0.072293	0.000101	0.000000	0.000119	0.000060	0.000059	0.419449	0.774009	0.003686	41123840	41123840	41123840	41123840	87785472	87785472	90714112	90714112	90714112	90714112	90714112	90714112	90714112	112951296	73879552	73879552	73879552	73879552	87785472	87785472	97988608	97988608	97988608	97988608	97988608	97988608	97988608	179924992
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.008059	1.030033	0.344248	0.000089	0.000000	0.000115	0.000058	0.000058	1.593512	2.982011	0.005955	72855552	72855552	81498112	81498112	214556672	218382336	219365376	219365376	219365376	219365376	219365376	219365376	219365376	267276288	179924992	179924992	179924992	179924992	278216704	278216704	317960192	317960192	317960192	317960192	317960192	317960192	317960192	547676160
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.009034	2.538386	1.291598	0.000085	0.000000	0.000118	0.000059	0.000060	3.501493	7.352661	0.011946	243638272	243638272	243638272	243638272	444321792	453677056	462221312	462221312	462221312	462221312	462221312	462221312	462221312	497168384	547676160	547676160	547676160	547676160	564518912	564518912	788570112	788570112	788570112	788570112	788570112	788570112	788570112	851869696
13	5000000	2147497	37063	2815440	27991647	0	11278472	23016738	1	3958343	58754	0.040664	4.470855	2.226367	0.000084	0.000000	0.000117	0.000058	0.000059	6.576092	13.355206	0.041028	439599104	439599104	479600640	479600640	830926848	862597120	864968704	864968704	864968704	864968704	864968704	864968704	864968704	904687616	851869696	851869696	851869696	851869696	1096105984	1096105984	1280536576	1280536576	1280536576	1280536576	1280536576	1280536576	1280536576	1280536576
14	5000000	2144783	48360	2806857	27911844	0	10559098	33575836	1	6103126	107114	0.056509	5.204514	1.426450	0.000088	0.000000	0.000116	0.000057	0.000058	6.526708	13.236888	0.022503	679280640	679280640	719282176	719282176	1340108800	1357266944	1365786624	1365786624	1365786624	1365786624	1365786624	1365786624	1365786624	1412976640	1280536576	1280536576	1280536576	1280536576	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120
15	5000000	2093989	50824	2855187	27855496	0	8657354	42233190	0	8197115	157938	0.053010	3.648712	2.365797	0.000084	0.000000	0.000118	0.000059	0.000059	5.843859	11.939931	0.028352	1272905728	1272905728	1312907264	1312907264	1342164992	1358913536	1358893056	1358893056	1358893056	1358893056	1358893056	1358893056	1358893056	1476308992	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120
16	5000000	2281342	66324	2652334	26389917	0	7626562	49859752	0	10478457	224262	0.053951	3.617744	1.594296	0.000071	0.000000	0.000116	0.000058	0.000058	4.678229	9.975131	0.030725	1250058240	1250058240	1290059776	1290059776	1350410240	1368662016	1387773952	1387773952	1387773952	1387773952	1387773952	1387773952	1387773952	1490030592	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120
17	5000000	2282157	67692	2650151	25954537	0	8299026	58158778	0	12760614	291954	0.055286	3.751879	2.531558	0.000085	0.000000	0.000119	0.000059	0.000060	4.221182	10.580169	0.020058	1268310016	1268310016	1308311552	1308311552	1374031872	1394634752	1435918336	1435918336	1435918336	1435918336	1435918336	1435918336	1435918336	1458167808	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120
18	5000000	2397135	75807	2527058	24783385	0	6271839	64430617	0	15157749	367761	0.038557	3.596486	1.631026	0.000073	0.000000	0.000119	0.000060	0.000059	4.280149	9.578462	0.032052	1389232128	1389232128	1429233664	1429233664	1389232128	1408405504	1424723968	1424723968	1424723968	1424723968	1424723968	1424723968	1424723968	1537843200	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120	1912709120
19	5000000	2524458	85445	2390097	23087352	0	5827914	70258531	1	17682207	453206	0.054862	5.884941	2.523415	0.000113	0.000000	0.000117	0.000059	0.000059	4.599510	13.090057	0.027099	1305743360	1305743360	1345744896	1345744896	2465980416	2489806848	2530422784	2530422784	2530422784	2530422784	2530422784	2530422784	2530422784	2604351488	1912709120	1912709120	1912709120	1912709120	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
20	5000000	2582010	96920	2321070	22386986	0	5884890	76143421	0	20264217	550126	0.053377	3.215441	1.547091	0.000071	0.000000	0.000119	0.000059	0.000060	3.093448	7.929018	0.019471	2479509504	2479509504	2519511040	2519511040	2526588928	2547466240	2535288832	2535288832	2535288832	2535288832	2535288832	2535288832	2535288832	2569527296	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
21	5000000	2612984	103654	2283362	21809127	0	5535586	81679007	0	22877201	653780	0.038512	3.155918	2.366099	0.000084	0.000000	0.000128	0.000058	0.000069	3.206145	8.786911	0.020026	2516713472	2516713472	2556715008	2556715008	2516713472	2538082304	2538205184	2538205184	2538205184	2538205184	2538205184	2538205184	2538205184	2637574144	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
22	5000000	2395877	91520	2512603	23451821	0	6510223	88189230	0	25273078	745300	0.015761	3.336032	1.431548	0.000088	0.000000	0.000147	0.000058	0.000089	3.991418	8.793771	0.018776	2580475904	2580475904	2580475904	2580475904	2633359360	2652848128	2667851776	2667851776	2667851776	2667851776	2667851776	2667851776	2667851776	2685931520	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
23	5000000	2591085	103047	2305868	21648421	0	5017953	93207183	0	27864163	848347	0.015864	3.167214	2.245058	0.000113	0.000000	0.000118	0.000059	0.000060	3.761844	9.217447	0.027235	2616754176	2616754176	2616754176	2616754176	2616754176	2637484032	2580078592	2580078592	2580078592	2580078592	2580078592	2580078592	2580078592	2736025600	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
24	5000000	2749638	118571	2131791	19812644	0	4395823	97603006	0	30613801	966918	0.015866	3.066577	1.271181	0.000086	0.000000	0.000117	0.000058	0.000059	3.568798	7.944274	0.021648	2579156992	2579156992	2579156992	2579156992	2579156992	2601152512	2601459712	2601459712	2601459712	2601459712	2601459712	2601459712	2601459712	2710769664	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
25	5000000	2780312	122634	2097054	19263630	0	4349911	101952917	0	33394113	1089552	0.015983	3.072987	2.023489	0.000100	0.000000	0.000128	0.000059	0.000069	3.147683	8.281253	0.020883	2646282240	2646282240	2646282240	2646282240	2646282240	2668523520	2611052544	2611052544	2611052544	2611052544	2611052544	2611052544	2611052544	2719191040	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
26	5000000	2806867	135985	2057148	19204697	0	4881047	106833964	0	36200980	1225537	0.015842	3.149740	0.748641	0.000084	0.000000	0.000119	0.000060	0.000060	3.150732	7.093185	0.028026	2659901440	2659901440	2659901440	2659901440	2659901440	2682359808	2691792896	2691792896	2691792896	2691792896	2691792896	2691792896	2691792896	2752495616	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
27	5000000	2838995	149845	2011160	18744717	0	4504976	111338940	0	39039975	1375382	0.052660	3.176817	1.693154	0.000073	0.000000	0.000118	0.000059	0.000059	3.055737	8.004841	0.026282	2597163008	2597163008	2637164544	2637164544	2633203712	2656374784	2656501760	2656501760	2656501760	2656501760	2656501760	2656501760	2656501760	2748645376	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
28	5000000	2827744	156027	2016229	18559355	0	4385923	115724863	0	41867719	1531409	0.052713	3.199738	2.321870	0.000083	0.000000	0.000116	0.000058	0.000058	2.775145	8.370229	0.020563	2620461056	2620461056	2660462592	2660462592	2655551488	2679296000	2717794304	2717794304	2717794304	2717794304	2717794304	2717794304	2717794304	2756313088	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
29	5000000	2891130	168311	1940559	17822406	0	3920557	119645420	0	44758849	1699720	0.038517	3.113533	1.323912	0.000113	0.000000	0.000118	0.000058	0.000059	2.409482	6.906785	0.021110	2706849792	2706849792	2746851328	2746851328	2706849792	2729979904	2725023744	2725023744	2725023744	2725023744	2725023744	2725023744	2725023744	2790952960	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
30	5000000	3051038	177868	1771094	16298190	0	3638080	123283500	0	47809887	1877588	0.016520	3.007339	1.921146	0.000084	0.000000	0.000131	0.000058	0.000073	1.847216	6.809908	0.017472	2750124032	2750124032	2750124032	2750124032	2750124032	2774532096	2741915648	2741915648	2741915648	2741915648	2741915648	2741915648	2741915648	2800865280	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
31	5000000	3095787	185199	1719014	15736023	0	3572379	126855879	0	50905674	2062787	0.016396	2.991279	2.476120	0.000070	0.000000	0.000117	0.000058	0.000059	2.936794	8.442216	0.021441	2800865280	2800865280	2800865280	2800865280	2800865280	2825633792	2768261120	2768261120	2768261120	2768261120	2768261120	2768261120	2768261120	2886488064	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096	3612676096
