round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000128	0.000187	0.000274	0.000077	0.000205	0.000166	0.000093	0.000073	0.000278	0.049903	0.048588	22446080	22577152	22577152	22577152	22646784	22646784	22646784	22646784	22646784	22708224	22708224	22708224	22708224	22708224	22577152	22577152	22577152	22577152	22646784	22646784	22646784	22646784	22646784	22708224	22708224	22708224	22708224	22708224
2	4	0	0	4	17	0	17	22	0	0	0	0.000121	0.000144	0.000234	0.000075	0.000000	0.000155	0.000085	0.000070	0.000280	0.001771	0.000762	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760
3	17	4	0	13	96	0	82	104	0	4	0	0.000114	0.000146	0.000210	0.000075	0.000000	0.000155	0.000070	0.000085	0.000279	0.001727	0.000749	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760	22773760
4	82	24	0	58	510	0	447	551	0	28	0	0.000100	0.000182	0.000213	0.000074	0.000000	0.000140	0.000070	0.000070	0.000276	0.001765	0.000780	22773760	22773760	22773760	22773760	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22773760	22773760	22773760	22773760	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000156	0.000451	0.000344	0.000138	0.000000	0.000150	0.000080	0.000070	0.000331	0.002703	0.001133	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000105	0.000800	0.000309	0.000079	0.000000	0.000162	0.000071	0.000091	0.000360	0.002616	0.000801	22790144	22790144	22790144	22790144	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22790144	22790144	22790144	22790144	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000116	0.002609	0.000299	0.000076	0.000000	0.000145	0.000074	0.000071	0.001036	0.005132	0.000852	22839296	22839296	22839296	22839296	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23232512	22839296	22839296	22839296	22839296	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23003136	23396352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000282	0.010513	0.000707	0.000080	0.000000	0.000159	0.000072	0.000087	0.003326	0.015984	0.000916	23003136	23003136	23232512	23232512	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	25337856	23396352	23396352	23396352	23396352	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	24485888	26525696
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000629	0.040573	0.002750	0.000091	0.000000	0.000143	0.000072	0.000071	0.010071	0.055539	0.001281	24481792	24481792	25210880	25210880	29171712	29487104	29822976	29822976	29822976	29822976	29822976	29822976	29822976	29618176	26525696	26525696	26525696	26525696	29171712	29487104	31191040	31191040	31191040	31191040	31191040	31191040	31191040	37367808
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002775	0.165342	0.007079	0.000081	0.000000	0.000116	0.000058	0.000058	0.044711	0.222052	0.001947	26845184	26845184	32260096	32260096	69410816	70885376	78974976	78974976	78974976	78974976	78974976	78974976	78974976	97185792	37367808	37367808	37367808	37367808	80793600	80793600	80793600	80793600	80793600	80793600	80793600	80793600	80793600	97185792
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002757	0.616577	0.035932	0.000070	0.000000	0.000117	0.000059	0.000058	0.137650	0.798432	0.005328	97185792	97185792	97210368	97210368	212742144	216567808	240070656	240070656	240070656	240070656	240070656	240070656	240070656	263794688	97185792	97185792	97210368	97210368	276393984	276393984	276393984	276393984	276393984	276393984	276393984	276393984	276393984	310632448
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.023610	1.513118	0.143604	0.000104	0.000000	0.000124	0.000062	0.000062	0.387592	2.076900	0.008749	240156672	240156672	263794688	263794688	443047936	443047936	452165632	452165632	452165632	452165632	452165632	452165632	452165632	436858880	310632448	310632448	310632448	310632448	563191808	563191808	563191808	563191808	563191808	563191808	563191808	563191808	563191808	571486208
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.058369	2.670652	0.307438	0.000132	0.000000	0.000213	0.000099	0.000114	0.528237	3.601975	0.036935	379289600	379289600	419291136	419291136	777912320	809893888	853254144	853254144	853254144	853254144	853254144	853254144	853254144	886996992	571486208	571486208	571486208	571486208	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.054303	2.142686	0.136019	0.000104	0.000000	0.000125	0.000062	0.000063	0.458793	2.818958	0.026928	684503040	684503040	724504576	724504576	793628672	812167168	812298240	812298240	812298240	812298240	812298240	812298240	812298240	873467904	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824	1075789824
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.054643	3.102430	0.266309	0.000088	0.000000	0.000127	0.000063	0.000063	0.389987	3.831594	0.018010	685944832	685944832	725946368	725946368	1330069504	1348673536	1373605888	1373605888	1373605888	1373605888	1373605888	1373605888	1373605888	1383653376	1075789824	1075789824	1075789824	1075789824	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.038312	1.997908	0.184066	0.000102	0.000000	0.000193	0.000107	0.000086	0.595755	2.838627	0.022290	1305980928	1305980928	1345982464	1345982464	1372676096	1390964736	1390964736	1390964736	1390964736	1390964736	1390964736	1390964736	1390964736	1442332672	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.037648	2.053220	0.361136	0.000165	0.000000	0.000302	0.000138	0.000163	0.498576	2.970611	0.019565	1300295680	1300295680	1340297216	1340297216	1362984960	1381650432	1409863680	1409863680	1409863680	1409863680	1409863680	1409863680	1409863680	1454739456	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016491	2.026900	0.178819	0.000080	0.000000	0.000136	0.000068	0.000068	0.389485	2.631465	0.019554	1367687168	1367687168	1367687168	1367687168	1422024704	1441959936	1412984832	1412984832	1412984832	1412984832	1412984832	1412984832	1412984832	1415364608	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896	1919184896
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.040343	3.939134	0.350732	0.000094	0.000000	0.000157	0.000079	0.000078	0.455006	4.805478	0.020012	1353977856	1353977856	1393979392	1393979392	2473865216	2494492672	2509426688	2509426688	2509426688	2509426688	2509426688	2509426688	2509426688	2544582656	1919184896	1919184896	1919184896	1919184896	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.016225	1.715798	0.140880	0.000103	0.000000	0.000125	0.000063	0.000062	0.454911	2.348471	0.020428	2477051904	2477051904	2477051904	2477051904	2525380608	2546958336	2522570752	2522570752	2522570752	2522570752	2522570752	2522570752	2522570752	2588409856	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.015638	1.752762	0.289587	0.000085	0.000000	0.000144	0.000072	0.000072	0.337806	2.417159	0.021137	2512551936	2512551936	2512551936	2512551936	2512551936	2533138432	2576429056	2576429056	2576429056	2576429056	2576429056	2576429056	2576429056	2688634880	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376	3621093376
