round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000115	0.000160	0.000299	0.000069	0.000200	0.000140	0.000076	0.000064	0.000288	0.041472	0.040200	22433792	22564864	22564864	22564864	22634496	22634496	22634496	22634496	22634496	22695936	22695936	22695936	22695936	22695936	22564864	22564864	22564864	22564864	22634496	22634496	22634496	22634496	22634496	22695936	22695936	22695936	22695936	22695936
2	4	0	0	4	17	0	17	22	0	0	0	0.000098	0.000138	0.000205	0.000068	0.000000	0.000156	0.000064	0.000092	0.000259	0.001678	0.000753	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472
3	17	4	0	13	96	0	82	104	0	4	0	0.000089	0.000123	0.000221	0.000067	0.000000	0.000124	0.000062	0.000062	0.000278	0.001653	0.000752	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472	22761472
4	82	24	0	58	510	0	447	551	0	28	0	0.000090	0.000179	0.000224	0.000068	0.000000	0.000156	0.000063	0.000094	0.000294	0.001735	0.000724	22761472	22761472	22761472	22761472	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22761472	22761472	22761472	22761472	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568	22765568
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000092	0.000274	0.000212	0.000068	0.000000	0.000123	0.000062	0.000062	0.000313	0.001877	0.000794	22765568	22765568	22765568	22765568	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22765568	22765568	22765568	22765568	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000093	0.000714	0.000304	0.000070	0.000000	0.000123	0.000062	0.000061	0.000336	0.002387	0.000747	22777856	22777856	22777856	22777856	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22777856	22777856	22777856	22777856	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000106	0.002179	0.000321	0.000070	0.000000	0.000126	0.000063	0.000063	0.000957	0.004557	0.000798	22827008	22827008	22827008	22827008	22990848	22990848	22990848	22990848	22990848	22990848	22990848	22990848	22990848	23220224	22827008	22827008	22827008	22827008	22990848	22990848	22990848	22990848	22990848	22990848	22990848	22990848	22990848	23396352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000256	0.008739	0.000663	0.000067	0.000000	0.000113	0.000057	0.000056	0.002925	0.013678	0.000916	22990848	22990848	23220224	23220224	24473600	24473600	24473600	24473600	24473600	24473600	24473600	24473600	24473600	25325568	23396352	23396352	23396352	23396352	24473600	24473600	24473600	24473600	24473600	24473600	24473600	24473600	24473600	26521600
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000535	0.033747	0.002299	0.000081	0.000000	0.000119	0.000060	0.000059	0.008689	0.046605	0.001136	24469504	24469504	25198592	25198592	29159424	29474816	29810688	29810688	29810688	29810688	29810688	29810688	29810688	29605888	26521600	26521600	26521600	26521600	29159424	29474816	31186944	31186944	31186944	31186944	31186944	31186944	31186944	37363712
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002289	0.170560	0.007218	0.000068	0.000000	0.000119	0.000060	0.000059	0.040726	0.222922	0.001943	26832896	26832896	32247808	32247808	69398528	70873088	78962688	78962688	78962688	78962688	78962688	78962688	78962688	97173504	37363712	37363712	37363712	37363712	80789504	80789504	80789504	80789504	80789504	80789504	80789504	80789504	80789504	97173504
