round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000138	0.000187	0.000314	0.000084	0.000216	0.000165	0.000089	0.000077	0.000305	0.054395	0.052987	22716416	22847488	22847488	22847488	22917120	22917120	22917120	22917120	22917120	22978560	22978560	22978560	22978560	22978560	22847488	22847488	22847488	22847488	22917120	22917120	22917120	22917120	22917120	22978560	22978560	22978560	22978560	22978560
2	4	0	0	4	17	0	17	22	0	0	0	0.000108	0.000152	0.000248	0.000080	0.000000	0.000164	0.000075	0.000089	0.000297	0.001881	0.000830	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096
3	17	4	0	13	96	0	82	104	0	4	0	0.000119	0.000154	0.000224	0.000079	0.000000	0.000166	0.000090	0.000076	0.000292	0.001844	0.000810	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096
4	82	24	0	58	510	0	447	551	0	28	0	0.000124	0.000189	0.000227	0.000079	0.000000	0.000149	0.000076	0.000073	0.000294	0.001882	0.000819	23044096	23044096	23044096	23044096	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23044096	23044096	23044096	23044096	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000126	0.000318	0.000233	0.000081	0.000000	0.000149	0.000074	0.000074	0.000312	0.002061	0.000843	23048192	23048192	23048192	23048192	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23048192	23048192	23048192	23048192	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000113	0.000820	0.000312	0.000096	0.000000	0.000149	0.000076	0.000074	0.000377	0.002715	0.000850	23060480	23060480	23060480	23060480	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23060480	23060480	23060480	23060480	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000124	0.002693	0.000303	0.000083	0.000000	0.000166	0.000076	0.000090	0.001058	0.005330	0.000903	23109632	23109632	23109632	23109632	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23502848	23109632	23109632	23109632	23109632	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23502848
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000273	0.010872	0.000685	0.000086	0.000000	0.000149	0.000075	0.000074	0.003352	0.016400	0.000984	23273472	23273472	23502848	23502848	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	25612288	23396352	23396352	23502848	23502848	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	26783744
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000603	0.043795	0.002677	0.000075	0.000000	0.000123	0.000062	0.000061	0.009146	0.057768	0.001350	24756224	24756224	25481216	25481216	29442048	29761536	30093312	30093312	30093312	30093312	30093312	30093312	30093312	29892608	26783744	26783744	26783744	26783744	29442048	29761536	31449088	31449088	31449088	31449088	31449088	31449088	31449088	37625856
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002363	0.165538	0.006890	0.000067	0.000000	0.000116	0.000059	0.000057	0.040467	0.217274	0.001833	27119616	27119616	32530432	32530432	69685248	71159808	79245312	79245312	79245312	79245312	79245312	79245312	79245312	97460224	37625856	37625856	37625856	37625856	81051648	81051648	81051648	81051648	81051648	81051648	81051648	81051648	81051648	97460224
