round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000135	0.000182	0.000296	0.000081	0.000208	0.000180	0.000089	0.000091	0.000304	0.051910	0.050525	22765568	22962176	22962176	22962176	23031808	23031808	23031808	23031808	23031808	23093248	23093248	23093248	23093248	23093248	22962176	22962176	22962176	22962176	23031808	23031808	23031808	23031808	23031808	23093248	23093248	23093248	23093248	23093248
2	4	0	0	4	17	0	17	22	0	0	0	0.000121	0.000148	0.000227	0.000080	0.000000	0.000166	0.000089	0.000076	0.000304	0.001862	0.000816	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784
3	17	4	0	13	96	0	82	104	0	4	0	0.000123	0.000151	0.000222	0.000081	0.000000	0.000158	0.000081	0.000077	0.000292	0.001851	0.000824	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784	23158784
4	82	24	0	58	510	0	447	551	0	28	0	0.000125	0.000186	0.000228	0.000093	0.000000	0.000152	0.000077	0.000075	0.000297	0.001891	0.000811	23158784	23158784	23158784	23158784	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23158784	23158784	23158784	23158784	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000113	0.000314	0.000241	0.000082	0.000000	0.000153	0.000077	0.000076	0.000296	0.002024	0.000826	23162880	23162880	23162880	23162880	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23162880	23162880	23162880	23162880	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000107	0.000630	0.000209	0.000070	0.000000	0.000142	0.000064	0.000078	0.000329	0.002200	0.000714	23175168	23175168	23175168	23175168	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23175168	23175168	23175168	23175168	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320	23224320
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000103	0.002056	0.000268	0.000085	0.000000	0.000144	0.000065	0.000079	0.000857	0.004317	0.000804	23224320	23224320	23224320	23224320	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23617536	23224320	23224320	23224320	23224320	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23388160	23617536
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000240	0.008287	0.000552	0.000067	0.000000	0.000121	0.000061	0.000061	0.002669	0.012783	0.000847	23388160	23388160	23617536	23617536	24870912	24870912	24870912	24870912	24870912	24870912	24870912	24870912	24870912	25726976	23396352	23396352	23617536	23617536	24870912	24870912	24870912	24870912	24870912	24870912	24870912	24870912	24870912	26787840
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000498	0.033868	0.002298	0.000068	0.000000	0.000123	0.000062	0.000061	0.008020	0.045958	0.001084	24870912	24870912	25595904	25595904	29556736	29876224	30208000	30208000	30208000	30208000	30208000	30208000	30208000	30007296	26787840	26787840	26787840	26787840	29556736	29876224	31453184	31453184	31453184	31453184	31453184	31453184	31453184	37629952
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002214	0.165038	0.006625	0.000067	0.000000	0.000118	0.000060	0.000058	0.032431	0.208297	0.001802	27234304	27234304	32645120	32645120	69799936	71274496	79360000	79360000	79360000	79360000	79360000	79360000	79360000	97574912	37629952	37629952	37629952	37629952	81055744	81055744	81055744	81055744	81055744	81055744	81055744	81055744	81055744	97574912
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002646	0.628017	0.033418	0.000070	0.000000	0.000116	0.000058	0.000058	0.102366	0.774046	0.007412	97574912	97574912	97599488	97599488	213131264	216952832	240451584	240451584	240451584	240451584	240451584	240451584	240451584	264179712	97574912	97574912	97599488	97599488	276660224	276660224	276660224	276660224	276660224	276660224	276660224	276660224	276660224	310898688
