round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000134	0.000199	0.000291	0.000081	0.000235	0.000164	0.000087	0.000076	0.000293	0.052149	0.050752	22720512	22851584	22851584	22851584	22921216	22921216	22921216	22921216	22921216	22982656	22982656	22982656	22982656	22982656	22851584	22851584	22851584	22851584	22921216	22921216	22921216	22921216	22921216	22982656	22982656	22982656	22982656	22982656
2	4	0	0	4	17	0	17	22	0	0	0	0.000111	0.000147	0.000223	0.000082	0.000000	0.000149	0.000075	0.000074	0.000288	0.001823	0.000822	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192
3	17	4	0	13	96	0	82	104	0	4	0	0.000108	0.000152	0.000216	0.000081	0.000000	0.000150	0.000076	0.000074	0.000283	0.001802	0.000812	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192
4	82	24	0	58	510	0	447	551	0	28	0	0.000107	0.000186	0.000221	0.000080	0.000000	0.000146	0.000074	0.000072	0.000286	0.001833	0.000808	23048192	23048192	23048192	23048192	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23048192	23048192	23048192	23048192	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000111	0.000315	0.000249	0.000083	0.000000	0.000149	0.000075	0.000074	0.000320	0.002064	0.000837	23052288	23052288	23052288	23052288	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23052288	23052288	23052288	23052288	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576	23064576
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000113	0.000811	0.000365	0.000082	0.000000	0.000150	0.000075	0.000074	0.000381	0.002749	0.000847	23064576	23064576	23064576	23064576	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23064576	23064576	23064576	23064576	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000123	0.002630	0.000305	0.000097	0.000000	0.000149	0.000075	0.000074	0.001048	0.005248	0.000896	23113728	23113728	23113728	23113728	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23506944	23113728	23113728	23113728	23113728	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23506944
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000287	0.010446	0.000700	0.000085	0.000000	0.000175	0.000099	0.000076	0.003365	0.016022	0.000965	23277568	23277568	23506944	23506944	24760320	24760320	24760320	24760320	24760320	24760320	24760320	24760320	24760320	25616384	23396352	23396352	23506944	23506944	24760320	24760320	24760320	24760320	24760320	24760320	24760320	24760320	24760320	26779648
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000606	0.039414	0.002694	0.000087	0.000000	0.000150	0.000076	0.000074	0.010071	0.054362	0.001341	24760320	24760320	25485312	25485312	29446144	29765632	30097408	30097408	30097408	30097408	30097408	30097408	30097408	29896704	26779648	26779648	26779648	26779648	29446144	29765632	31444992	31444992	31444992	31444992	31444992	31444992	31444992	37621760
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002799	0.161001	0.006876	0.000067	0.000000	0.000160	0.000059	0.000101	0.043303	0.216039	0.001832	27123712	27123712	32534528	32534528	69689344	71163904	79249408	79249408	79249408	79249408	79249408	79249408	79249408	97464320	37621760	37621760	37621760	37621760	81047552	81047552	81047552	81047552	81047552	81047552	81047552	81047552	81047552	97464320
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002835	0.561069	0.034456	0.000089	0.000000	0.000135	0.000075	0.000060	0.139887	0.744075	0.005603	97464320	97464320	97488896	97488896	213020672	216842240	240340992	240340992	240340992	240340992	240340992	240340992	240340992	264069120	97464320	97464320	97488896	97488896	276652032	276652032	276652032	276652032	276652032	276652032	276652032	276652032	276652032	310890496
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024169	1.321335	0.146295	0.000088	0.000000	0.000155	0.000072	0.000082	0.347190	1.848760	0.009529	240431104	240431104	264069120	264069120	443322368	443322368	452444160	452444160	452444160	452444160	452444160	452444160	452444160	437133312	310890496	310890496	310890496	310890496	563576832	563576832	563576832	563576832	563576832	563576832	563576832	563576832	563576832	571904000
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.056289	2.343687	0.330708	0.000148	0.000000	0.000267	0.000125	0.000142	0.546911	3.314737	0.036727	379564032	379564032	419565568	419565568	778190848	810172416	853528576	853528576	853528576	853528576	853528576	853528576	853528576	887271424	571904000	571904000	571904000	571904000	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.053170	1.810877	0.142827	0.000076	0.000000	0.000124	0.000063	0.000061	0.464483	2.498731	0.027174	684781568	684781568	724783104	724783104	793903104	812441600	812572672	812572672	812572672	812572672	812572672	812572672	812572672	873742336	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776	1076043776
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.054012	2.777294	0.299280	0.000095	0.000000	0.000155	0.000078	0.000077	0.464613	3.613432	0.017983	686219264	686219264	726220800	726220800	1330348032	1348947968	1373884416	1373884416	1373884416	1373884416	1373884416	1373884416	1373884416	1383931904	1076043776	1076043776	1076043776	1076043776	1919438848	1919438848	1919438848	1919438848	1919438848	1919438848	1919438848	1919438848	1919438848	1919438848
