round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000130	0.000178	0.000305	0.000080	0.000207	0.000161	0.000086	0.000075	0.000297	0.052990	0.051631	22716416	22847488	22847488	22847488	22917120	22917120	22917120	22917120	22917120	22978560	22978560	22978560	22978560	22978560	22847488	22847488	22847488	22847488	22917120	22917120	22917120	22917120	22917120	22978560	22978560	22978560	22978560	22978560
2	4	0	0	4	17	0	17	22	0	0	0	0.000103	0.000155	0.000220	0.000078	0.000000	0.000147	0.000074	0.000073	0.000300	0.001786	0.000784	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096
3	17	4	0	13	96	0	82	104	0	4	0	0.000103	0.000165	0.000216	0.000078	0.000000	0.000145	0.000073	0.000072	0.000296	0.001781	0.000777	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096	23044096
4	82	24	0	58	510	0	447	551	0	28	0	0.000102	0.000191	0.000217	0.000076	0.000000	0.000143	0.000072	0.000071	0.000348	0.001853	0.000776	23044096	23044096	23044096	23044096	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23044096	23044096	23044096	23044096	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192	23048192
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000105	0.000318	0.000226	0.000079	0.000000	0.000159	0.000073	0.000086	0.000314	0.002003	0.000803	23048192	23048192	23048192	23048192	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23048192	23048192	23048192	23048192	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000105	0.000767	0.000249	0.000080	0.000000	0.000147	0.000075	0.000072	0.000380	0.002569	0.000841	23060480	23060480	23060480	23060480	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23060480	23060480	23060480	23060480	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632	23109632
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000116	0.002541	0.000293	0.000084	0.000000	0.000148	0.000074	0.000073	0.001037	0.005099	0.000881	23109632	23109632	23109632	23109632	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23502848	23109632	23109632	23109632	23109632	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23502848
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000280	0.010195	0.000663	0.000083	0.000000	0.000148	0.000074	0.000073	0.003335	0.015644	0.000939	23273472	23273472	23502848	23502848	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	25612288	23396352	23396352	23502848	23502848	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	24756224	26779648
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000607	0.039017	0.002697	0.000083	0.000000	0.000163	0.000088	0.000075	0.009912	0.053780	0.001302	24756224	24756224	25481216	25481216	29442048	29761536	30093312	30093312	30093312	30093312	30093312	30093312	30093312	29892608	26779648	26779648	26779648	26779648	29442048	29761536	31444992	31444992	31444992	31444992	31444992	31444992	31444992	37621760
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002760	0.151837	0.006912	0.000068	0.000000	0.000120	0.000057	0.000063	0.043692	0.207314	0.001925	27119616	27119616	32530432	32530432	69685248	71159808	79245312	79245312	79245312	79245312	79245312	79245312	79245312	97460224	37621760	37621760	37621760	37621760	81047552	81047552	81047552	81047552	81047552	81047552	81047552	81047552	81047552	97460224
