# python3 experiments/gate_21_hugepages/cpu_split.py

### 全探索

| 段 | 種類 | `old` 平均 | `new` 平均 | `new` − `old`（95% 区間） |
|---|---|---|---|---|
| F0 | utime | 0.27 | 0.27 | +0.00（-0.02 … +0.02） |
| F0 | stime | 0.78 | 0.79 | +0.01（-0.02 … +0.03） |
| F1 | utime | 77.64 | 71.26 | -6.38（-6.85 … -5.92） |
| F1 | stime | 5.96 | 4.13 | -1.83（-1.87 … -1.79） |
| F2 | utime | 1.84 | 1.84 | +0.00（-0.05 … +0.06） |
| F2 | stime | 5.77 | 5.77 | +0.01（-0.09 … +0.10） |
| F3 | utime | 0.00 | 0.00 | -0.00（-0.00 … +0.00） |
| F3 | stime | 0.00 | 0.00 | +0.00（-0.00 … +0.00） |
| F4 | utime | 0.01 | 0.01 | -0.00（-0.00 … +0.00） |
| F4 | stime | 0.00 | 0.00 | +0.00（-0.00 … +0.00） |
| F5 | utime | 2.64 | 2.60 | -0.04（-0.22 … +0.14） |
| F5 | stime | 7.41 | 7.47 | +0.06（-0.12 … +0.23） |
| F6 | utime | 0.56 | 0.55 | -0.01（-0.03 … +0.01） |
| F6 | stime | 1.28 | 1.29 | +0.00（-0.03 … +0.04） |
| release | utime | 0.00 | 0.00 | +0.00（-0.00 … +0.00） |
| release | stime | 0.28 | 0.10 | -0.18（-0.19 … -0.18） |
| forward_total | utime | 83.29 | 76.85 | -6.44（-7.07 … -5.82） |
| forward_total | stime | 22.30 | 20.39 | -1.91（-2.24 … -1.58） |

### 後退解析

| 段 | 種類 | `old` 平均 | `new` 平均 | `new` − `old`（95% 区間） |
|---|---|---|---|---|
| P0 | utime | 0.80 | 0.81 | +0.01（-0.02 … +0.04） |
| P0 | stime | 3.21 | 3.22 | +0.01（-0.03 … +0.05） |
| P1 | utime | 8.33 | 5.03 | -3.31（-3.55 … -3.07） |
| P1 | stime | 3.94 | 2.27 | -1.68（-1.77 … -1.58） |
| P2 | utime | 61.09 | 44.07 | -17.02（-18.03 … -16.02） |
| P2 | stime | 2.11 | 2.05 | -0.06（-0.17 … +0.04） |
| P2_free | utime | 0.00 | 0.00 | -0.00（-0.00 … +0.00） |
| P2_free | stime | 0.46 | 0.09 | -0.37（-0.38 … -0.36） |
| P4_count | utime | 5.86 | 5.83 | -0.02（-0.07 … +0.02） |
| P4_count | stime | 0.42 | 0.42 | -0.00（-0.01 … +0.01） |
| P4_scatter | utime | 11.23 | 11.19 | -0.04（-0.10 … +0.03） |
| P4_scatter | stime | 1.73 | 1.73 | -0.00（-0.05 … +0.05） |
| R_dtm | utime | 0.19 | 0.18 | -0.01（-0.03 … +0.01） |
| R_dtm | stime | 0.41 | 0.41 | +0.00（-0.03 … +0.04） |
| loop174 | utime | 25.08 | 24.91 | -0.17（-0.33 … -0.02） |
| loop174 | stime | 1.49 | 1.48 | -0.00（-0.05 … +0.04） |
| R_draw | utime | 0.23 | 0.23 | -0.00（-0.01 … +0.00） |
| R_draw | stime | 0.00 | 0.00 | +0.00（-0.00 … +0.00） |
| R_uk | utime | 0.02 | 0.02 | +0.00（-0.00 … +0.01） |
| R_uk | stime | 0.04 | 0.04 | -0.00（-0.01 … +0.00） |
| retreat_total | utime | 112.83 | 92.26 | -20.57（-21.37 … -19.76） |
| retreat_total | stime | 13.81 | 11.71 | -2.10（-2.35 … -1.85） |

