round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000135	0.000185	0.000314	0.000083	0.000212	0.000169	0.000089	0.000080	0.000314	0.051437	0.050025	22953984	23085056	23085056	23085056	23154688	23154688	23154688	23154688	23154688	23216128	23216128	23216128	23216128	23216128	23085056	23085056	23085056	23085056	23154688	23154688	23154688	23154688	23154688	23216128	23216128	23216128	23216128	23216128
2	4	0	0	4	17	0	17	22	0	0	0	0.000108	0.000165	0.000229	0.000081	0.000000	0.000154	0.000077	0.000077	0.000310	0.001882	0.000835	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664
3	17	4	0	13	96	0	82	104	0	4	0	0.000107	0.000153	0.000223	0.000080	0.000000	0.000172	0.000076	0.000096	0.000298	0.001858	0.000825	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664	23281664
4	82	24	0	58	510	0	447	551	0	28	0	0.000107	0.000185	0.000227	0.000080	0.000000	0.000168	0.000091	0.000077	0.000298	0.001889	0.000824	23281664	23281664	23281664	23281664	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23281664	23281664	23281664	23281664	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760	23285760
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000125	0.000312	0.000239	0.000085	0.000000	0.000153	0.000076	0.000077	0.000320	0.002098	0.000865	23285760	23285760	23285760	23285760	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23285760	23285760	23285760	23285760	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048	23298048
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000115	0.000789	0.000399	0.000087	0.000000	0.000155	0.000077	0.000078	0.000379	0.002805	0.000881	23298048	23298048	23298048	23298048	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23298048	23298048	23298048	23298048	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200	23347200
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000126	0.002704	0.000307	0.000083	0.000000	0.000155	0.000078	0.000077	0.001114	0.005408	0.000919	23347200	23347200	23347200	23347200	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23969792	23347200	23347200	23347200	23347200	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23740416	23969792
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000231	0.010107	0.000536	0.000085	0.000000	0.000154	0.000077	0.000077	0.003394	0.015470	0.000964	23740416	23740416	23842816	23842816	24993792	24993792	25063424	25063424	25063424	25063424	25063424	25063424	25063424	25849856	23855104	23855104	23855104	23855104	24993792	24993792	25063424	25063424	25063424	25063424	25063424	25063424	25063424	27066368
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000619	0.039416	0.002314	0.000085	0.000000	0.000130	0.000065	0.000065	0.008787	0.052668	0.001317	24993792	24993792	25718784	25718784	29679616	29999104	30334976	30334976	30334976	30334976	30334976	30334976	30334976	30130176	27066368	27066368	27066368	27066368	29679616	29999104	32071680	32071680	32071680	32071680	32071680	32071680	32071680	37859328
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002354	0.157550	0.006716	0.000066	0.000000	0.000118	0.000059	0.000059	0.033167	0.201797	0.001826	27357184	27357184	32772096	32772096	69922816	71397376	79482880	79482880	79482880	79482880	79482880	79482880	79482880	97697792	37859328	37859328	37859328	37859328	81285120	81285120	81285120	81285120	81285120	81285120	81285120	81285120	81285120	97697792
