round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000142	0.000186	0.000317	0.000085	0.000216	0.000184	0.000091	0.000093	0.000306	0.053493	0.052055	22933504	23064576	23064576	23064576	23134208	23134208	23134208	23134208	23134208	23195648	23195648	23195648	23195648	23195648	23064576	23064576	23064576	23064576	23134208	23134208	23134208	23134208	23134208	23195648	23195648	23195648	23195648	23195648
2	4	0	0	4	17	0	17	22	0	0	0	0.000127	0.000154	0.000234	0.000083	0.000000	0.000165	0.000085	0.000081	0.000312	0.001934	0.000858	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184
3	17	4	0	13	96	0	82	104	0	4	0	0.000115	0.000153	0.000226	0.000094	0.000000	0.000156	0.000078	0.000078	0.000299	0.001879	0.000836	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184
4	82	24	0	58	510	0	447	551	0	28	0	0.000113	0.000188	0.000231	0.000084	0.000000	0.000157	0.000078	0.000079	0.000296	0.001923	0.000854	23261184	23261184	23261184	23261184	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23261184	23261184	23261184	23261184	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280	23265280
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000113	0.000315	0.000254	0.000084	0.000000	0.000158	0.000079	0.000079	0.000348	0.002119	0.000848	23265280	23265280	23265280	23265280	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23265280	23265280	23265280	23265280	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568	23277568
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000117	0.000818	0.000342	0.000084	0.000000	0.000159	0.000078	0.000080	0.000402	0.002796	0.000875	23277568	23277568	23277568	23277568	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23277568	23277568	23277568	23277568	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000129	0.002801	0.000318	0.000085	0.000000	0.000156	0.000078	0.000078	0.001131	0.005538	0.000917	23326720	23326720	23326720	23326720	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23949312	23326720	23326720	23326720	23326720	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23719936	23949312
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000221	0.010504	0.000536	0.000087	0.000000	0.000161	0.000080	0.000081	0.003390	0.015887	0.000989	23719936	23719936	23822336	23822336	24973312	24973312	25042944	25042944	25042944	25042944	25042944	25042944	25042944	25829376	23855104	23855104	23855104	23855104	24973312	24973312	25042944	25042944	25042944	25042944	25042944	25042944	25042944	27066368
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000617	0.032200	0.002276	0.000068	0.000000	0.000125	0.000063	0.000062	0.008350	0.044778	0.001141	24973312	24973312	25698304	25698304	29659136	29978624	30314496	30314496	30314496	30314496	30314496	30314496	30314496	30109696	27066368	27066368	27066368	27066368	29659136	29978624	31678464	31678464	31678464	31678464	31678464	31678464	31678464	37859328
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002132	0.154776	0.006949	0.000068	0.000000	0.000123	0.000061	0.000062	0.040858	0.206679	0.001773	27336704	27336704	32751616	32751616	69902336	71376896	79462400	79462400	79462400	79462400	79462400	79462400	79462400	97677312	37859328	37859328	37859328	37859328	81285120	81285120	81285120	81285120	81285120	81285120	81285120	81285120	81285120	97677312
