round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000154	0.000190	0.000299	0.000087	0.000221	0.000168	0.000089	0.000080	0.000297	0.054500	0.053082	22913024	23044096	23044096	23044096	23113728	23113728	23113728	23113728	23113728	23175168	23175168	23175168	23175168	23175168	23044096	23044096	23044096	23044096	23113728	23113728	23113728	23113728	23113728	23175168	23175168	23175168	23175168	23175168
2	4	0	0	4	17	0	17	22	0	0	0	0.000112	0.000150	0.000243	0.000082	0.000000	0.000153	0.000076	0.000076	0.000317	0.001882	0.000825	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704
3	17	4	0	13	96	0	82	104	0	4	0	0.000110	0.000151	0.000224	0.000080	0.000000	0.000153	0.000076	0.000077	0.000301	0.001846	0.000827	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704	23240704
4	82	24	0	58	510	0	447	551	0	28	0	0.000106	0.000196	0.000227	0.000080	0.000000	0.000151	0.000075	0.000076	0.000317	0.001909	0.000833	23240704	23240704	23240704	23240704	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23240704	23240704	23240704	23240704	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800	23244800
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000108	0.000324	0.000234	0.000081	0.000000	0.000166	0.000087	0.000079	0.000324	0.002067	0.000829	23244800	23244800	23244800	23244800	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23244800	23244800	23244800	23244800	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088	23257088
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000128	0.000807	0.000331	0.000081	0.000000	0.000152	0.000076	0.000077	0.000390	0.002752	0.000863	23257088	23257088	23257088	23257088	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23257088	23257088	23257088	23257088	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000140	0.002831	0.000303	0.000081	0.000000	0.000151	0.000075	0.000076	0.001150	0.005571	0.000915	23306240	23306240	23306240	23306240	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23928832	23306240	23306240	23306240	23306240	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23699456	23928832
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000225	0.010364	0.000548	0.000083	0.000000	0.000153	0.000076	0.000077	0.003402	0.015754	0.000977	23699456	23699456	23801856	23801856	24952832	24952832	25022464	25022464	25022464	25022464	25022464	25022464	25022464	25808896	23928832	23928832	23928832	23928832	24952832	24952832	25022464	25022464	25022464	25022464	25022464	25022464	25022464	27082752
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000616	0.035642	0.002604	0.000072	0.000000	0.000139	0.000078	0.000060	0.008283	0.048596	0.001241	24952832	24952832	25677824	25677824	29638656	29958144	30294016	30294016	30294016	30294016	30294016	30294016	30294016	30089216	27082752	27082752	27082752	27082752	29638656	29958144	31686656	31686656	31686656	31686656	31686656	31686656	31686656	37867520
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002107	0.138403	0.007178	0.000069	0.000000	0.000135	0.000075	0.000060	0.041505	0.191271	0.001874	27316224	27316224	32731136	32731136	69881856	71356416	79441920	79441920	79441920	79441920	79441920	79441920	79441920	97656832	37867520	37867520	37867520	37867520	81674240	81674240	81674240	81674240	81674240	81674240	81674240	81674240	81674240	97656832
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002828	0.477577	0.041808	0.000070	0.000000	0.000121	0.000061	0.000061	0.134653	0.662495	0.005439	97656832	97656832	97677312	97677312	213209088	217030656	240533504	240533504	240533504	240533504	240533504	240533504	240533504	264261632	97656832	97656832	97677312	97677312	277319680	277319680	277319680	277319680	277319680	277319680	277319680	277319680	277319680	311128064
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024696	1.195595	0.146498	0.000086	0.000000	0.000147	0.000073	0.000074	0.377006	1.754330	0.010303	240623616	240623616	264261632	264261632	443514880	443514880	452632576	452632576	452632576	452632576	452632576	452632576	452632576	437325824	311128064	311128064	311128064	311128064	563929088	563929088	563929088	563929088	563929088	563929088	563929088	563929088	563929088	572141568
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.064330	2.104124	0.310004	0.000121	0.000000	0.000206	0.000104	0.000103	0.527281	3.045385	0.039319	379756544	379756544	419758080	419758080	778379264	810360832	853721088	853721088	853721088	853721088	853721088	853721088	853721088	887463936	572141568	572141568	572141568	572141568	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.054006	1.732145	0.138584	0.000077	0.000000	0.000142	0.000064	0.000078	0.505916	2.460214	0.029343	684969984	684969984	724971520	724971520	794095616	812634112	812765184	812765184	812765184	812765184	812765184	812765184	812765184	873934848	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752	1076170752
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.055071	2.375213	0.336475	0.000088	0.000000	0.000148	0.000075	0.000074	0.454685	3.241502	0.019821	686411776	686411776	726413312	726413312	1330540544	1349140480	1374072832	1374072832	1374072832	1374072832	1374072832	1374072832	1374072832	1384120320	1076170752	1076170752	1076170752	1076170752	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.039081	1.629588	0.175846	0.000080	0.000000	0.000136	0.000068	0.000068	0.547880	2.417107	0.024496	1306447872	1306447872	1346449408	1346449408	1373143040	1391431680	1391431680	1391431680	1391431680	1391431680	1391431680	1391431680	1391431680	1442799616	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.038309	1.653452	0.350580	0.000105	0.000000	0.000177	0.000089	0.000089	0.512187	2.575542	0.020732	1300762624	1300762624	1340764160	1340764160	1363451904	1382117376	1410334720	1410334720	1410334720	1410334720	1410334720	1410334720	1410334720	1455206400	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016705	1.625569	0.169291	0.000078	0.000000	0.000132	0.000066	0.000065	0.369712	2.200920	0.019433	1368154112	1368154112	1368154112	1368154112	1422491648	1442426880	1413451776	1413451776	1413451776	1413451776	1413451776	1413451776	1413451776	1415835648	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896	1919696896
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.040316	2.888842	0.301944	0.000103	0.000000	0.000161	0.000080	0.000081	0.419487	3.671351	0.020497	1354448896	1354448896	1394450432	1394450432	2474336256	2494963712	2509893632	2509893632	2509893632	2509893632	2509893632	2509893632	2509893632	2545049600	1919696896	1919696896	1919696896	1919696896	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.016514	1.409665	0.127869	0.000075	0.000000	0.000125	0.000062	0.000063	0.447114	2.024553	0.023191	2477518848	2477518848	2477518848	2477518848	2525847552	2547425280	2523037696	2523037696	2523037696	2523037696	2523037696	2523037696	2523037696	2588876800	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.016123	1.429848	0.323868	0.000106	0.000000	0.000181	0.000091	0.000091	0.390429	2.185793	0.025237	2513022976	2513022976	2513022976	2513022976	2513022976	2533609472	2576900096	2576900096	2576900096	2576900096	2576900096	2576900096	2576900096	2689105920	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.016258	1.414792	0.106453	0.000074	0.000000	0.000133	0.000062	0.000072	0.445426	2.009396	0.026260	2576900096	2576900096	2576900096	2576900096	2576900096	2598354944	2557386752	2557386752	2557386752	2557386752	2557386752	2557386752	2557386752	2674307072	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.016531	1.432897	0.240780	0.000087	0.000000	0.000146	0.000072	0.000074	0.257089	1.963727	0.016198	2557386752	2557386752	2557386752	2557386752	2557386752	2578829312	2614456320	2614456320	2614456320	2614456320	2614456320	2614456320	2614456320	2614456320	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.022794	1.389907	0.326949	0.000086	0.000000	0.000138	0.000069	0.000069	0.399169	2.164852	0.025808	2614456320	2614456320	2614456320	2614456320	2614456320	2635378688	2647154688	2647154688	2647154688	2647154688	2647154688	2647154688	2647154688	2763341824	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
25	5000000	2673346	141583	2185071	19709752	0	5434587	99583688	0	34055774	1048716	0.016043	1.400230	0.216603	0.000106	0.000000	0.000157	0.000079	0.000079	0.327315	1.986118	0.025663	2647154688	2647154688	2647154688	2647154688	2647154688	2668544000	2668544000	2668544000	2668544000	2668544000	2668544000	2668544000	2668544000	2785734656	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
26	5000000	2627994	227056	2144950	19325458	0	5641573	105225261	0	36683768	1275772	0.015951	1.405333	0.285322	0.000092	0.000000	0.000153	0.000076	0.000077	0.243752	1.966312	0.015708	2668544000	2668544000	2668544000	2668544000	2668544000	2689564672	2689564672	2689564672	2689564672	2689564672	2689564672	2689564672	2689564672	2689564672	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
27	5000000	2751934	74191	2173875	19471629	0	4378051	109603312	0	39435702	1349963	0.017844	1.392864	0.180992	0.000117	0.000000	0.000176	0.000088	0.000088	0.287100	1.900016	0.020922	2689564672	2689564672	2689564672	2689564672	2689564672	2711580672	2686894080	2686894080	2686894080	2686894080	2686894080	2686894080	2686894080	2727387136	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
28	5000000	2686246	171315	2142439	20170324	0	4762300	114365612	0	42121948	1521278	0.023117	1.459309	0.350083	0.000100	0.000000	0.000168	0.000084	0.000083	0.257698	2.110641	0.020167	2686894080	2686894080	2686894080	2686894080	2686894080	2708385792	2714279936	2714279936	2714279936	2714279936	2714279936	2714279936	2714279936	2752868352	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
29	5000000	2862366	105448	2032186	18467491	0	4701674	119067286	0	44984314	1626726	0.020738	1.427089	0.134453	0.000076	0.000000	0.000127	0.000064	0.000064	0.431613	2.039493	0.025397	2714279936	2714279936	2714279936	2714279936	2714279936	2737176576	2715795456	2715795456	2715795456	2715795456	2715795456	2715795456	2715795456	2830585856	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
30	5000000	3079913	154458	1765629	16283117	0	3397718	122465004	0	48064227	1781184	0.016512	1.358554	0.227843	0.000080	0.000000	0.000128	0.000064	0.000064	0.328905	1.958303	0.026280	2715795456	2715795456	2715795456	2715795456	2715795456	2740436992	2780880896	2780880896	2780880896	2780880896	2780880896	2780880896	2780880896	2880471040	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
31	5000000	2936198	218860	1844942	16525129	0	4363879	126828883	0	51000425	2000044	0.018596	1.388553	0.289948	0.000092	0.000000	0.000173	0.000078	0.000095	0.344019	2.063899	0.022519	2780880896	2780880896	2780880896	2780880896	2780880896	2804371456	2804371456	2804371456	2804371456	2804371456	2804371456	2804371456	2804371456	2864394240	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
32	5000000	3081132	315290	1603578	15172279	0	3868428	130697311	0	54081557	2315334	0.020142	1.338318	0.107118	0.000075	0.000000	0.000135	0.000069	0.000066	0.296049	1.784332	0.022496	2806099968	2806099968	2806099968	2806099968	2806099968	2830749696	2799894528	2799894528	2799894528	2799894528	2799894528	2799894528	2799894528	2872492032	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
33	5000000	3106824	133017	1760159	16258785	0	3276909	133974220	0	57188381	2448351	0.019601	1.378423	0.276536	0.000097	0.000000	0.000164	0.000082	0.000082	0.219294	1.912494	0.018378	2823249920	2823249920	2823249920	2823249920	2823249920	2848104448	2861842432	2861842432	2861842432	2861842432	2861842432	2861842432	2861842432	2861842432	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520	3621867520
34	5000000	3032082	254373	1713545	16327175	0	3655409	137629629	1	60220463	2702724	0.018818	3.834082	0.287281	0.000080	0.000000	0.000137	0.000068	0.000069	0.293324	4.460958	0.027235	2861842432	2861842432	2861842432	2861842432	5009326080	5033582592	5033582592	5033582592	5033582592	5033582592	5033582592	5033582592	5033582592	5136105472	3621867520	3621867520	3621867520	3621867520	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632
35	5000000	2867519	126379	2006102	18760165	0	4759837	142389466	0	63087982	2829103	0.016882	1.340457	0.182415	0.000081	0.000000	0.000151	0.000067	0.000084	0.314751	1.876834	0.022098	5035945984	5035945984	5035945984	5035945984	5035945984	5058883584	5036326912	5036326912	5036326912	5036326912	5036326912	5036326912	5036326912	5121667072	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632
36	5000000	2952772	199686	1847542	15984386	0	4197268	146586734	0	66040754	3028789	0.017476	1.281644	0.344883	0.000114	0.000000	0.000189	0.000094	0.000094	0.246068	1.912498	0.022124	5058887680	5058887680	5058887680	5058887680	5058887680	5082509312	5093879808	5093879808	5093879808	5093879808	5093879808	5093879808	5093879808	5150236672	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632
37	5000000	2788095	279403	1932502	17257292	0	5213367	151800101	0	68828849	3308192	0.018490	1.344124	0.057722	0.000072	0.000000	0.000139	0.000072	0.000067	0.212007	1.653739	0.021185	5093879808	5093879808	5093879808	5093879808	5093879808	5116186624	5122297856	5122297856	5122297856	5122297856	5122297856	5122297856	5122297856	5180362752	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632
38	5000000	2893122	209262	1897616	17280247	0	4656014	156456115	0	71721971	3517454	0.016071	1.329798	0.157794	0.000075	0.000000	0.000140	0.000063	0.000077	0.201775	1.726040	0.020387	5122297856	5122297856	5122297856	5122297856	5122297856	5145440256	5145440256	5145440256	5145440256	5145440256	5145440256	5145440256	5145440256	5200752640	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632	7196741632
