round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000149	0.000207	0.000306	0.000082	0.000245	0.000172	0.000090	0.000083	0.000301	0.055921	0.054459	22962176	23093248	23093248	23093248	23162880	23162880	23162880	23162880	23162880	23224320	23224320	23224320	23224320	23224320	23093248	23093248	23093248	23093248	23162880	23162880	23162880	23162880	23162880	23224320	23224320	23224320	23224320	23224320
2	4	0	0	4	17	0	17	22	0	0	0	0.000112	0.000152	0.000241	0.000082	0.000000	0.000155	0.000078	0.000078	0.000298	0.001878	0.000838	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856
3	17	4	0	13	96	0	82	104	0	4	0	0.000111	0.000153	0.000245	0.000081	0.000000	0.000156	0.000077	0.000078	0.000295	0.001860	0.000820	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856	23289856
4	82	24	0	58	510	0	447	551	0	28	0	0.000110	0.000188	0.000229	0.000080	0.000000	0.000158	0.000079	0.000080	0.000344	0.001953	0.000844	23289856	23289856	23289856	23289856	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23289856	23289856	23289856	23289856	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952	23293952
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000109	0.000340	0.000231	0.000080	0.000000	0.000170	0.000077	0.000093	0.000396	0.002153	0.000827	23293952	23293952	23293952	23293952	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23293952	23293952	23293952	23293952	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240	23306240
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000127	0.000883	0.000256	0.000082	0.000000	0.000168	0.000077	0.000091	0.000401	0.002772	0.000855	23306240	23306240	23306240	23306240	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23306240	23306240	23306240	23306240	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000143	0.003050	0.000313	0.000092	0.000000	0.000152	0.000076	0.000076	0.001142	0.005788	0.000896	23355392	23355392	23355392	23355392	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23977984	23355392	23355392	23355392	23355392	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23748608	23977984
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000223	0.010987	0.000577	0.000084	0.000000	0.000153	0.000076	0.000077	0.003359	0.016356	0.000972	23748608	23748608	23851008	23851008	25001984	25001984	25071616	25071616	25071616	25071616	25071616	25071616	25071616	25858048	23928832	23928832	23928832	23928832	25001984	25001984	25071616	25071616	25071616	25071616	25071616	25071616	25071616	27082752
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000611	0.039466	0.002675	0.000088	0.000000	0.000156	0.000078	0.000078	0.009964	0.054310	0.001349	25001984	25001984	25726976	25726976	29687808	30007296	30343168	30343168	30343168	30343168	30343168	30343168	30343168	30138368	27082752	27082752	27082752	27082752	29687808	30007296	31686656	31686656	31686656	31686656	31686656	31686656	31686656	37867520
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002744	0.149894	0.006813	0.000083	0.000000	0.000120	0.000060	0.000060	0.047465	0.209022	0.001904	27365376	27365376	32780288	32780288	69931008	71405568	79491072	79491072	79491072	79491072	79491072	79491072	79491072	97705984	37867520	37867520	37867520	37867520	81674240	81674240	81674240	81674240	81674240	81674240	81674240	81674240	81674240	97705984
