# python3 experiments/gate_21_hugepages/stop_rule.py

### 1. 巨大ページを入れた3段

| 段 | `new` − `old`（95% 区間） | 判定 |
|---|---|---|
| F1 展開 | -8.22（-8.67 … -7.76） | 下がった |
| P1 | -4.99（-5.20 … -4.78） | 下がった |
| P2 | -17.09（-18.16 … -16.02） | 下がった |

### 2. 巨大ページが付いたか（`new` は表の全部、`old` は 0 のはず）

| 本 | 腕 | `AnonHugePages`（kB） | 表の全部か | `thp_fault_fallback` の前後差 |
|---|---|---|---|---|
| f1a_old | `old` | 0 | 0 | 0 |
| f1b_new | `new` | 4,194,304 | 全部 | 0 |
| f1c_new | `new` | 4,194,304 | 全部 | 0 |
| f1d_old | `old` | 0 | 0 | 0 |
| f2a_old | `old` | 0 | 0 | 0 |
| f2b_new | `new` | 4,194,304 | 全部 | 0 |
| f2c_new | `new` | 4,194,304 | 全部 | 0 |
| f2d_old | `old` | 0 | 0 | 0 |
| r1a_old | `old` | 0 | 0 | 0 |
| r1b_new | `new` | 8,388,608 | 全部 | 0 |
| r1c_new | `new` | 8,388,608 | 全部 | 0 |
| r1d_old | `old` | 0 | 0 | 0 |
| r2a_old | `old` | 0 | 0 | 0 |
| r2b_new | `new` | 8,388,608 | 全部 | 0 |
| r2c_new | `new` | 8,388,608 | 全部 | 0 |
| r2d_old | `old` | 0 | 0 | 0 |

=> 止める条件に掛からない: 本走に進む
