round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000143	0.000179	0.000293	0.000081	0.000217	0.000165	0.000087	0.000078	0.000307	0.054346	0.052961	22835200	22966272	22966272	22970368	23040000	23040000	23040000	23040000	23040000	23101440	23101440	23101440	23101440	23101440	22966272	22966272	22966272	22970368	23040000	23040000	23040000	23040000	23040000	23101440	23101440	23101440	23101440	23101440
2	4	0	0	4	17	0	17	22	0	0	0	0.000109	0.000145	0.000224	0.000078	0.000000	0.000151	0.000075	0.000076	0.000305	0.001833	0.000819	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976
3	17	4	0	13	96	0	82	104	0	4	0	0.000105	0.000145	0.000222	0.000079	0.000000	0.000150	0.000075	0.000076	0.000299	0.001803	0.000802	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976
4	82	24	0	58	510	0	447	551	0	28	0	0.000105	0.000169	0.000223	0.000078	0.000000	0.000149	0.000074	0.000075	0.000296	0.001834	0.000812	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000107	0.000309	0.000229	0.000079	0.000000	0.000149	0.000074	0.000075	0.000328	0.002024	0.000823	23166976	23166976	23166976	23166976	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23195648	23166976	23166976	23166976	23166976	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23195648
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000109	0.000806	0.000275	0.000080	0.000000	0.000150	0.000075	0.000075	0.000547	0.002850	0.000884	23195648	23195648	23195648	23195648	23293952	23293952	23322624	23322624	23322624	23322624	23322624	23322624	23322624	23478272	23195648	23195648	23195648	23195648	23293952	23293952	23322624	23322624	23322624	23322624	23322624	23322624	23322624	23478272
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000121	0.002734	0.000372	0.000081	0.000000	0.000151	0.000076	0.000076	0.001107	0.005480	0.000913	23359488	23359488	23359488	23359488	23789568	23789568	23822336	23822336	23822336	23822336	23822336	23822336	23822336	24051712	23359488	23359488	23359488	23359488	23789568	23789568	23822336	23822336	23822336	23822336	23822336	23822336	23822336	24051712
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000214	0.010048	0.000918	0.000082	0.000000	0.000152	0.000076	0.000076	0.003195	0.015569	0.000959	23822336	23822336	23924736	23924736	25305088	25305088	25677824	25677824	25677824	25677824	25677824	25677824	25677824	26275840	23822336	23822336	23924736	23924736	25305088	25305088	25677824	25677824	25677824	25677824	25677824	25677824	25677824	27246592
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000612	0.039048	0.002579	0.000084	0.000000	0.000154	0.000077	0.000077	0.010172	0.053963	0.001314	25419776	25419776	26148864	26148864	30109696	30425088	30556160	30556160	30556160	30556160	30556160	30556160	30556160	30556160	27246592	27246592	27246592	27246592	30109696	30425088	32116736	32116736	32116736	32116736	32116736	32116736	32116736	38088704
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002741	0.139441	0.007079	0.000066	0.000000	0.000137	0.000075	0.000062	0.032652	0.184079	0.001963	27783168	27783168	33198080	33198080	69894144	71340032	80150528	80150528	80150528	80150528	80150528	80150528	80150528	97640448	38088704	38088704	38088704	38088704	82100224	82100224	82100224	82100224	82100224	82100224	82100224	82100224	82100224	97640448
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002886	0.479223	0.030650	0.000069	0.000000	0.000136	0.000075	0.000062	0.106456	0.625289	0.005869	97640448	97640448	97665024	97665024	213196800	217055232	240013312	240013312	240013312	240013312	240013312	240013312	240013312	263651328	97640448	97640448	97665024	97665024	277266432	277266432	277266432	277266432	277266432	277266432	277266432	277266432	277266432	310616064
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.022635	1.183817	0.112196	0.000072	0.000000	0.000155	0.000092	0.000063	0.285722	1.617342	0.012746	240017408	240017408	263745536	263745536	442998784	452349952	460136448	460136448	460136448	460136448	460136448	460136448	460136448	452476928	310616064	310616064	310616064	310616064	563372032	563372032	563372032	563372032	563372032	563372032	563372032	563372032	563372032	579604480
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.056095	2.086167	0.253103	0.000086	0.000000	0.000151	0.000075	0.000076	0.449342	2.888586	0.043642	394907648	394907648	434909184	434909184	793534464	825516032	847704064	847704064	847704064	847704064	847704064	847704064	847704064	903127040	579604480	579604480	579604480	579604480	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.055996	1.722385	0.112278	0.000071	0.000000	0.000150	0.000086	0.000064	0.426154	2.347957	0.030923	684679168	684679168	724680704	724680704	793800704	812339200	812470272	812470272	812470272	812470272	812470272	812470272	812470272	873639936	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656	1091526656
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.055232	2.362936	0.266772	0.000087	0.000000	0.000149	0.000074	0.000075	0.393712	3.099354	0.020464	686469120	686469120	726470656	726470656	1330597888	1349197824	1374130176	1374130176	1374130176	1374130176	1374130176	1374130176	1374130176	1384177664	1091526656	1091526656	1091526656	1091526656	1919959040	1919959040	1919959040	1919959040	1919959040	1919959040	1919959040	1919959040	1919959040	1919959040
