round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000095	0.000183	0.000099	0.000079	0.000000	0.000150	0.000075	0.000075	0.000150	0.001583	0.000827	22605824	22736896	22736896	22736896	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22736896	22736896	22736896	22736896	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528
2	4	0	0	4	17	0	17	22	0	0	0	0.000079	0.000147	0.000081	0.000077	0.000000	0.000164	0.000087	0.000077	0.000156	0.001410	0.000706	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
3	17	4	0	13	96	0	82	104	0	4	0	0.000077	0.000160	0.000082	0.000076	0.000000	0.000149	0.000074	0.000075	0.000144	0.001393	0.000705	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
4	82	24	0	58	510	0	447	551	0	28	0	0.000076	0.000171	0.000080	0.000080	0.000000	0.000150	0.000074	0.000076	0.000151	0.001405	0.000697	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000078	0.000302	0.000087	0.000076	0.000000	0.000168	0.000087	0.000081	0.000151	0.001586	0.000724	22933504	22933504	22933504	22933504	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22933504	22933504	22933504	22933504	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000077	0.000823	0.000089	0.000080	0.000000	0.000150	0.000074	0.000075	0.000196	0.002162	0.000747	22945792	22945792	22945792	22945792	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23121920	22945792	22945792	22945792	22945792	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23121920
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000078	0.002772	0.000095	0.000078	0.000000	0.000150	0.000075	0.000075	0.000325	0.004290	0.000791	23126016	23126016	23126016	23126016	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23814144	23126016	23126016	23126016	23126016	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23814144
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000079	0.010360	0.000233	0.000079	0.000000	0.000150	0.000075	0.000075	0.000801	0.012540	0.000838	23584768	23584768	23584768	23584768	25153536	25153536	25341952	25341952	25341952	25341952	25341952	25341952	25341952	26198016	23584768	23584768	23584768	23584768	25153536	25153536	25341952	25341952	25341952	25341952	25341952	25341952	25341952	26198016
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000079	0.040370	0.000611	0.000082	0.000000	0.000152	0.000076	0.000076	0.002187	0.044676	0.001195	25341952	25341952	25341952	25341952	29827072	30146560	30867456	30867456	30867456	30867456	30867456	30867456	30867456	33640448	25882624	25882624	25882624	25882624	29827072	30146560	30867456	30867456	30867456	30867456	30867456	30867456	30867456	33640448
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000081	0.152970	0.001623	0.000064	0.000000	0.000116	0.000058	0.000058	0.005951	0.162496	0.001692	30867456	30867456	30867456	30867456	70340608	71790592	74252288	74252288	74252288	74252288	74252288	74252288	74252288	83021824	33226752	33226752	33226752	33226752	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	83021824
