round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000093	0.000190	0.000084	0.000076	0.000000	0.000149	0.000075	0.000075	0.000145	0.001562	0.000824	22609920	22740992	22740992	22740992	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22740992	22740992	22740992	22740992	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624
2	4	0	0	4	17	0	17	22	0	0	0	0.000078	0.000143	0.000081	0.000081	0.000000	0.000147	0.000074	0.000074	0.000148	0.001376	0.000698	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600
3	17	4	0	13	96	0	82	104	0	4	0	0.000077	0.000147	0.000079	0.000076	0.000000	0.000163	0.000090	0.000073	0.000164	0.001398	0.000693	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600
4	82	24	0	58	510	0	447	551	0	28	0	0.000077	0.000169	0.000103	0.000078	0.000000	0.000148	0.000074	0.000074	0.000141	0.001404	0.000688	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000078	0.000299	0.000084	0.000087	0.000000	0.000151	0.000075	0.000076	0.000146	0.001562	0.000718	22937600	22937600	22937600	22937600	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22937600	22937600	22937600	22937600	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888	22949888
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000077	0.000811	0.000093	0.000080	0.000000	0.000146	0.000073	0.000073	0.000142	0.002117	0.000767	22953984	22953984	22953984	22953984	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	22953984	22953984	22953984	22953984	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000078	0.002817	0.000094	0.000077	0.000000	0.000166	0.000074	0.000092	0.000165	0.004129	0.000732	23068672	23068672	23068672	23068672	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23068672	23068672	23068672	23068672	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000078	0.010379	0.000236	0.000080	0.000000	0.000151	0.000075	0.000075	0.000158	0.011856	0.000774	23613440	23613440	23613440	23613440	25100288	25100288	25292800	25292800	25292800	25292800	25292800	25292800	25292800	25292800	23613440	23613440	23613440	23613440	25100288	25100288	25292800	25292800	25292800	25292800	25292800	25292800	25292800	25292800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000078	0.040790	0.000156	0.000082	0.000000	0.000151	0.000076	0.000075	0.000144	0.042206	0.000805	25296896	25296896	25296896	25296896	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624	25296896	25296896	25296896	25296896	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624	32026624
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000093	0.144949	0.001550	0.000063	0.000000	0.000116	0.000058	0.000058	0.000118	0.148553	0.001666	32026624	32026624	32026624	32026624	69787648	71262208	73719808	73719808	73719808	73719808	73719808	73719808	73719808	73719808	32026624	32026624	32026624	32026624	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.000061	0.489655	0.005201	0.000063	0.000000	0.000151	0.000086	0.000064	0.000126	0.498765	0.003509	73719808	73719808	73719808	73719808	215552000	219377664	227033088	227033088	227033088	227033088	227033088	227033088	227033088	227033088	82554880	82554880	82554880	82554880	279613440	279613440	279613440	279613440	279613440	279613440	279613440	279613440	279613440	279613440
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.000061	1.216005	0.015021	0.000081	0.000000	0.000117	0.000058	0.000059	0.000117	1.242283	0.010881	227033088	227033088	227033088	227033088	453533696	468025344	489705472	489705472	489705472	489705472	489705472	489705472	489705472	489705472	279613440	279613440	279613440	279613440	574033920	574033920	574033920	574033920	574033920	574033920	574033920	574033920	574033920	574033920
13	7196129	3193516	61622	3940991	39461754	0	14128648	25866914	1	5004362	83313	0.000080	2.849095	0.039329	0.000066	0.000000	0.000118	0.000059	0.000060	0.000116	2.920341	0.031536	489705472	489705472	489705472	489705472	900599808	940638208	942235648	942235648	942235648	942235648	942235648	942235648	942235648	942235648	574033920	574033920	574033920	574033920	1199017984	1199017984	1199017984	1199017984	1199017984	1199017984	1199017984	1199017984	1199017984	1199017984
14	14128648	6389721	163748	7575179	74409264	0	23735351	49602265	1	11394083	247061	0.000063	5.507862	0.040016	0.000065	0.000000	0.000119	0.000059	0.000060	0.000134	5.592931	0.044672	910704640	910704640	910704640	910704640	1713004544	1764122624	1824722944	1824722944	1824722944	1824722944	1824722944	1824722944	1824722944	1824722944	1199017984	1199017984	1199017984	1199017984	2323279872	2323279872	2323279872	2323279872	2323279872	2323279872	2323279872	2323279872	2323279872	2323279872
15	23735351	12039974	422326	11273051	109922849	0	29547638	79149903	1	23434057	669387	0.000108	8.986290	0.059735	0.000067	0.000000	0.000124	0.000064	0.000060	0.000124	9.125353	0.078905	1713000448	1713000448	1713000448	1713000448	3066245120	3162562560	3252748288	3252748288	3252748288	3252748288	3252748288	3252748288	3252748288	3252748288	2323279872	2323279872	2323279872	2323279872	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248
16	29547638	15787478	680262	13079898	121261285	0	30196273	109346176	0	39221535	1349649	0.000065	9.007085	0.069117	0.000068	0.000000	0.000121	0.000059	0.000061	0.000123	9.176152	0.099574	3066241024	3066241024	3066241024	3066241024	3307560960	3433861120	3538501632	3538501632	3538501632	3538501632	3538501632	3538501632	3538501632	3538501632	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248
17	30196273	17823723	1096472	11276078	103992908	0	24550753	133896929	0	57045258	2446121	0.000064	9.005279	0.061562	0.000068	0.000000	0.000149	0.000082	0.000067	0.000128	9.188513	0.121264	3307560960	3307560960	3307560960	3307560960	3495194624	3645706240	3735912448	3735912448	3735912448	3735912448	3735912448	3735912448	3735912448	3735912448	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248	4429877248
18	24550753	14285714	1069257	9195782	83003138	0	21665489	155562418	1	71330972	3515378	0.000067	9.570492	0.049356	0.000069	0.000000	0.000142	0.000078	0.000064	0.000144	9.714395	0.094124	3503112192	3503112192	3503112192	3503112192	5815369728	5938212864	6011781120	6011781120	6011781120	6011781120	6011781120	6011781120	6011781120	6011781120	4429877248	4429877248	4429877248	4429877248	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136
19	21665489	12979224	920054	7766211	74097174	0	19240112	174802530	0	84310196	4435432	0.000081	6.425287	0.039612	0.000069	0.000000	0.000142	0.000061	0.000081	0.000129	6.544720	0.079401	5823926272	5823926272	5823926272	5823926272	5970493440	6081687552	6143815680	6143815680	6143815680	6143815680	6143815680	6143815680	6143815680	6143815680	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136
20	19240112	10598139	547365	8094608	76883606	0	19639885	194442415	0	94908335	4982797	0.000083	5.926083	0.040396	0.000101	0.000000	0.000153	0.000091	0.000062	0.000125	6.031007	0.064066	5977845760	5977845760	5977845760	5977845760	6130589696	6219751424	6284509184	6284509184	6284509184	6284509184	6284509184	6284509184	6284509184	6284509184	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136	8387035136
