round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000090	0.000175	0.000080	0.000076	0.000000	0.000146	0.000073	0.000073	0.000153	0.001525	0.000805	22605824	22736896	22736896	22736896	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22736896	22736896	22736896	22736896	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528	22806528
2	4	0	0	4	17	0	17	22	0	0	0	0.000074	0.000139	0.000088	0.000076	0.000000	0.000145	0.000072	0.000073	0.000142	0.001339	0.000676	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
3	17	4	0	13	96	0	82	104	0	4	0	0.000078	0.000144	0.000077	0.000074	0.000000	0.000144	0.000072	0.000073	0.000146	0.001346	0.000683	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
4	82	24	0	58	510	0	447	551	0	28	0	0.000074	0.000164	0.000081	0.000075	0.000000	0.000144	0.000072	0.000072	0.000139	0.001343	0.000666	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504	22933504
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000076	0.000291	0.000081	0.000075	0.000000	0.000147	0.000074	0.000074	0.000155	0.001564	0.000738	22933504	22933504	22933504	22933504	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22933504	22933504	22933504	22933504	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792	22945792
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000075	0.000804	0.000099	0.000078	0.000000	0.000144	0.000071	0.000073	0.000187	0.002101	0.000714	22945792	22945792	22945792	22945792	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23121920	22945792	22945792	22945792	22945792	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23060480	23121920
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000076	0.002772	0.000092	0.000076	0.000000	0.000145	0.000072	0.000072	0.000311	0.004231	0.000760	23126016	23126016	23126016	23126016	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23814144	23126016	23126016	23126016	23126016	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23584768	23814144
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000076	0.010427	0.000235	0.000078	0.000000	0.000148	0.000074	0.000074	0.000766	0.012543	0.000813	23584768	23584768	23584768	23584768	25153536	25153536	25341952	25341952	25341952	25341952	25341952	25341952	25341952	26198016	23584768	23584768	23584768	23584768	25153536	25153536	25341952	25341952	25341952	25341952	25341952	25341952	25341952	26198016
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000078	0.040840	0.000628	0.000082	0.000000	0.000154	0.000077	0.000077	0.002190	0.045168	0.001196	25341952	25341952	25341952	25341952	29827072	30146560	30867456	30867456	30867456	30867456	30867456	30867456	30867456	33640448	25882624	25882624	25882624	25882624	29827072	30146560	30867456	30867456	30867456	30867456	30867456	30867456	30867456	33640448
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000080	0.160542	0.001509	0.000097	0.000000	0.000115	0.000058	0.000057	0.006001	0.170203	0.001858	30867456	30867456	30867456	30867456	70344704	71794688	74256384	74256384	74256384	74256384	74256384	74256384	74256384	83025920	33226752	33226752	33226752	33226752	82558976	82558976	82558976	82558976	82558976	82558976	82558976	82558976	82558976	83025920
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.000062	0.477672	0.005524	0.000063	0.000000	0.000115	0.000057	0.000057	0.016259	0.503227	0.003532	83030016	83030016	83030016	83030016	216158208	219979776	227635200	227635200	227635200	227635200	227635200	227635200	227635200	251273216	83030016	83030016	83030016	83030016	280244224	280244224	280244224	280244224	280244224	280244224	280244224	280244224	280244224	280244224
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.000061	1.189018	0.014312	0.000083	0.000000	0.000121	0.000060	0.000061	0.029355	1.248052	0.015101	251273216	251273216	251273216	251273216	453718016	468078592	489758720	489758720	489758720	489758720	489758720	489758720	489758720	530071552	280244224	280244224	280244224	280244224	574103552	574103552	574103552	574103552	574103552	574103552	574103552	574103552	574103552	574103552
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.000062	2.075478	0.029930	0.000065	0.000000	0.000118	0.000059	0.000059	0.036909	2.171603	0.029042	472502272	472502272	472502272	472502272	831254528	863236096	907071488	907071488	907071488	907071488	907071488	907071488	907071488	948449280	574103552	574103552	574103552	574103552	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.000062	1.710123	0.013991	0.000065	0.000000	0.000116	0.000058	0.000059	0.066864	1.813342	0.022122	865583104	865583104	865583104	865583104	909565952	928104448	949202944	949202944	949202944	949202944	949202944	949202944	949202944	1048772608	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128	1129136128
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.000066	2.311756	0.014869	0.000064	0.000000	0.000118	0.000059	0.000059	0.071412	2.422272	0.023987	920084480	920084480	920084480	920084480	1524580352	1542053888	1564344320	1564344320	1564344320	1564344320	1564344320	1564344320	1564344320	1642016768	1129136128	1129136128	1129136128	1129136128	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.000067	1.662340	0.014116	0.000066	0.000000	0.000119	0.000059	0.000060	0.045879	1.740919	0.018333	1503092736	1503092736	1503092736	1503092736	1568874496	1587097600	1608093696	1608093696	1608093696	1608093696	1608093696	1608093696	1608093696	1674788864	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.000073	1.643101	0.013646	0.000064	0.000000	0.000118	0.000059	0.000059	0.043638	1.718825	0.018186	1608093696	1608093696	1608093696	1608093696	1630781440	1649221632	1670316032	1670316032	1670316032	1670316032	1670316032	1670316032	1670316032	1725956096	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.000067	1.639576	0.013205	0.000086	0.000000	0.000122	0.000061	0.000061	0.061987	1.734137	0.019093	1663266816	1663266816	1663266816	1663266816	1677602816	1697394688	1717215232	1717215232	1717215232	1717215232	1717215232	1717215232	1717215232	1775304704	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248	2113589248
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.000064	2.877583	0.012971	0.000065	0.000000	0.000118	0.000059	0.000059	0.042111	2.951162	0.018252	1720967168	1720967168	1720967168	1720967168	2800852992	2821480448	2840408064	2840408064	2840408064	2840408064	2840408064	2840408064	2840408064	2899025920	2113589248	2113589248	2113589248	2113589248	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.000065	1.446175	0.011587	0.000069	0.000000	0.000125	0.000064	0.000061	0.052967	1.530877	0.019888	2852880384	2852880384	2852880384	2852880384	2861207552	2882785280	2899550208	2899550208	2899550208	2899550208	2899550208	2899550208	2899550208	2975412224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.000085	1.449036	0.012517	0.000065	0.000000	0.000119	0.000060	0.000060	0.028680	1.507582	0.017080	2927083520	2927083520	2927083520	2927083520	2927570944	2948157440	2967080960	2967080960	2967080960	2967080960	2967080960	2967080960	2967080960	3007565824	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.000065	1.425346	0.012091	0.000069	0.000000	0.000126	0.000063	0.000063	0.031129	1.485012	0.016185	2967076864	2967076864	2967076864	2967076864	2967076864	2988531712	3006300160	3006300160	3006300160	3006300160	3006300160	3006300160	3006300160	3049959424	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.000064	1.419118	0.011851	0.000063	0.000000	0.000116	0.000058	0.000058	0.053243	1.500066	0.015611	3049959424	3049959424	3049959424	3049959424	3009957888	3031400448	3049533440	3049533440	3049533440	3049533440	3049533440	3049533440	3049533440	3088863232	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.000067	1.387299	0.012931	0.000089	0.000000	0.000118	0.000059	0.000059	0.025035	1.440785	0.015248	3088863232	3088863232	3088863232	3088863232	3048861696	3069784064	3088154624	3088154624	3088154624	3088154624	3088154624	3088154624	3088154624	3125682176	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224	3948212224
