round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000097	0.000197	0.000112	0.000086	0.000000	0.000157	0.000078	0.000079	0.000154	0.001666	0.000864	22638592	22769664	22769664	22769664	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22769664	22769664	22769664	22769664	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296	22839296
2	4	0	0	4	17	0	17	22	0	0	0	0.000082	0.000151	0.000085	0.000093	0.000000	0.000155	0.000078	0.000077	0.000158	0.001464	0.000740	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272
3	17	4	0	13	96	0	82	104	0	4	0	0.000081	0.000155	0.000085	0.000081	0.000000	0.000155	0.000077	0.000078	0.000177	0.001508	0.000775	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272
4	82	24	0	58	510	0	447	551	0	28	0	0.000081	0.000173	0.000085	0.000081	0.000000	0.000154	0.000077	0.000077	0.000146	0.001448	0.000728	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272	22966272
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000082	0.000305	0.000087	0.000083	0.000000	0.000155	0.000078	0.000077	0.000149	0.001604	0.000744	22966272	22966272	22966272	22966272	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22966272	22966272	22966272	22966272	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560	22978560
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000083	0.000823	0.000095	0.000082	0.000000	0.000153	0.000077	0.000077	0.000166	0.002174	0.000772	22978560	22978560	22978560	22978560	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248	22978560	22978560	22978560	22978560	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248	23093248
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000080	0.002815	0.000098	0.000082	0.000000	0.000170	0.000092	0.000078	0.000156	0.004175	0.000774	23097344	23097344	23097344	23097344	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23097344	23097344	23097344	23097344	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000079	0.010391	0.000239	0.000097	0.000000	0.000162	0.000076	0.000086	0.000150	0.011893	0.000777	23642112	23642112	23642112	23642112	25128960	25128960	25321472	25321472	25321472	25321472	25321472	25321472	25321472	25321472	23642112	23642112	23642112	23642112	25128960	25128960	25321472	25321472	25321472	25321472	25321472	25321472	25321472	25321472
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000078	0.040625	0.000170	0.000082	0.000000	0.000154	0.000077	0.000077	0.000146	0.042079	0.000824	25321472	25321472	25321472	25321472	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200	25321472	25321472	25321472	25321472	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200	32051200
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000077	0.159861	0.001530	0.000087	0.000000	0.000126	0.000063	0.000063	0.000136	0.163522	0.001706	32051200	32051200	32051200	32051200	69816320	71290880	73748480	73748480	73748480	73748480	73748480	73748480	73748480	73748480	32051200	32051200	32051200	32051200	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880	82554880
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.000059	0.488774	0.005424	0.000063	0.000000	0.000118	0.000058	0.000059	0.000115	0.498022	0.003470	73752576	73752576	73752576	73752576	215584768	219410432	227065856	227065856	227065856	227065856	227065856	227065856	227065856	227065856	82554880	82554880	82554880	82554880	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536	279617536
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.000063	1.203040	0.014724	0.000071	0.000000	0.000127	0.000064	0.000063	0.000122	1.228765	0.010618	227065856	227065856	227065856	227065856	453566464	468058112	489738240	489738240	489738240	489738240	489738240	489738240	489738240	489738240	279617536	279617536	279617536	279617536	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016	574038016
13	7196129	3193516	61622	3940991	39461754	0	14128648	25866914	1	5004362	83313	0.000065	2.831173	0.037891	0.000067	0.000000	0.000119	0.000059	0.000059	0.000135	2.900153	0.030704	489738240	489738240	489738240	489738240	900632576	940670976	942268416	942268416	942268416	942268416	942268416	942268416	942268416	942268416	574038016	574038016	574038016	574038016	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080	1199022080
14	14128648	6389721	163748	7575179	74409264	0	23735351	49602265	1	11394083	247061	0.000061	5.490926	0.040761	0.000069	0.000000	0.000142	0.000059	0.000082	0.000146	5.578508	0.046402	910737408	910737408	910737408	910737408	1713037312	1764155392	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1824755712	1199022080	1199022080	1199022080	1199022080	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968	2323283968
15	23735351	12039974	422326	11273051	109922849	0	29547638	79149903	1	23434057	669387	0.000082	8.946819	0.057988	0.000067	0.000000	0.000131	0.000060	0.000071	0.000121	9.085788	0.080580	1713033216	1713033216	1713033216	1713033216	3066277888	3162595328	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	3252781056	2323283968	2323283968	2323283968	2323283968	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976
16	29547638	15787478	680262	13079898	121261285	0	30196273	109346176	0	39221535	1349649	0.000097	8.984540	0.069709	0.000067	0.000000	0.000149	0.000069	0.000080	0.000129	9.153213	0.098522	3066273792	3066273792	3066273792	3066273792	3307593728	3433893888	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	3538534400	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976
17	30196273	17823723	1096472	11276078	103992908	0	24550753	133896929	0	57045258	2446121	0.000063	8.987079	0.060477	0.000068	0.000000	0.000146	0.000059	0.000087	0.000129	9.163445	0.115483	3307593728	3307593728	3307593728	3307593728	3495227392	3645739008	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	3735945216	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976	4429438976
18	24550753	14285714	1069257	9195782	83003138	0	21665489	155562418	1	71330972	3515378	0.000063	9.514683	0.049648	0.000070	0.000000	0.000121	0.000061	0.000060	0.000125	9.658356	0.093644	3503144960	3503144960	3503144960	3503144960	5815402496	5938245632	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	6011813888	4429438976	4429438976	4429438976	4429438976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976
19	21665489	12979224	920054	7766211	74097174	0	19240112	174802530	0	84310196	4435432	0.000063	6.233117	0.041903	0.000067	0.000000	0.000119	0.000060	0.000059	0.000122	6.358472	0.083082	5823959040	5823959040	5823959040	5823959040	5970526208	6081720320	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	6143848448	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976
20	19240112	10598139	547365	8094608	76883606	0	19639885	194442415	0	94908335	4982797	0.000062	5.947488	0.045228	0.000072	0.000000	0.000128	0.000064	0.000065	0.000134	6.060199	0.067088	5977878528	5977878528	5977878528	5977878528	6130622464	6219784192	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	6284541952	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976
21	19639885	11732850	509356	7397679	70916460	0	16191130	210633545	0	106641185	5492153	0.000081	5.899470	0.041804	0.000067	0.000000	0.000120	0.000060	0.000060	0.000131	6.014915	0.073243	6134996992	6134996992	6134996992	6134996992	6260453376	6358392832	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	6417571840	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976
22	16191130	9746094	418556	6026480	55398221	0	12541736	223175281	0	116387279	5910709	0.000081	4.811870	0.031190	0.000071	0.000000	0.000171	0.000093	0.000078	0.000130	4.904008	0.060495	6264524800	6264524800	6264524800	6264524800	6361513984	6442827776	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	6491041792	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976	8386686976
