round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000137	0.000181	0.000310	0.000082	0.000213	0.000168	0.000089	0.000079	0.000307	0.052183	0.050786	22843392	22974464	22974464	22974464	23044096	23044096	23044096	23044096	23044096	23105536	23105536	23105536	23105536	23105536	22974464	22974464	22974464	22974464	23044096	23044096	23044096	23044096	23044096	23105536	23105536	23105536	23105536	23105536
2	4	0	0	4	17	0	17	22	0	0	0	0.000106	0.000159	0.000227	0.000080	0.000000	0.000152	0.000075	0.000076	0.000311	0.001844	0.000810	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072
3	17	4	0	13	96	0	82	104	0	4	0	0.000107	0.000163	0.000222	0.000080	0.000000	0.000154	0.000077	0.000077	0.000291	0.001824	0.000807	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072
4	82	24	0	58	510	0	447	551	0	28	0	0.000106	0.000186	0.000223	0.000080	0.000000	0.000150	0.000075	0.000075	0.000298	0.001852	0.000808	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072	23171072
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000108	0.000307	0.000231	0.000080	0.000000	0.000150	0.000075	0.000075	0.000330	0.002057	0.000852	23171072	23171072	23171072	23171072	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23199744	23171072	23171072	23171072	23171072	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23183360	23199744
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000116	0.000819	0.000274	0.000083	0.000000	0.000163	0.000075	0.000088	0.000593	0.002932	0.000884	23199744	23199744	23199744	23199744	23298048	23298048	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23482368	23199744	23199744	23199744	23199744	23298048	23298048	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23482368
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000126	0.002776	0.000393	0.000096	0.000000	0.000155	0.000077	0.000077	0.001118	0.005559	0.000895	23363584	23363584	23363584	23363584	23793664	23793664	23826432	23826432	23826432	23826432	23826432	23826432	23826432	24055808	23363584	23363584	23363584	23363584	23793664	23793664	23826432	23826432	23826432	23826432	23826432	23826432	23826432	24055808
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000234	0.010161	0.000932	0.000084	0.000000	0.000169	0.000090	0.000079	0.003242	0.015782	0.000960	23826432	23826432	23928832	23928832	25309184	25309184	25681920	25681920	25681920	25681920	25681920	25681920	25681920	26279936	23826432	23826432	23928832	23928832	25309184	25309184	25681920	25681920	25681920	25681920	25681920	25681920	25681920	27250688
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000624	0.039261	0.002603	0.000086	0.000000	0.000157	0.000078	0.000078	0.010210	0.054275	0.001334	25423872	25423872	26152960	26152960	30113792	30429184	30560256	30560256	30560256	30560256	30560256	30560256	30560256	30560256	27250688	27250688	27250688	27250688	30113792	30429184	32120832	32120832	32120832	32120832	32120832	32120832	32120832	38092800
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002749	0.148739	0.007144	0.000066	0.000000	0.000122	0.000060	0.000062	0.033467	0.194379	0.002091	27787264	27787264	33202176	33202176	69898240	71344128	80154624	80154624	80154624	80154624	80154624	80154624	80154624	97644544	38092800	38092800	38092800	38092800	82104320	82104320	82104320	82104320	82104320	82104320	82104320	82104320	82104320	97644544
