round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000094	0.000186	0.000085	0.000077	0.000000	0.000158	0.000074	0.000084	0.001801	0.003300	0.000899	22601728	22716416	22716416	22716416	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22716416	22716416	22716416	22716416	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048	22786048
2	4	0	0	4	17	0	17	22	0	0	0	0.000082	0.000147	0.000080	0.000078	0.000000	0.000148	0.000074	0.000074	0.000154	0.001404	0.000715	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024
3	17	4	0	13	96	0	82	104	0	4	0	0.000086	0.000149	0.000080	0.000074	0.000000	0.000147	0.000073	0.000074	0.000161	0.001380	0.000682	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024
4	82	24	0	58	510	0	447	551	0	28	0	0.000076	0.000169	0.000084	0.000077	0.000000	0.000146	0.000073	0.000073	0.000140	0.001376	0.000685	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024	22913024
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000077	0.000300	0.000085	0.000099	0.000000	0.000146	0.000073	0.000073	0.000150	0.001573	0.000716	22913024	22913024	22913024	22913024	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22913024	22913024	22913024	22913024	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000076	0.000814	0.000093	0.000080	0.000000	0.000147	0.000073	0.000074	0.000191	0.002138	0.000737	22925312	22925312	22925312	22925312	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23101440	22925312	22925312	22925312	22925312	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23040000	23101440
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000076	0.002813	0.000093	0.000077	0.000000	0.000147	0.000073	0.000074	0.000329	0.004292	0.000756	23105536	23105536	23105536	23105536	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23793664	23105536	23105536	23105536	23105536	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23564288	23793664
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000077	0.010516	0.000243	0.000099	0.000000	0.000149	0.000074	0.000074	0.000763	0.012670	0.000823	23564288	23564288	23564288	23564288	25133056	25133056	25321472	25321472	25321472	25321472	25321472	25321472	25321472	26177536	23564288	23564288	23564288	23564288	25133056	25133056	25321472	25321472	25321472	25321472	25321472	25321472	25321472	26177536
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000078	0.041189	0.000617	0.000081	0.000000	0.000151	0.000075	0.000076	0.002132	0.045458	0.001208	25321472	25321472	25321472	25321472	29806592	30126080	30846976	30846976	30846976	30846976	30846976	30846976	30846976	33619968	25870336	25870336	25870336	25870336	29806592	30126080	30846976	30846976	30846976	30846976	30846976	30846976	30846976	33619968
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000080	0.161311	0.001680	0.000102	0.000000	0.000124	0.000062	0.000061	0.006453	0.171655	0.001907	30846976	30846976	30846976	30846976	70324224	71774208	74235904	74235904	74235904	74235904	74235904	74235904	74235904	83005440	33214464	33214464	33214464	33214464	82546688	82546688	82546688	82546688	82546688	82546688	82546688	82546688	82546688	83005440
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.000065	0.498514	0.005662	0.000095	0.000000	0.000122	0.000061	0.000061	0.016368	0.524450	0.003625	83009536	83009536	83009536	83009536	216137728	219959296	227614720	227614720	227614720	227614720	227614720	227614720	227614720	251252736	83009536	83009536	83009536	83009536	280231936	280231936	280231936	280231936	280231936	280231936	280231936	280231936	280231936	280231936
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.000065	1.227462	0.014427	0.000106	0.000000	0.000124	0.000062	0.000063	0.029029	1.286079	0.014865	251252736	251252736	251252736	251252736	453697536	468058112	489738240	489738240	489738240	489738240	489738240	489738240	489738240	530051072	280231936	280231936	280231936	280231936	574091264	574091264	574091264	574091264	574091264	574091264	574091264	574091264	574091264	574091264
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.000067	2.104420	0.029953	0.000063	0.000000	0.000150	0.000087	0.000063	0.036888	2.200912	0.029370	472481792	472481792	472481792	472481792	831234048	863215616	907051008	907051008	907051008	907051008	907051008	907051008	907051008	948428800	574091264	574091264	574091264	574091264	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.000066	1.723796	0.014044	0.000063	0.000000	0.000137	0.000075	0.000062	0.067837	1.828891	0.022948	865562624	865562624	865562624	865562624	909545472	928083968	949182464	949182464	949182464	949182464	949182464	949182464	949182464	1048752128	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840	1129123840
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.000068	2.327860	0.015580	0.000066	0.000000	0.000137	0.000074	0.000063	0.070907	2.436452	0.021835	920064000	920064000	920064000	920064000	1524559872	1542033408	1564323840	1564323840	1564323840	1564323840	1564323840	1564323840	1564323840	1641996288	1129123840	1129123840	1129123840	1129123840	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.000066	1.672157	0.014111	0.000079	0.000000	0.000139	0.000076	0.000063	0.045880	1.750497	0.018065	1503072256	1503072256	1503072256	1503072256	1568854016	1587077120	1608073216	1608073216	1608073216	1608073216	1608073216	1608073216	1608073216	1674768384	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.000095	1.664422	0.014071	0.000068	0.000000	0.000126	0.000063	0.000063	0.043185	1.739649	0.017683	1608073216	1608073216	1608073216	1608073216	1630760960	1649201152	1670295552	1670295552	1670295552	1670295552	1670295552	1670295552	1670295552	1725935616	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.000067	1.660087	0.013296	0.000064	0.000000	0.000141	0.000078	0.000063	0.061562	1.753636	0.018419	1663246336	1663246336	1663246336	1663246336	1677582336	1697374208	1717194752	1717194752	1717194752	1717194752	1717194752	1717194752	1717194752	1775284224	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960	2113576960
