round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000157	0.000185	0.000300	0.000095	0.000214	0.000166	0.000087	0.000079	0.000289	0.050403	0.048997	22851584	22982656	22982656	22982656	23052288	23052288	23052288	23052288	23052288	23113728	23113728	23113728	23113728	23113728	22982656	22982656	22982656	22982656	23052288	23052288	23052288	23052288	23052288	23113728	23113728	23113728	23113728	23113728
2	4	0	0	4	17	0	17	22	0	0	0	0.000109	0.000147	0.000234	0.000082	0.000000	0.000153	0.000076	0.000077	0.000286	0.001830	0.000819	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264
3	17	4	0	13	96	0	82	104	0	4	0	0.000108	0.000150	0.000230	0.000080	0.000000	0.000151	0.000075	0.000076	0.000279	0.001801	0.000803	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264
4	82	24	0	58	510	0	447	551	0	28	0	0.000109	0.000173	0.000233	0.000080	0.000000	0.000151	0.000075	0.000076	0.000294	0.001835	0.000796	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000110	0.000305	0.000228	0.000081	0.000000	0.000153	0.000076	0.000077	0.000337	0.002049	0.000834	23179264	23179264	23179264	23179264	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23207936	23179264	23179264	23179264	23179264	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23207936
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000109	0.000834	0.000293	0.000083	0.000000	0.000152	0.000076	0.000076	0.000596	0.002939	0.000871	23207936	23207936	23207936	23207936	23306240	23306240	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23490560	23207936	23207936	23207936	23207936	23306240	23306240	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23490560
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000110	0.002273	0.000374	0.000075	0.000000	0.000130	0.000065	0.000064	0.001028	0.004796	0.000806	23371776	23371776	23371776	23371776	23801856	23801856	23834624	23834624	23834624	23834624	23834624	23834624	23834624	24064000	23371776	23371776	23371776	23371776	23801856	23801856	23834624	23834624	23834624	23834624	23834624	23834624	23834624	24064000
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000196	0.008048	0.000821	0.000072	0.000000	0.000129	0.000064	0.000064	0.002724	0.012873	0.000884	23834624	23834624	23937024	23937024	25317376	25317376	25690112	25690112	25690112	25690112	25690112	25690112	25690112	26288128	23834624	23834624	23937024	23937024	25317376	25317376	25690112	25690112	25690112	25690112	25690112	25690112	25690112	27250688
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000546	0.031214	0.002228	0.000080	0.000000	0.000141	0.000079	0.000063	0.008554	0.043862	0.001099	25432064	25432064	26161152	26161152	30121984	30437376	30568448	30568448	30568448	30568448	30568448	30568448	30568448	30568448	27250688	27250688	27250688	27250688	30121984	30437376	32120832	32120832	32120832	32120832	32120832	32120832	32120832	38092800
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002194	0.137494	0.007286	0.000101	0.000000	0.000125	0.000062	0.000063	0.044291	0.193398	0.001907	27795456	27795456	33210368	33210368	69906432	71352320	80162816	80162816	80162816	80162816	80162816	80162816	80162816	97652736	38092800	38092800	38092800	38092800	82104320	82104320	82104320	82104320	82104320	82104320	82104320	82104320	82104320	97652736
