round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000140	0.000181	0.000282	0.000082	0.000212	0.000165	0.000088	0.000077	0.000301	0.052069	0.050706	22757376	22888448	22888448	22888448	22958080	22958080	22958080	22958080	22958080	23019520	23019520	23019520	23019520	23019520	22888448	22888448	22888448	22888448	22958080	22958080	22958080	22958080	22958080	23019520	23019520	23019520	23019520	23019520
2	4	0	0	4	17	0	17	22	0	0	0	0.000109	0.000150	0.000230	0.000082	0.000000	0.000153	0.000077	0.000076	0.000314	0.001863	0.000825	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056
3	17	4	0	13	96	0	82	104	0	4	0	0.000105	0.000150	0.000221	0.000079	0.000000	0.000149	0.000075	0.000073	0.000296	0.001814	0.000815	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056
4	82	24	0	58	510	0	447	551	0	28	0	0.000106	0.000183	0.000226	0.000078	0.000000	0.000149	0.000075	0.000074	0.000303	0.001857	0.000811	23085056	23085056	23085056	23085056	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23085056	23085056	23085056	23085056	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152	23089152
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000107	0.000320	0.000229	0.000080	0.000000	0.000148	0.000074	0.000074	0.000312	0.002027	0.000832	23089152	23089152	23089152	23089152	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23089152	23089152	23089152	23089152	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000108	0.000767	0.000308	0.000083	0.000000	0.000149	0.000075	0.000074	0.000380	0.002650	0.000855	23101440	23101440	23101440	23101440	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23101440	23101440	23101440	23101440	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000120	0.002528	0.000299	0.000085	0.000000	0.000151	0.000076	0.000075	0.001027	0.005113	0.000903	23150592	23150592	23150592	23150592	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23543808	23150592	23150592	23150592	23150592	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23314432	23543808
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000287	0.010236	0.000701	0.000084	0.000000	0.000150	0.000075	0.000074	0.003343	0.015777	0.000977	23314432	23314432	23543808	23543808	24797184	24797184	24797184	24797184	24797184	24797184	24797184	24797184	24797184	25649152	23396352	23396352	23543808	23543808	24797184	24797184	24797184	24797184	24797184	24797184	24797184	24797184	24797184	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000620	0.035451	0.002211	0.000071	0.000000	0.000132	0.000069	0.000063	0.008255	0.047917	0.001177	24793088	24793088	25522176	25522176	29483008	29798400	30134272	30134272	30134272	30134272	30134272	30134272	30134272	29929472	26828800	26828800	26828800	26828800	29483008	29798400	31494144	31494144	31494144	31494144	31494144	31494144	31494144	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002187	0.154153	0.007104	0.000094	0.000000	0.000122	0.000062	0.000060	0.044650	0.210227	0.001917	27156480	27156480	32567296	32567296	69722112	71196672	79286272	79286272	79286272	79286272	79286272	79286272	79286272	97497088	37670912	37670912	37670912	37670912	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	97497088
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002861	0.552698	0.036233	0.000073	0.000000	0.000122	0.000062	0.000060	0.140422	0.737850	0.005441	97497088	97497088	97521664	97521664	213053440	216875008	240377856	240377856	240377856	240377856	240377856	240377856	240377856	264101888	97497088	97497088	97521664	97521664	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	310935552
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024198	1.339024	0.142152	0.000080	0.000000	0.000147	0.000067	0.000080	0.308740	1.823434	0.009094	240463872	240463872	264101888	264101888	443355136	443355136	452476928	452476928	452476928	452476928	452476928	452476928	452476928	437170176	310935552	310935552	310935552	310935552	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	571949056
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.054344	2.358021	0.309647	0.000125	0.000000	0.000209	0.000106	0.000103	0.538566	3.298067	0.037155	379600896	379600896	419602432	419602432	778223616	810205184	853565440	853565440	853565440	853565440	853565440	853565440	853565440	887308288	571949056	571949056	571949056	571949056	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.055792	1.824999	0.131775	0.000094	0.000000	0.000143	0.000066	0.000077	0.466082	2.505986	0.027101	684814336	684814336	724815872	724815872	793939968	812478464	812609536	812609536	812609536	812609536	812609536	812609536	812609536	873779200	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400	1075814400
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.053186	2.805807	0.333190	0.000174	0.000000	0.000291	0.000148	0.000144	0.456777	3.668783	0.019358	686256128	686256128	726257664	726257664	1330380800	1348980736	1373913088	1373913088	1373913088	1373913088	1373913088	1373913088	1373913088	1383960576	1075814400	1075814400	1075814400	1075814400	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.039324	1.725902	0.167290	0.000087	0.000000	0.000146	0.000074	0.000072	0.544568	2.500234	0.022917	1306288128	1306288128	1346289664	1346289664	1372983296	1391276032	1391276032	1391276032	1391276032	1391276032	1391276032	1391276032	1391276032	1442643968	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.038986	1.752295	0.335183	0.000116	0.000000	0.000197	0.000099	0.000098	0.461917	2.608602	0.019907	1300606976	1300606976	1340608512	1340608512	1363296256	1381957632	1410170880	1410170880	1410170880	1410170880	1410170880	1410170880	1410170880	1455042560	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016509	1.723424	0.170817	0.000095	0.000000	0.000136	0.000070	0.000066	0.380859	2.311312	0.019472	1367990272	1367990272	1367990272	1367990272	1422327808	1442267136	1413296128	1413296128	1413296128	1413296128	1413296128	1413296128	1413296128	1415675904	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632	1919557632
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.041842	3.638093	0.339301	0.000107	0.000000	0.000158	0.000079	0.000079	0.432001	4.471317	0.019815	1354289152	1354289152	1394290688	1394290688	2474176512	2494803968	2509737984	2509737984	2509737984	2509737984	2509737984	2509737984	2509737984	2544893952	1919557632	1919557632	1919557632	1919557632	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.017670	1.506101	0.145363	0.000080	0.000000	0.000134	0.000069	0.000065	0.420016	2.111035	0.021671	2477363200	2477363200	2477363200	2477363200	2525691904	2547269632	2522882048	2522882048	2522882048	2522882048	2522882048	2522882048	2522882048	2588721152	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392	3621179392
