round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000120	0.000150	0.000314	0.000066	0.000194	0.000148	0.000085	0.000063	0.000258	0.041841	0.040592	22806528	23003136	23003136	23003136	23076864	23076864	23076864	23076864	23076864	23138304	23138304	23138304	23138304	23138304	23003136	23003136	23003136	23003136	23076864	23076864	23076864	23076864	23076864	23138304	23138304	23138304	23138304	23138304
2	4	0	0	4	17	0	17	22	0	0	0	0.000085	0.000111	0.000172	0.000060	0.000000	0.000144	0.000060	0.000084	0.000231	0.001537	0.000734	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840
3	17	4	0	13	96	0	82	104	0	4	0	0.000095	0.000113	0.000184	0.000077	0.000000	0.000162	0.000088	0.000074	0.000277	0.001567	0.000658	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840	23203840
4	82	24	0	58	510	0	447	551	0	28	0	0.000082	0.000139	0.000195	0.000064	0.000000	0.000118	0.000059	0.000059	0.000220	0.001482	0.000664	23203840	23203840	23203840	23203840	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23203840	23203840	23203840	23203840	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23207936
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000089	0.000240	0.000172	0.000063	0.000000	0.000133	0.000060	0.000073	0.000277	0.001684	0.000711	23207936	23207936	23207936	23207936	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23207936	23207936	23207936	23207936	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224	23220224
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000145	0.000691	0.000243	0.000089	0.000000	0.000133	0.000059	0.000074	0.000338	0.002425	0.000786	23220224	23220224	23220224	23220224	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23220224	23220224	23220224	23220224	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376	23269376
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000111	0.002306	0.000246	0.000061	0.000000	0.000133	0.000074	0.000059	0.000902	0.004558	0.000799	23269376	23269376	23269376	23269376	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23662592	23269376	23269376	23269376	23269376	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23433216	23662592
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000203	0.008471	0.000547	0.000062	0.000000	0.000125	0.000057	0.000068	0.002598	0.012765	0.000758	23433216	23433216	23662592	23662592	24915968	24915968	24915968	24915968	24915968	24915968	24915968	24915968	24915968	25767936	23433216	23433216	23662592	23662592	24915968	24915968	24915968	24915968	24915968	24915968	24915968	24915968	24915968	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000501	0.032219	0.002146	0.000064	0.000000	0.000113	0.000057	0.000055	0.007807	0.043896	0.001047	24911872	24911872	25640960	25640960	29601792	29917184	30253056	30253056	30253056	30253056	30253056	30253056	30253056	30048256	26828800	26828800	26828800	26828800	29601792	29917184	31494144	31494144	31494144	31494144	31494144	31494144	31494144	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002326	0.165024	0.007168	0.000071	0.000000	0.000124	0.000063	0.000061	0.044240	0.220788	0.001836	27275264	27275264	32686080	32686080	69840896	71315456	79405056	79405056	79405056	79405056	79405056	79405056	79405056	97615872	37670912	37670912	37670912	37670912	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	97615872
