round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000135	0.000178	0.000284	0.000082	0.000214	0.000164	0.000087	0.000077	0.000308	0.052101	0.050737	22753280	22884352	22884352	22884352	22953984	22953984	22953984	22953984	22953984	23015424	23015424	23015424	23015424	23015424	22884352	22884352	22884352	22884352	22953984	22953984	22953984	22953984	22953984	23015424	23015424	23015424	23015424	23015424
2	4	0	0	4	17	0	17	22	0	0	0	0.000107	0.000145	0.000226	0.000080	0.000000	0.000150	0.000076	0.000074	0.000310	0.001833	0.000815	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960
3	17	4	0	13	96	0	82	104	0	4	0	0.000105	0.000150	0.000220	0.000080	0.000000	0.000149	0.000075	0.000074	0.000301	0.001810	0.000805	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960	23080960
4	82	24	0	58	510	0	447	551	0	28	0	0.000105	0.000191	0.000225	0.000080	0.000000	0.000147	0.000074	0.000073	0.000302	0.001846	0.000796	23080960	23080960	23080960	23080960	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23080960	23080960	23080960	23080960	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056	23085056
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000107	0.000318	0.000228	0.000081	0.000000	0.000160	0.000075	0.000085	0.000313	0.002029	0.000821	23085056	23085056	23085056	23085056	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23085056	23085056	23085056	23085056	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000108	0.000775	0.000350	0.000082	0.000000	0.000151	0.000076	0.000075	0.000386	0.002712	0.000860	23097344	23097344	23097344	23097344	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23097344	23097344	23097344	23097344	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496	23146496
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000119	0.002572	0.000308	0.000084	0.000000	0.000150	0.000075	0.000074	0.001180	0.005365	0.000952	23146496	23146496	23146496	23146496	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23539712	23146496	23146496	23146496	23146496	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23310336	23539712
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000274	0.010651	0.000710	0.000098	0.000000	0.000149	0.000074	0.000075	0.003385	0.016240	0.000974	23310336	23310336	23539712	23539712	24793088	24793088	24793088	24793088	24793088	24793088	24793088	24793088	24793088	25645056	23396352	23396352	23539712	23539712	24793088	24793088	24793088	24793088	24793088	24793088	24793088	24793088	24793088	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000621	0.040128	0.002354	0.000070	0.000000	0.000122	0.000062	0.000061	0.008335	0.052803	0.001172	24788992	24788992	25518080	25518080	29478912	29794304	30130176	30130176	30130176	30130176	30130176	30130176	30130176	29925376	26828800	26828800	26828800	26828800	29478912	29794304	31494144	31494144	31494144	31494144	31494144	31494144	31494144	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002221	0.156452	0.006839	0.000066	0.000000	0.000115	0.000058	0.000057	0.743699	0.911249	0.001858	27152384	27152384	32563200	32563200	69718016	71192576	79282176	79282176	79282176	79282176	79282176	79282176	79282176	97492992	37670912	37670912	37670912	37670912	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	97492992
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.004588	0.632271	0.519944	0.000095	0.000000	0.000155	0.000078	0.000077	1.413691	2.577056	0.006312	97492992	97492992	97517568	97517568	213049344	216870912	240373760	240373760	240373760	240373760	240373760	240373760	240373760	264097792	97492992	97492992	97517568	97517568	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	310935552
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.033590	1.582016	0.103860	0.000071	0.000000	0.000125	0.000064	0.000061	0.274570	2.002727	0.008495	240459776	240459776	264097792	264097792	443351040	443351040	452472832	452472832	452472832	452472832	452472832	452472832	452472832	437166080	310935552	310935552	310935552	310935552	563441664	563441664	563441664	563441664	563441664	563441664	563441664	563441664	563441664	572198912
