round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000104	0.000141	0.000219	0.000080	0.000191	0.000131	0.000069	0.000062	0.000250	0.040614	0.039499	22769664	22900736	22900736	22900736	22970368	22970368	22970368	22970368	22970368	23031808	23031808	23031808	23031808	23031808	22900736	22900736	22900736	22900736	22970368	22970368	22970368	22970368	22970368	23031808	23031808	23031808	23031808	23031808
2	4	0	0	4	17	0	17	22	0	0	0	0.000086	0.000111	0.000175	0.000082	0.000000	0.000141	0.000064	0.000076	0.000232	0.001538	0.000713	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344
3	17	4	0	13	96	0	82	104	0	4	0	0.000081	0.000116	0.000170	0.000064	0.000000	0.000133	0.000061	0.000073	0.000233	0.001479	0.000682	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344	23097344
4	82	24	0	58	510	0	447	551	0	28	0	0.000082	0.000137	0.000182	0.000065	0.000000	0.000135	0.000061	0.000074	0.000229	0.001501	0.000672	23097344	23097344	23097344	23097344	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23097344	23097344	23097344	23097344	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000090	0.000309	0.000225	0.000066	0.000000	0.000133	0.000060	0.000073	0.000241	0.001765	0.000702	23101440	23101440	23101440	23101440	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23101440	23101440	23101440	23101440	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728	23113728
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000137	0.000605	0.000292	0.000066	0.000000	0.000120	0.000060	0.000059	0.000340	0.002293	0.000732	23113728	23113728	23113728	23113728	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23113728	23113728	23113728	23113728	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880	23162880
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000110	0.002067	0.000276	0.000067	0.000000	0.000121	0.000061	0.000060	0.000885	0.004246	0.000719	23162880	23162880	23162880	23162880	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23556096	23162880	23162880	23162880	23162880	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23326720	23556096
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000259	0.008181	0.000528	0.000066	0.000000	0.000114	0.000058	0.000057	0.002720	0.012607	0.000740	23326720	23326720	23556096	23556096	24809472	24809472	24809472	24809472	24809472	24809472	24809472	24809472	24809472	25661440	23396352	23396352	23556096	23556096	24809472	24809472	24809472	24809472	24809472	24809472	24809472	24809472	24809472	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000510	0.032054	0.002181	0.000067	0.000000	0.000118	0.000060	0.000058	0.007934	0.043900	0.001035	24805376	24805376	25534464	25534464	29495296	29810688	30146560	30146560	30146560	30146560	30146560	30146560	30146560	29941760	26828800	26828800	26828800	26828800	29495296	29810688	31662080	31662080	31662080	31662080	31662080	31662080	31662080	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002131	0.157344	0.006725	0.000067	0.000000	0.000117	0.000059	0.000058	0.043928	0.212100	0.001788	27168768	27168768	32579584	32579584	69734400	71208960	79298560	79298560	79298560	79298560	79298560	79298560	79298560	97509376	37670912	37670912	37670912	37670912	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	97509376
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002824	0.622093	0.043335	0.000077	0.000000	0.000127	0.000064	0.000063	0.131906	0.805676	0.005316	97509376	97509376	97533952	97533952	213065728	216887296	240390144	240390144	240390144	240390144	240390144	240390144	240390144	264114176	97509376	97509376	97533952	97533952	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	310935552
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024063	1.556903	0.146214	0.000101	0.000000	0.000148	0.000076	0.000073	0.370258	2.107569	0.009881	240476160	240476160	264114176	264114176	443367424	443367424	452489216	452489216	452489216	452489216	452489216	452489216	452489216	437182464	310935552	310935552	310935552	310935552	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	571949056
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.059749	2.736656	0.310322	0.000144	0.000000	0.000213	0.000109	0.000104	0.533937	3.677906	0.036884	379613184	379613184	419614720	419614720	778235904	810217472	853577728	853577728	853577728	853577728	853577728	853577728	853577728	887320576	571949056	571949056	571949056	571949056	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.054189	2.179573	0.134263	0.000079	0.000000	0.000142	0.000080	0.000063	0.499830	2.895206	0.027129	684826624	684826624	724828160	724828160	793952256	812490752	812621824	812621824	812621824	812621824	812621824	812621824	812621824	873791488	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.053459	3.145328	0.296489	0.000090	0.000000	0.000149	0.000075	0.000074	0.463350	3.977554	0.018689	686268416	686268416	726269952	726269952	1330393088	1348993024	1373925376	1373925376	1373925376	1373925376	1373925376	1373925376	1373925376	1383972864	1076092928	1076092928	1076092928	1076092928	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.038873	2.023347	0.173404	0.000079	0.000000	0.000134	0.000068	0.000066	0.541886	2.800683	0.022961	1306300416	1306300416	1346301952	1346301952	1372995584	1391288320	1391288320	1391288320	1391288320	1391288320	1391288320	1391288320	1391288320	1442656256	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.039277	2.112317	0.305525	0.000092	0.000000	0.000153	0.000077	0.000076	0.446429	2.923167	0.019373	1300619264	1300619264	1340620800	1340620800	1363308544	1381969920	1410183168	1410183168	1410183168	1410183168	1410183168	1410183168	1410183168	1455054848	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016498	2.084930	0.170277	0.000084	0.000000	0.000155	0.000072	0.000083	0.386077	2.677495	0.019475	1368002560	1368002560	1368002560	1368002560	1422340096	1442279424	1413308416	1413308416	1413308416	1413308416	1413308416	1413308416	1413308416	1415688192	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000	1919488000
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.040035	3.973769	0.345396	0.000111	0.000000	0.000186	0.000093	0.000093	0.427320	4.807554	0.020738	1354301440	1354301440	1394302976	1394302976	2474188800	2494816256	2509750272	2509750272	2509750272	2509750272	2509750272	2509750272	2509750272	2544906240	1919488000	1919488000	1919488000	1919488000	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.017141	1.730864	0.145103	0.000077	0.000000	0.000133	0.000068	0.000065	0.447574	2.361683	0.020791	2477375488	2477375488	2477375488	2477375488	2525704192	2547281920	2522894336	2522894336	2522894336	2522894336	2522894336	2522894336	2522894336	2588733440	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.015872	1.773634	0.286223	0.000091	0.000000	0.000168	0.000086	0.000081	0.381807	2.479672	0.021877	2512875520	2512875520	2512875520	2512875520	2512875520	2533462016	2576752640	2576752640	2576752640	2576752640	2576752640	2576752640	2576752640	2688958464	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.017110	1.805245	0.106417	0.000077	0.000000	0.000137	0.000065	0.000073	0.414991	2.366190	0.022213	2576752640	2576752640	2576752640	2576752640	2576752640	2598207488	2557239296	2557239296	2557239296	2557239296	2557239296	2557239296	2557239296	2674159616	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.016092	1.774422	0.245294	0.000096	0.000000	0.000159	0.000080	0.000079	0.239306	2.292247	0.016878	2557239296	2557239296	2557239296	2557239296	2557239296	2578681856	2614304768	2614304768	2614304768	2614304768	2614304768	2614304768	2614304768	2614304768	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.021052	1.707634	0.293828	0.000099	0.000000	0.000182	0.000098	0.000084	0.299295	2.345642	0.023551	2614304768	2614304768	2614304768	2614304768	2614304768	2635227136	2647007232	2647007232	2647007232	2647007232	2647007232	2647007232	2647007232	2763194368	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920	3621457920
