round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000134	0.000180	0.000281	0.000079	0.000204	0.000178	0.000087	0.000091	0.000286	0.050207	0.048866	22769664	22900736	22900736	22900736	22974464	22974464	22974464	22974464	22974464	23035904	23035904	23035904	23035904	23035904	22900736	22900736	22900736	22900736	22974464	22974464	22974464	22974464	22974464	23035904	23035904	23035904	23035904	23035904
2	4	0	0	4	17	0	17	22	0	0	0	0.000120	0.000146	0.000220	0.000080	0.000000	0.000162	0.000085	0.000077	0.000285	0.001808	0.000795	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440
3	17	4	0	13	96	0	82	104	0	4	0	0.000104	0.000150	0.000214	0.000079	0.000000	0.000160	0.000073	0.000087	0.000278	0.001781	0.000795	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440	23101440
4	82	24	0	58	510	0	447	551	0	28	0	0.000103	0.000176	0.000217	0.000078	0.000000	0.000159	0.000073	0.000086	0.000282	0.001803	0.000786	23101440	23101440	23101440	23101440	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23101440	23101440	23101440	23101440	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536	23105536
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000105	0.000290	0.000224	0.000080	0.000000	0.000152	0.000079	0.000074	0.000302	0.001989	0.000835	23105536	23105536	23105536	23105536	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23105536	23105536	23105536	23105536	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824	23117824
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000115	0.000703	0.000245	0.000080	0.000000	0.000148	0.000075	0.000074	0.000366	0.002494	0.000837	23117824	23117824	23117824	23117824	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23117824	23117824	23117824	23117824	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976	23166976
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000117	0.002327	0.000290	0.000081	0.000000	0.000161	0.000086	0.000075	0.001042	0.004878	0.000861	23166976	23166976	23166976	23166976	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23560192	23166976	23166976	23166976	23166976	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23330816	23736320
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000291	0.009336	0.000671	0.000083	0.000000	0.000149	0.000076	0.000074	0.003364	0.014842	0.000948	23330816	23330816	23560192	23560192	24813568	24813568	24813568	24813568	24813568	24813568	24813568	24813568	24813568	25665536	23736320	23736320	23736320	23736320	24813568	24813568	24813568	24813568	24813568	24813568	24813568	24813568	24813568	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000623	0.032936	0.002359	0.000088	0.000000	0.000126	0.000064	0.000062	0.008329	0.045657	0.001197	24809472	24809472	25538560	25538560	29499392	29814784	30150656	30150656	30150656	30150656	30150656	30150656	30150656	29945856	26828800	26828800	26828800	26828800	29499392	29814784	31494144	31494144	31494144	31494144	31494144	31494144	31494144	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002174	0.143259	0.006833	0.000087	0.000000	0.000124	0.000062	0.000061	0.033637	0.188035	0.001921	27172864	27172864	32583680	32583680	69742592	71217152	79306752	79306752	79306752	79306752	79306752	79306752	79306752	97517568	37670912	37670912	37670912	37670912	81481728	81481728	81481728	81481728	81481728	81481728	81481728	81481728	81481728	97517568
