round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000152	0.000181	0.000282	0.000093	0.000224	0.000164	0.000087	0.000077	0.000289	0.051039	0.049653	22798336	22929408	22929408	22929408	22999040	22999040	22999040	22999040	22999040	23060480	23060480	23060480	23060480	23060480	22929408	22929408	22929408	22929408	22999040	22999040	22999040	22999040	22999040	23060480	23060480	23060480	23060480	23060480
2	4	0	0	4	17	0	17	22	0	0	0	0.000109	0.000146	0.000232	0.000081	0.000000	0.000148	0.000075	0.000073	0.000286	0.001821	0.000818	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016
3	17	4	0	13	96	0	82	104	0	4	0	0.000109	0.000150	0.000228	0.000080	0.000000	0.000147	0.000074	0.000072	0.000279	0.001802	0.000810	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016	23126016
4	82	24	0	58	510	0	447	551	0	28	0	0.000109	0.000181	0.000235	0.000080	0.000000	0.000147	0.000074	0.000073	0.000277	0.001830	0.000801	23126016	23126016	23126016	23126016	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23126016	23126016	23126016	23126016	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112	23130112
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000111	0.000312	0.000235	0.000080	0.000000	0.000149	0.000075	0.000074	0.000319	0.002047	0.000841	23130112	23130112	23130112	23130112	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23130112	23130112	23130112	23130112	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400	23142400
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000110	0.000807	0.000323	0.000072	0.000000	0.000128	0.000065	0.000064	0.000318	0.002602	0.000844	23142400	23142400	23142400	23142400	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23142400	23142400	23142400	23142400	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000105	0.002074	0.000287	0.000071	0.000000	0.000129	0.000065	0.000064	0.000973	0.004437	0.000797	23191552	23191552	23191552	23191552	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23584768	23191552	23191552	23191552	23191552	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23355392	23584768
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000238	0.008439	0.000653	0.000070	0.000000	0.000143	0.000078	0.000065	0.003034	0.013471	0.000895	23355392	23355392	23584768	23584768	24838144	24838144	24838144	24838144	24838144	24838144	24838144	24838144	24838144	25690112	23396352	23396352	23584768	23584768	24838144	24838144	24838144	24838144	24838144	24838144	24838144	24838144	24838144	26828800
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000517	0.034404	0.002333	0.000071	0.000000	0.000124	0.000062	0.000061	0.008366	0.046974	0.001160	24834048	24834048	25563136	25563136	29523968	29839360	30175232	30175232	30175232	30175232	30175232	30175232	30175232	29970432	26828800	26828800	26828800	26828800	29523968	29839360	31494144	31494144	31494144	31494144	31494144	31494144	31494144	37670912
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002279	0.163113	0.006812	0.000101	0.000000	0.000123	0.000062	0.000061	0.040406	0.214775	0.001941	27197440	27197440	32608256	32608256	69763072	71237632	79327232	79327232	79327232	79327232	79327232	79327232	79327232	97538048	37670912	37670912	37670912	37670912	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	81096704	97538048
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002781	0.632603	0.036694	0.000089	0.000000	0.000123	0.000062	0.000061	0.133533	0.811276	0.005453	97538048	97538048	97562624	97562624	213094400	216915968	240418816	240418816	240418816	240418816	240418816	240418816	240418816	264142848	97538048	97538048	97562624	97562624	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	276697088	310935552
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024115	1.554512	0.145828	0.000089	0.000000	0.000145	0.000073	0.000072	0.367160	2.101143	0.009294	240504832	240504832	264142848	264142848	443396096	443396096	452517888	452517888	452517888	452517888	452517888	452517888	452517888	437211136	310935552	310935552	310935552	310935552	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	563621888	571949056
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.059328	2.727792	0.336525	0.000146	0.000000	0.000244	0.000124	0.000120	0.531883	3.695619	0.039701	379641856	379641856	419643392	419643392	778264576	810246144	853606400	853606400	853606400	853606400	853606400	853606400	853606400	887349248	571949056	571949056	571949056	571949056	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.053495	2.197380	0.136030	0.000096	0.000000	0.000142	0.000079	0.000063	0.491391	2.908269	0.029735	684855296	684855296	724856832	724856832	793980928	812519424	812650496	812650496	812650496	812650496	812650496	812650496	812650496	873820160	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928	1076092928
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.053612	3.159821	0.299696	0.000092	0.000000	0.000158	0.000082	0.000076	0.463526	3.995777	0.018873	686297088	686297088	726298624	726298624	1330421760	1349021696	1373954048	1373954048	1373954048	1373954048	1373954048	1373954048	1373954048	1384001536	1076092928	1076092928	1076092928	1076092928	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.039634	2.050375	0.175947	0.000098	0.000000	0.000136	0.000069	0.000067	0.544035	2.833998	0.023773	1306329088	1306329088	1346330624	1346330624	1373024256	1391316992	1391316992	1391316992	1391316992	1391316992	1391316992	1391316992	1391316992	1442684928	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.038337	2.127969	0.352722	0.000105	0.000000	0.000174	0.000089	0.000086	0.444956	2.984408	0.020143	1300647936	1300647936	1340649472	1340649472	1363337216	1381998592	1410211840	1410211840	1410211840	1410211840	1410211840	1410211840	1410211840	1455083520	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440	1919037440
