round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000120	0.000147	0.000244	0.000066	0.000203	0.000152	0.000088	0.000065	0.000314	0.039209	0.037962	22806528	22937600	22937600	22937600	23007232	23007232	23007232	23007232	23007232	23068672	23068672	23068672	23068672	23068672	22937600	22937600	22937600	22937600	23007232	23007232	23007232	23007232	23007232	23068672	23068672	23068672	23068672	23068672
2	4	0	0	4	17	0	17	22	0	0	0	0.000082	0.000112	0.000176	0.000065	0.000000	0.000120	0.000061	0.000060	0.000223	0.001480	0.000703	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208
3	17	4	0	13	96	0	82	104	0	4	0	0.000098	0.000134	0.000250	0.000064	0.000000	0.000133	0.000059	0.000074	0.000215	0.001560	0.000666	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208	23134208
4	82	24	0	58	510	0	447	551	0	28	0	0.000108	0.000137	0.000171	0.000063	0.000000	0.000119	0.000060	0.000059	0.000227	0.001506	0.000681	23134208	23134208	23134208	23134208	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23134208	23134208	23134208	23134208	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304	23138304
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000086	0.000254	0.000177	0.000065	0.000000	0.000135	0.000060	0.000075	0.000267	0.001680	0.000697	23138304	23138304	23138304	23138304	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23138304	23138304	23138304	23138304	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592	23150592
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000088	0.000649	0.000191	0.000067	0.000000	0.000133	0.000061	0.000072	0.000313	0.002158	0.000718	23150592	23150592	23150592	23150592	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23150592	23150592	23150592	23150592	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744	23199744
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000096	0.002089	0.000251	0.000065	0.000000	0.000119	0.000059	0.000059	0.000838	0.004201	0.000745	23199744	23199744	23199744	23199744	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23592960	23199744	23199744	23199744	23199744	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23363584	23740416
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000216	0.008069	0.000590	0.000064	0.000000	0.000116	0.000058	0.000058	0.002699	0.012563	0.000808	23363584	23363584	23592960	23592960	24846336	24846336	24846336	24846336	24846336	24846336	24846336	24846336	24846336	25698304	23740416	23740416	23740416	23740416	24846336	24846336	24846336	24846336	24846336	24846336	24846336	24846336	24846336	26832896
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000527	0.032675	0.002191	0.000080	0.000000	0.000140	0.000065	0.000075	0.007846	0.044530	0.001071	24842240	24842240	25571328	25571328	29532160	29847552	30183424	30183424	30183424	30183424	30183424	30183424	30183424	29978624	26832896	26832896	26832896	26832896	29532160	29847552	31498240	31498240	31498240	31498240	31498240	31498240	31498240	37675008
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002157	0.138678	0.006837	0.000067	0.000000	0.000118	0.000060	0.000058	0.032878	0.182609	0.001874	27205632	27205632	32616448	32616448	69771264	71245824	79335424	79335424	79335424	79335424	79335424	79335424	79335424	97546240	37675008	37675008	37675008	37675008	81481728	81481728	81481728	81481728	81481728	81481728	81481728	81481728	81481728	97546240
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002734	0.536694	0.031065	0.000085	0.000000	0.000124	0.000063	0.000062	0.109731	0.685927	0.005493	97546240	97546240	97570816	97570816	213102592	216924160	240427008	240427008	240427008	240427008	240427008	240427008	240427008	264151040	97546240	97546240	97570816	97570816	277131264	277131264	277131264	277131264	277131264	277131264	277131264	277131264	277131264	310939648
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.022979	1.396840	0.116250	0.000075	0.000000	0.000124	0.000063	0.000061	0.282123	1.827643	0.009252	240513024	240513024	264151040	264151040	443404288	443404288	452526080	452526080	452526080	452526080	452526080	452526080	452526080	437219328	310939648	310939648	310939648	310939648	563736576	563736576	563736576	563736576	563736576	563736576	563736576	563736576	563736576	571879424
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.057633	2.445191	0.242509	0.000077	0.000000	0.000146	0.000080	0.000067	0.417780	3.200492	0.037155	379650048	379650048	419651584	419651584	778272768	810254336	853614592	853614592	853614592	853614592	853614592	853614592	853614592	887357440	571879424	571879424	571879424	571879424	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.053882	2.074343	0.106520	0.000072	0.000000	0.000123	0.000062	0.000061	0.414599	2.677485	0.027946	684863488	684863488	724865024	724865024	793989120	812527616	812658688	812658688	812658688	812658688	812658688	812658688	812658688	873828352	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096	1076228096
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.055022	2.705199	0.255244	0.000076	0.000000	0.000126	0.000064	0.000062	0.367623	3.402694	0.019404	686305280	686305280	726306816	726306816	1330429952	1349029888	1373962240	1373962240	1373962240	1373962240	1373962240	1373962240	1373962240	1384009728	1076228096	1076228096	1076228096	1076228096	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.038737	1.929557	0.127955	0.000088	0.000000	0.000142	0.000079	0.000063	0.473298	2.592986	0.023208	1306337280	1306337280	1346338816	1346338816	1373032448	1391325184	1391325184	1391325184	1391325184	1391325184	1391325184	1391325184	1391325184	1442693120	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.039014	1.993417	0.270243	0.000078	0.000000	0.000130	0.000065	0.000065	0.386773	2.710585	0.020931	1300656128	1300656128	1340657664	1340657664	1363345408	1382006784	1410220032	1410220032	1410220032	1410220032	1410220032	1410220032	1410220032	1455091712	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.017449	1.980544	0.123438	0.000108	0.000000	0.000158	0.000080	0.000078	0.300825	2.441793	0.019271	1368039424	1368039424	1368039424	1368039424	1422376960	1442316288	1413345280	1413345280	1413345280	1413345280	1413345280	1413345280	1413345280	1415725056	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240	1919754240
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.039960	3.223017	0.256083	0.000115	0.000000	0.000127	0.000064	0.000063	0.330520	3.871176	0.021355	1354338304	1354338304	1394339840	1394339840	2474225664	2494853120	2509787136	2509787136	2509787136	2509787136	2509787136	2509787136	2509787136	2544943104	1919754240	1919754240	1919754240	1919754240	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.015902	1.657011	0.101814	0.000072	0.000000	0.000133	0.000071	0.000062	0.365360	2.162505	0.022214	2477412352	2477412352	2477412352	2477412352	2525741056	2547318784	2522931200	2522931200	2522931200	2522931200	2522931200	2522931200	2522931200	2588770304	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.015826	1.680690	0.244643	0.000077	0.000000	0.000125	0.000063	0.000062	0.306691	2.270938	0.022885	2512912384	2512912384	2512912384	2512912384	2512912384	2533498880	2576789504	2576789504	2576789504	2576789504	2576789504	2576789504	2576789504	2688995328	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.015809	1.689118	0.075886	0.000092	0.000000	0.000126	0.000063	0.000062	0.358289	2.165763	0.026443	2576789504	2576789504	2576789504	2576789504	2576789504	2598244352	2557276160	2557276160	2557276160	2557276160	2557276160	2557276160	2557276160	2674196480	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.016402	1.699038	0.205211	0.000074	0.000000	0.000157	0.000091	0.000066	0.175689	2.112745	0.016174	2557276160	2557276160	2557276160	2557276160	2557276160	2578718720	2614341632	2614341632	2614341632	2614341632	2614341632	2614341632	2614341632	2614341632	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.017145	1.616150	0.260399	0.000075	0.000000	0.000125	0.000063	0.000062	0.300189	2.219948	0.025866	2614341632	2614341632	2614341632	2614341632	2614341632	2635264000	2647044096	2647044096	2647044096	2647044096	2647044096	2647044096	2647044096	2763231232	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
25	5000000	2673346	141583	2185071	19709752	0	5434587	99583688	0	34055774	1048716	0.015944	1.650114	0.172006	0.000077	0.000000	0.000145	0.000081	0.000065	0.301938	2.162794	0.022569	2647044096	2647044096	2647044096	2647044096	2647044096	2668433408	2668433408	2668433408	2668433408	2668433408	2668433408	2668433408	2668433408	2785624064	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
26	5000000	2627994	227056	2144950	19325458	0	5641573	105225261	0	36683768	1275772	0.016208	1.653024	0.259814	0.000090	0.000000	0.000147	0.000075	0.000073	0.186997	2.131608	0.015328	2668433408	2668433408	2668433408	2668433408	2668433408	2689454080	2689454080	2689454080	2689454080	2689454080	2689454080	2689454080	2689454080	2689454080	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
27	5000000	2751934	74191	2173875	19471629	0	4378051	109603312	0	39435702	1349963	0.016773	1.652164	0.128620	0.000089	0.000000	0.000120	0.000060	0.000060	0.196173	2.012545	0.018607	2689458176	2689458176	2689458176	2689458176	2689458176	2711474176	2686787584	2686787584	2686787584	2686787584	2686787584	2686787584	2686787584	2727280640	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
28	5000000	2686246	171315	2142439	20170324	0	4762300	114365612	0	42121948	1521278	0.017833	1.734095	0.267156	0.000086	0.000000	0.000146	0.000074	0.000072	0.187446	2.224853	0.018090	2686787584	2686787584	2686787584	2686787584	2686787584	2708279296	2714173440	2714173440	2714173440	2714173440	2714173440	2714173440	2714173440	2752761856	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
29	5000000	2862366	105448	2032186	18467491	0	4701674	119067286	0	44984314	1626726	0.017104	1.695471	0.093365	0.000073	0.000000	0.000121	0.000061	0.000060	0.339744	2.168963	0.023085	2714173440	2714173440	2714173440	2714173440	2714173440	2737070080	2715688960	2715688960	2715688960	2715688960	2715688960	2715688960	2715688960	2830479360	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
30	5000000	3079913	154458	1765629	16283117	0	3397718	122465004	0	48064227	1781184	0.015837	1.587034	0.193872	0.000077	0.000000	0.000128	0.000064	0.000064	0.250228	2.070191	0.023014	2715688960	2715688960	2715688960	2715688960	2715688960	2740330496	2780770304	2780770304	2780770304	2780770304	2780770304	2780770304	2780770304	2880360448	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
31	5000000	2936198	218860	1844942	16525129	0	4363879	126828883	0	51000425	2000044	0.015871	1.640519	0.260419	0.000089	0.000000	0.000147	0.000074	0.000072	0.236995	2.173915	0.019874	2780770304	2780770304	2780770304	2780770304	2780770304	2804260864	2804260864	2804260864	2804260864	2804260864	2804260864	2804260864	2804260864	2864283648	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
32	5000000	3081132	315290	1603578	15172279	0	3868428	130697311	0	54081557	2315334	0.016590	1.582787	0.110110	0.000077	0.000000	0.000144	0.000061	0.000083	0.208857	1.939162	0.020598	2805989376	2805989376	2805989376	2805989376	2805989376	2830639104	2799783936	2799783936	2799783936	2799783936	2799783936	2799783936	2799783936	2872385536	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992	3621076992
