# python3 experiments/lever_scan/hugecheck.py

### forward

| 本 | 腕 | Rss (MiB) | AnonHugePages (MiB) | minor fault | thp_fault_alloc | thp_fault_fallback |
|---|---|---|---|---|---|---|
| b1_base | `base` | 4,189 | 0 | 7,597,719 | 0 | 0 |
| b1_fnsi | `fnsi` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b1_const | `const` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b1_native | `native` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b1_huge | `huge` | 4,189 | 4,096 | 5,506,713 | 4,092 | 0 |
| b1_pf | `pf` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b1_all | `all` | 4,189 | 4,096 | 5,506,717 | 4,092 | 0 |
| b2_fnsi | `fnsi` | 4,189 | 0 | 7,597,715 | 0 | 0 |
| b2_const | `const` | 4,189 | 0 | 7,597,723 | 0 | 0 |
| b2_native | `native` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b2_huge | `huge` | 4,189 | 4,096 | 5,506,717 | 4,092 | 0 |
| b2_pf | `pf` | 4,189 | 0 | 7,597,722 | 0 | 0 |
| b2_all | `all` | 4,189 | 4,096 | 5,506,719 | 4,092 | 0 |
| b2_base | `base` | 4,189 | 0 | 7,597,720 | 0 | 0 |
| b3_const | `const` | 4,189 | 0 | 7,597,720 | 0 | 0 |
| b3_native | `native` | 4,189 | 0 | 7,597,719 | 0 | 0 |
| b3_huge | `huge` | 4,189 | 4,096 | 5,506,716 | 4,092 | 0 |
| b3_pf | `pf` | 4,189 | 0 | 7,597,718 | 0 | 0 |
| b3_all | `all` | 4,189 | 4,096 | 5,506,717 | 4,092 | 0 |
| b3_base | `base` | 4,189 | 0 | 7,597,720 | 0 | 0 |
| b3_fnsi | `fnsi` | 4,189 | 0 | 7,597,718 | 0 | 0 |

### retreat

| 本 | 腕 | Rss (MiB) | AnonHugePages (MiB) | 索引の fault (P0→P1) | thp_fault_alloc | thp_fault_fallback |
|---|---|---|---|---|---|---|
| r1_base | `base` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r1_fnsi | `fnsi` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r1_const | `const` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r1_native | `native` | 14,160 | 0 | 2,097,154 | 0 | 0 |
| r1_huge | `huge` | 14,160 | 8,192 | 4,101 | 4,096 | 0 |
| r1_pf | `pf` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r1_all | `all` | 14,160 | 8,192 | 4,098 | 4,096 | 0 |
| r2_fnsi | `fnsi` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r2_const | `const` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r2_native | `native` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r2_huge | `huge` | 14,160 | 8,192 | 4,098 | 4,096 | 0 |
| r2_pf | `pf` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r2_all | `all` | 14,160 | 8,192 | 4,099 | 4,096 | 0 |
| r2_base | `base` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r3_const | `const` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r3_native | `native` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r3_huge | `huge` | 14,160 | 8,192 | 4,101 | 4,096 | 0 |
| r3_pf | `pf` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r3_all | `all` | 14,160 | 8,192 | 4,098 | 4,096 | 0 |
| r3_base | `base` | 14,160 | 0 | 2,097,153 | 0 | 0 |
| r3_fnsi | `fnsi` | 14,160 | 0 | 2,097,153 | 0 | 0 |

