time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-17T21:17:07	A	3500	52.0	0
2026-09-17T21:18:07	A	3427	55.0	0
2026-09-17T21:19:07	A	3492	58.0	0
2026-09-17T21:20:07	A	3492	59.0	0
2026-09-17T21:21:07	A	3492	60.0	0
2026-09-17T21:22:07	A	3433	58.0	0
2026-09-17T21:23:07	A	3492	61.0	0
2026-09-17T21:24:07	A	3407	57.0	0
2026-09-17T21:25:07	A	3286	59.0	0
2026-09-17T21:26:07	A	3293	62.0	0
2026-09-17T21:27:07	A	3396	62.0	0
2026-09-17T21:28:07	A	3402	59.0	0
2026-09-17T21:29:07	A	3434	62.0	0
2026-09-17T21:30:07	A	3490	64.0	0
2026-09-17T21:31:07	A	3500	58.0	0
2026-09-17T21:32:07	A	3349	61.0	0
2026-09-17T21:33:07	A	3392	62.0	0
2026-09-17T21:34:07	A	3402	61.0	0
2026-09-17T21:35:07	A	3454	64.0	0
2026-09-17T21:36:07	A	3492	59.0	0
2026-09-17T21:37:07	A	3492	61.0	0
2026-09-17T21:38:07	A	3492	63.0	0
2026-09-17T21:39:07	A	3492	65.0	0
2026-09-17T21:40:07	A	3492	68.0	0
2026-09-17T21:41:07	A	3500	68.0	0
2026-09-17T21:42:07	A	3492	69.0	0
2026-09-17T21:43:07	A	3492	73.0	0
2026-09-17T21:44:07	A	3492	68.0	0
2026-09-17T21:45:07	A	3492	69.0	0
2026-09-17T21:46:07	A	3448	69.0	0
2026-09-17T21:47:07	A	3500	70.0	0
2026-09-17T21:48:07	A	3500	70.0	0
2026-09-17T21:49:07	A	3492	71.0	0
2026-09-17T21:50:07	A	3445	73.0	0
2026-09-17T21:51:07	A	3500	74.0	0
2026-09-17T21:52:07	A	3500	71.0	0
2026-09-17T21:53:07	A	3500	69.0	0
2026-09-17T21:54:08	A	3406	70.0	0
