time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-17T21:55:08	B	2594	67.0	0
2026-09-17T21:56:08	B	3492	70.0	0
2026-09-17T21:57:08	B	3492	68.0	0
2026-09-17T21:58:08	B	3492	67.0	0
2026-09-17T21:59:08	B	3465	68.0	0
2026-09-17T22:00:08	B	3500	64.0	0
2026-09-17T22:01:08	B	3395	61.0	0
2026-09-17T22:02:08	B	3492	63.0	0
2026-09-17T22:03:08	B	3500	66.0	0
2026-09-17T22:04:08	B	3492	67.0	0
2026-09-17T22:05:08	B	3500	63.0	0
2026-09-17T22:06:08	B	3342	59.0	0
2026-09-17T22:07:08	B	3393	62.0	0
2026-09-17T22:08:08	B	3492	64.0	0
2026-09-17T22:09:08	B	3402	62.0	0
2026-09-17T22:10:08	B	3429	65.0	0
2026-09-17T22:11:08	B	3500	60.0	0
2026-09-17T22:12:08	B	3403	60.0	0
2026-09-17T22:13:08	B	3492	62.0	0
2026-09-17T22:14:08	B	3500	63.0	0
2026-09-17T22:15:08	B	3500	61.0	0
2026-09-17T22:16:08	B	3500	59.0	0
2026-09-17T22:17:08	B	3500	66.0	0
2026-09-17T22:18:08	B	3500	65.0	0
2026-09-17T22:19:08	B	3500	67.0	0
2026-09-17T22:20:08	B	3500	68.0	0
2026-09-17T22:21:08	B	3500	68.0	0
2026-09-17T22:22:08	B	3500	68.0	0
2026-09-17T22:23:08	B	3492	69.0	0
2026-09-17T22:24:08	B	3492	69.0	0
2026-09-17T22:25:08	B	3492	69.0	0
2026-09-17T22:26:08	B	3430	70.0	0
2026-09-17T22:27:08	B	3500	70.0	0
2026-09-17T22:28:08	B	3492	74.0	0
2026-09-17T22:29:08	B	3423	70.0	0
2026-09-17T22:30:08	B	3489	70.0	0
2026-09-17T22:31:08	B	3468	71.0	0
2026-09-17T22:32:08	B	3401	74.0	0
