time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-17T22:32:15	C	2794	68.0	0
2026-09-17T22:33:15	C	3500	71.0	0
2026-09-17T22:34:15	C	3401	72.0	0
2026-09-17T22:35:15	C	3492	73.0	0
2026-09-17T22:36:15	C	3461	73.0	0
2026-09-17T22:37:15	C	3500	69.0	0
2026-09-17T22:38:15	C	3492	69.0	0
2026-09-17T22:39:15	C	3500	68.0	0
2026-09-17T22:40:15	C	3500	64.0	0
2026-09-17T22:41:15	C	3500	62.0	0
2026-09-17T22:42:15	C	3492	64.0	0
2026-09-17T22:43:15	C	3395	61.0	0
2026-09-17T22:44:15	C	3500	62.0	0
2026-09-17T22:45:16	C	3311	60.0	0
2026-09-17T22:46:16	C	3406	63.0	0
2026-09-17T22:47:16	C	3492	66.0	0
2026-09-17T22:48:16	C	3355	60.0	0
2026-09-17T22:49:16	C	3301	61.0	0
2026-09-17T22:50:16	C	3397	61.0	0
2026-09-17T22:51:16	C	3400	64.0	0
2026-09-17T22:52:16	C	3398	60.0	0
2026-09-17T22:53:16	C	3492	61.0	0
2026-09-17T22:54:16	C	3210	62.0	0
2026-09-17T22:55:16	C	3500	65.0	0
2026-09-17T22:56:16	C	3397	60.0	0
2026-09-17T22:57:16	C	3492	62.0	0
2026-09-17T22:58:16	C	3406	61.0	0
2026-09-17T22:59:16	C	3492	64.0	0
2026-09-17T23:00:16	C	3354	60.0	0
2026-09-17T23:01:16	C	3492	61.0	0
2026-09-17T23:02:16	C	3363	64.0	0
2026-09-17T23:03:16	C	3500	65.0	0
2026-09-17T23:04:16	C	3437	66.0	0
2026-09-17T23:05:16	C	3500	67.0	0
2026-09-17T23:06:16	C	3492	67.0	0
2026-09-17T23:07:16	C	3427	67.0	0
2026-09-17T23:08:16	C	3495	68.0	0
2026-09-17T23:09:16	C	3500	69.0	0
2026-09-17T23:10:16	C	3492	68.0	0
2026-09-17T23:11:16	C	3492	69.0	0
2026-09-17T23:12:16	C	3386	68.0	0
2026-09-17T23:13:16	C	3500	69.0	0
2026-09-17T23:14:16	C	3500	71.0	0
2026-09-17T23:15:16	C	3500	72.0	0
2026-09-17T23:16:16	C	3492	70.0	0
2026-09-17T23:17:16	C	3492	70.0	0
2026-09-17T23:18:16	C	3492	69.0	0
2026-09-17T23:19:16	C	3467	74.0	0
