time_jst	order	freq_max_mhz	pkg_temp_c	throttle
2026-09-17T23:19:24	D	2600	67.0	0
2026-09-17T23:20:24	D	3500	71.0	0
2026-09-17T23:21:24	D	3402	73.0	0
2026-09-17T23:22:24	D	3429	70.0	0
2026-09-17T23:23:24	D	3500	69.0	0
2026-09-17T23:24:24	D	3411	72.0	0
2026-09-17T23:25:24	D	3401	68.0	0
2026-09-17T23:26:24	D	3500	71.0	0
2026-09-17T23:27:24	D	3492	68.0	0
2026-09-17T23:28:24	D	3492	69.0	0
2026-09-17T23:29:24	D	3500	69.0	0
2026-09-17T23:30:24	D	3492	68.0	0
2026-09-17T23:31:24	D	3500	63.0	0
2026-09-17T23:32:24	D	3500	59.0	0
2026-09-17T23:33:24	D	3344	63.0	0
2026-09-17T23:34:24	D	3492	66.0	0
2026-09-17T23:35:24	D	3342	66.0	0
2026-09-17T23:36:24	D	3403	68.0	0
2026-09-17T23:37:24	D	3416	59.0	0
2026-09-17T23:38:24	D	3492	61.0	0
2026-09-17T23:39:25	D	3408	62.0	0
2026-09-17T23:40:25	D	3405	64.0	0
2026-09-17T23:41:25	D	3492	65.0	0
2026-09-17T23:42:25	D	3492	63.0	0
2026-09-17T23:43:25	D	3492	65.0	0
2026-09-17T23:44:25	D	3492	68.0	0
2026-09-17T23:45:25	D	3447	70.0	0
2026-09-17T23:46:25	D	3492	71.0	0
2026-09-17T23:47:25	D	3492	70.0	0
2026-09-17T23:48:25	D	3492	70.0	0
2026-09-17T23:49:25	D	3492	71.0	0
2026-09-17T23:50:25	D	3492	72.0	0
2026-09-17T23:51:25	D	3492	75.0	0
2026-09-17T23:52:25	D	3492	74.0	0
2026-09-17T23:53:25	D	3492	70.0	0
2026-09-17T23:54:25	D	3492	70.0	0
2026-09-17T23:55:25	D	3492	71.0	0
