time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-17T12:44:10	2595	1368	62.0	0
2026-09-17T12:45:10	3493	1344	60.0	0
2026-09-17T12:46:10	3403	1361	65.0	0
2026-09-17T12:47:10	3500	1379	65.0	0
2026-09-17T12:48:10	3440	1277	68.0	0
2026-09-17T12:49:10	3472	1352	66.0	0
2026-09-17T12:50:10	3461	1355	67.0	0
2026-09-17T12:51:10	3492	1322	67.0	0
2026-09-17T12:52:10	3492	1392	68.0	0
2026-09-17T12:53:10	3492	1384	68.0	0
2026-09-17T12:54:10	3492	1370	69.0	0
2026-09-17T12:55:10	3500	1345	72.0	0
2026-09-17T12:56:10	3408	1355	73.0	0
2026-09-17T12:57:10	3500	1377	69.0	0
2026-09-17T12:58:10	3492	1343	69.0	0
2026-09-17T12:59:10	3459	1316	68.0	0
2026-09-17T13:00:10	3500	1325	68.0	0
2026-09-17T13:01:10	3492	1281	70.0	0
2026-09-17T13:02:10	3434	1325	73.0	0
2026-09-17T13:03:11	3398	1435	68.0	0
2026-09-17T13:04:11	3397	1413	68.0	0
2026-09-17T13:05:11	3492	1344	70.0	0
2026-09-17T13:06:11	3492	1343	69.0	0
2026-09-17T13:07:11	3429	1351	74.0	0
2026-09-17T13:08:11	3492	1280	70.0	0
2026-09-17T13:09:11	3449	1403	70.0	0
2026-09-17T13:10:11	3408	1287	70.0	0
2026-09-17T13:11:11	3360	1319	70.0	0
2026-09-17T13:12:11	3426	1359	73.0	0
2026-09-17T13:13:11	3401	1331	70.0	0
2026-09-17T13:14:11	3492	1320	68.0	0
2026-09-17T13:15:11	3368	1336	69.0	0
2026-09-17T13:16:11	3414	1336	70.0	0
2026-09-17T13:17:11	3394	1334	70.0	0
2026-09-17T13:18:11	3397	1298	69.0	0
2026-09-17T13:19:11	3240	1355	69.0	0
2026-09-17T13:20:11	3500	1450	64.0	0
2026-09-17T13:21:11	3500	1417	61.0	0
2026-09-17T13:22:11	3485	1373	63.0	0
2026-09-17T13:23:11	3499	1355	66.0	0
2026-09-17T13:24:11	3424	1368	69.0	0
2026-09-17T13:25:11	3492	1369	68.0	0
2026-09-17T13:26:11	3492	1341	68.0	0
2026-09-17T13:27:11	3492	1359	70.0	0
2026-09-17T13:28:11	3492	1354	68.0	0
2026-09-17T13:29:11	3317	1313	61.0	0
2026-09-17T13:30:11	3492	1376	64.0	0
2026-09-17T13:31:11	3500	1528	67.0	0
2026-09-17T13:32:11	3500	1384	67.0	0
2026-09-17T13:33:11	3500	1358	69.0	0
2026-09-17T13:34:11	3500	1437	69.0	0
2026-09-17T13:35:12	3500	1466	69.0	0
2026-09-17T13:36:12	3492	1337	61.0	0
2026-09-17T13:37:12	3500	1399	61.0	0
2026-09-17T13:38:12	3492	1363	63.0	0
2026-09-17T13:39:12	3395	1317	61.0	0
2026-09-17T13:40:12	3492	1324	63.0	0
2026-09-17T13:41:12	3492	1329	66.0	0
2026-09-17T13:42:12	3492	1409	67.0	0
2026-09-17T13:43:12	3495	1346	68.0	0
2026-09-17T13:44:12	3492	1363	69.0	0
2026-09-17T13:45:12	3398	1329	72.0	0
2026-09-17T13:46:12	3492	1314	72.0	0
2026-09-17T13:47:12	3385	1365	72.0	0
2026-09-17T13:48:12	3193	1364	71.0	0
2026-09-17T13:49:12	3348	1343	73.0	0
2026-09-17T13:50:12	3490	1358	72.0	0
2026-09-17T13:51:12	3382	1344	72.0	0
2026-09-17T13:52:12	3376	1362	72.0	0
2026-09-17T13:53:12	3492	1317	73.0	0
2026-09-17T13:54:12	3492	1336	76.0	0
2026-09-17T13:55:12	3492	1391	77.0	0
2026-09-17T13:56:12	3492	1360	75.0	0
2026-09-17T13:57:12	3366	1334	73.0	0
2026-09-17T13:58:12	3193	1303	73.0	0
