time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-18T20:46:52	2594	1504	56.0	0
2026-09-18T20:47:52	3492	1401	63.0	0
2026-09-18T20:48:52	3492	1320	69.0	0
2026-09-18T20:49:52	3402	1330	68.0	0
2026-09-18T20:50:52	3412	1358	67.0	0
2026-09-18T20:51:52	3492	1328	69.0	0
2026-09-18T20:52:52	3492	1384	69.0	0
2026-09-18T20:53:52	3421	1343	70.0	0
2026-09-18T20:54:52	3490	1337	70.0	0
2026-09-18T20:55:52	3350	1289	70.0	0
2026-09-18T20:56:52	3290	1335	68.0	0
2026-09-18T20:57:52	3317	1349	62.0	0
2026-09-18T20:58:52	3272	1317	59.0	0
2026-09-18T20:59:52	3409	1411	59.0	0
2026-09-18T21:00:52	3492	1324	61.0	0
2026-09-18T21:01:52	3492	1381	61.0	0
2026-09-18T21:02:52	3451	1295	63.0	0
2026-09-18T21:03:52	3492	1326	66.0	0
2026-09-18T21:04:52	3427	1280	65.0	0
2026-09-18T21:05:52	3492	1340	65.0	0
2026-09-18T21:06:52	3440	1438	68.0	0
2026-09-18T21:07:52	3500	1361	67.0	0
2026-09-18T21:08:52	3403	1312	69.0	0
2026-09-18T21:09:52	3500	1402	67.0	0
2026-09-18T21:10:52	3500	1330	68.0	0
2026-09-18T21:11:52	3492	1326	70.0	0
2026-09-18T21:12:52	3351	1291	67.0	0
2026-09-18T21:13:52	3500	1375	73.0	0
2026-09-18T21:14:52	3386	1334	68.0	0
2026-09-18T21:15:53	3403	1462	69.0	0
2026-09-18T21:16:53	3397	1375	71.0	0
2026-09-18T21:17:53	3402	1393	68.0	0
2026-09-18T21:18:53	3344	1358	68.0	0
2026-09-18T21:19:53	3500	1380	73.0	0
2026-09-18T21:20:53	3199	1341	61.0	0
2026-09-18T21:21:53	3421	1375	62.0	0
2026-09-18T21:22:53	3497	1358	64.0	0
2026-09-18T21:23:53	3328	1371	60.0	0
2026-09-18T21:24:53	3492	1337	62.0	0
2026-09-18T21:25:53	3421	1330	63.0	0
2026-09-18T21:26:53	3492	1318	67.0	0
2026-09-18T21:27:53	3500	1348	68.0	0
2026-09-18T21:28:53	3492	1337	70.0	0
2026-09-18T21:29:53	3274	1359	69.0	0
2026-09-18T21:30:53	3232	1307	70.0	0
2026-09-18T21:31:53	3492	1359	70.0	0
2026-09-18T21:32:53	3492	1322	72.0	0
2026-09-18T21:33:53	3464	1280	72.0	0
2026-09-18T21:34:53	3492	1315	72.0	0
2026-09-18T21:35:53	3417	1354	71.0	0
2026-09-18T21:36:53	3492	1353	71.0	0
2026-09-18T21:37:53	3492	1321	71.0	0
2026-09-18T21:38:53	3492	1334	71.0	0
2026-09-18T21:39:53	3276	1346	71.0	0
2026-09-18T21:40:53	3500	1413	74.0	0
2026-09-18T21:41:53	3500	1346	74.0	0
2026-09-18T21:42:53	3500	1420	71.0	0
2026-09-18T21:43:53	3500	1448	73.0	0
2026-09-18T21:44:53	3492	1324	71.0	0
