time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-19T12:34:39	3500	1442	49.0	0
2026-09-19T12:35:39	3406	1323	55.0	0
2026-09-19T12:36:39	3402	1332	55.0	0
2026-09-19T12:37:39	3381	1321	60.0	0
2026-09-19T12:38:39	3415	1321	60.0	0
2026-09-19T12:39:39	3396	1309	62.0	0
2026-09-19T12:40:39	3492	1353	63.0	0
2026-09-19T12:41:39	3500	1380	65.0	0
2026-09-19T12:42:39	3500	1364	65.0	0
2026-09-19T12:43:39	3433	1342	69.0	0
2026-09-19T12:44:39	3492	1316	69.0	0
2026-09-19T12:45:39	3500	1353	67.0	0
2026-09-19T12:46:39	3500	1408	67.0	0
2026-09-19T12:47:39	3492	1320	67.0	0
2026-09-19T12:48:39	3492	1280	67.0	0
2026-09-19T12:49:39	3271	1308	67.0	0
2026-09-19T12:50:39	3500	1430	72.0	0
2026-09-19T12:51:39	3500	1303	69.0	0
2026-09-19T12:52:39	3500	1382	67.0	0
2026-09-19T12:53:39	3500	1292	68.0	0
2026-09-19T12:54:39	3500	1382	73.0	0
2026-09-19T12:55:40	3263	1413	68.0	0
2026-09-19T12:56:40	3500	1468	68.0	0
2026-09-19T12:57:40	3407	1322	68.0	0
2026-09-19T12:58:40	3500	1390	73.0	0
2026-09-19T12:59:40	3302	1325	68.0	0
2026-09-19T13:00:40	3395	1336	68.0	0
2026-09-19T13:01:40	3401	1314	62.0	0
2026-09-19T13:02:40	3324	1300	58.0	0
2026-09-19T13:03:40	3426	1379	58.0	0
2026-09-19T13:04:40	3388	1346	64.0	0
2026-09-19T13:05:40	3398	1299	59.0	0
2026-09-19T13:06:40	3354	1315	62.0	0
2026-09-19T13:07:40	3500	1392	63.0	0
2026-09-19T13:08:40	3304	1392	69.0	0
2026-09-19T13:09:40	3291	1338	65.0	0
2026-09-19T13:10:40	3260	1342	61.0	0
2026-09-19T13:11:40	3326	1364	59.0	0
2026-09-19T13:12:40	3444	1329	61.0	0
2026-09-19T13:13:40	3466	1386	62.0	0
2026-09-19T13:14:40	3451	1308	65.0	0
2026-09-19T13:15:40	3420	1298	67.0	0
2026-09-19T13:16:40	3492	1289	69.0	0
2026-09-19T13:17:40	3428	1356	70.0	0
2026-09-19T13:18:40	3492	1346	70.0	0
2026-09-19T13:19:40	3451	1339	70.0	0
2026-09-19T13:20:40	3492	1357	70.0	0
2026-09-19T13:21:40	3280	1372	70.0	0
2026-09-19T13:22:40	3391	1344	70.0	0
2026-09-19T13:23:40	3492	1323	70.0	0
2026-09-19T13:24:40	3433	1337	69.0	0
2026-09-19T13:25:40	3500	1352	69.0	0
2026-09-19T13:26:41	3500	1526	69.0	0
2026-09-19T13:27:41	3500	1375	69.0	0
2026-09-19T13:28:41	3500	1357	72.0	0
2026-09-19T13:29:41	3492	1305	74.0	0
2026-09-19T13:30:41	3492	1421	70.0	0
2026-09-19T13:31:41	3500	1479	70.0	0
2026-09-19T13:32:41	3320	1340	71.0	0
