round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	4	4	5	0	0	0.000138	0.000094	0.000290	0.000099	0.000200	0.000154	0.000082	0.000071	0.000419	0.049586	0.048192	14544896	14741504	14741504	14741504	14741504	14741504	14741504	14741504	14745600	14807040	14807040	14807040	14807040	14811136	14675968	14741504	14741504	14741504	14741504	14741504	14741504	14745600	14745600	14807040	14807040	14807040	14807040	14811136
2	4	0	0	4	17	17	17	22	0	0	0.000106	0.000095	0.000227	0.000078	0.000000	0.000147	0.000076	0.000072	0.000416	0.001837	0.000769	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14819328	14819328	14819328	14819328	14819328	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14815232	14819328	14819328	14819328	14819328	14819328
3	17	4	0	13	96	83	82	104	4	0	0.000106	0.000129	0.000231	0.000095	0.000000	0.000173	0.000084	0.000089	0.000420	0.001943	0.000789	14819328	14819328	14819328	14819328	14823424	14823424	14823424	14823424	14827520	14831616	14835712	14839808	14839808	14839808	14819328	14819328	14819328	14819328	14823424	14823424	14823424	14823424	14827520	14831616	14835712	14839808	14839808	14839808
4	82	24	0	58	510	451	447	551	28	0	0.000119	0.000292	0.000242	0.000147	0.000000	0.000226	0.000109	0.000117	0.000478	0.002316	0.000811	14843904	14843904	14848000	14848000	14860288	14860288	14868480	14868480	14909440	14909440	14921728	14925824	14925824	14938112	14843904	14843904	14848000	14848000	14860288	14860288	14868480	14868480	14909440	14909440	14921728	14925824	14925824	14938112
5	447	131	0	316	2509	2052	1960	2511	159	0	0.000182	0.001056	0.000349	0.000410	0.000000	0.000794	0.000518	0.000277	0.000979	0.004662	0.000892	14942208	14942208	14950400	14950400	15048704	15048704	15089664	15089664	15233024	15233024	15233024	15302656	15302656	15298560	14942208	14942208	14950400	14950400	15048704	15048704	15089664	15089664	15233024	15233024	15233024	15302656	15302656	15298560
6	1960	687	2	1271	10840	8275	7714	10225	846	2	0.000455	0.004225	0.000858	0.001662	0.000000	0.002744	0.001829	0.000915	0.002861	0.013783	0.000978	15298560	15298560	15364096	15364096	15798272	15798272	15945728	15945728	16379904	16379904	16388096	16781312	16781312	16908288	15298560	15298560	15364096	15364096	15798272	15798272	15945728	15945728	16379904	16384000	16388096	16781312	16781312	16908288
7	7714	3005	15	4694	43237	31717	28583	38808	3851	17	0.001311	0.016177	0.002610	0.007321	0.000000	0.011465	0.007747	0.003718	0.010399	0.050465	0.001182	16912384	16912384	17014784	17014784	18624512	18624512	19333120	19333120	20561920	20561920	20955136	22528000	22528000	23048192	16912384	16912384	17014784	17014784	18624512	18624512	19333120	19333120	20643840	20643840	22437888	22528000	22528000	23048192
8	28583	10041	41	18501	169739	118773	106762	145570	13892	58	0.004886	0.052748	0.007662	0.020460	0.000000	0.031140	0.019404	0.011736	0.026323	0.145666	0.002446	23048192	23048192	23379968	23379968	29765632	29765632	32075776	32075776	36274176	36274176	36429824	44822528	44822528	43192320	23048192	23048192	23379968	23379968	29765632	29765632	32075776	32075776	36274176	36274176	40194048	44822528	44822528	44269568
9	106762	41609	225	64928	610934	402725	346184	491754	55501	283	0.016265	0.172981	0.027092	0.091390	0.000000	0.166021	0.113105	0.052916	0.147360	0.630609	0.009499	33648640	33648640	39514112	39514112	64020480	64020480	71700480	71700480	88481792	88481792	91455488	85159936	85159936	105373696	44269568	44269568	44269568	44269568	64020480	64020480	71700480	71700480	96079872	96079872	107790336	107790336	107790336	107790336
10	346184	128314	794	217076	2070403	1288420	1095851	1587605	183815	1077	0.073303	0.588078	0.096571	0.454975	0.000000	0.678267	0.439240	0.239027	0.613976	2.543611	0.038441	68509696	68509696	100597760	100597760	181727232	181727232	191705088	191705088	233992192	233992192	225472512	292585472	292585472	259026944	107790336	107790336	107790336	107790336	181727232	181727232	192872448	192872448	308727808	308727808	308727808	308727808	308727808	308727808
11	1095851	441814	4375	649662	6408513	3753533	2954532	4542137	625629	5452	0.222739	1.872520	0.466067	1.662492	0.000000	2.326057	1.541372	0.784684	2.197417	8.862536	0.115244	203468800	203468800	259489792	259489792	505319424	505319424	530014208	530014208	612966400	612966400	612966400	814292992	814292992	674480128	308727808	308727808	308727808	308727808	505319424	505319424	572559360	572559360	730779648	730779648	813617152	880566272	880566272	923799552
12	2954532	1185217	16239	1753076	17195492	9414265	7196129	11738266	1810846	21691	0.847115	4.932186	1.706172	4.638964	0.000000	5.972634	3.934965	2.037669	4.987308	23.367851	0.283473	617283584	617283584	796606464	796606464	1427939328	1442422784	1491062784	1491062784	1621938176	1621938176	1621938176	1890373632	1890373632	1667006464	923799552	923799552	923799552	923799552	1427939328	1442422784	1724907520	1724907520	1892868096	1892868096	2023743488	2158260224	2158260224	2158260224
13	5000000	2208373	44077	2747550	27447314	16752197	11337701	23075967	4019219	65768	1.194376	8.374850	3.832523	8.754082	0.000000	11.754935	7.869006	3.885929	9.993058	44.525071	0.621248	1475215360	1475215360	1659686912	1659691008	2509410304	2541568000	2559639552	2559639552	2876932096	2876932096	2876932096	3413803008	3413803008	3018747904	2158260224	2158260224	2158260224	2158260224	2509410304	2541568000	2942803968	2942803968	3364192256	3364192256	3681792000	3950235648	3950235648	3950235648
14	5000000	2233346	44917	2721737	27023187	19325807	10180808	33256775	6252565	110685	1.275171	8.474347	1.876812	8.650301	0.000000	11.979718	9.349253	2.630465	10.361735	43.303476	0.685391	2679463936	2679463936	2851127296	2851127296	3469672448	3487539200	3489177600	3489177600	3839094784	3839094784	3839094784	3839094784	3839094784	3498975232	3950235648	3950235648	3950235648	3950235648	3950235648	3950235648	3950235648	3950235648	4323266560	4323266560	4643856384	4643856384	4643856384	4643856384
15	5000000	2197559	54832	2747609	26839307	19180353	9004971	42261746	8450124	165517	1.290031	8.715354	4.112704	8.662193	0.000000	15.001891	8.808281	6.193610	9.874045	48.348229	0.692012	3111313408	3111313408	3300130816	3300130816	3905560576	3923140608	3975163904	3975163904	4297322496	4297322496	4028887040	5102628864	5102628864	5015433216	4643856384	4643856384	4643856384	4643856384	4643856384	4643856384	4643856384	4643856384	4779655168	4779655168	4779655168	6175793152	6175793152	6175793152
16	5000000	2260048	56658	2683294	26288733	19861667	7528010	49789756	10710172	222175	1.307566	8.702488	2.192466	8.570694	0.000000	11.207572	9.119645	2.087927	7.900682	40.470771	0.589304	4610662400	4610662400	4798050304	4798050304	5343686656	5361766400	5361160192	5361160192	5711634432	5711634432	5443198976	5443198976	5443198976	5321601024	6175793152	6175793152	6175793152	6175793152	6175793152	6175793152	6175793152	6175793152	6190018560	6190018560	6190018560	6190018560	6190018560	6190018560
17	5000000	2293818	71161	2635021	25817386	20349427	8606161	58395917	13003990	293336	1.309240	8.667958	4.328214	10.466164	0.000000	12.091659	9.681933	2.409726	6.488369	43.828423	0.476820	5062307840	5062307840	5234647040	5234647040	5715578880	5733928960	5758160896	5758160896	6625366016	6625366016	5820059648	5820059648	5820059648	5627457536	6190018560	6190018560	6190018560	6190018560	6190018560	6190018560	6190018560	6190018560	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376
18	5000000	2367474	72579	2559947	25012100	19892174	6715402	65111319	15371464	365915	1.338519	8.604752	2.338439	8.135045	0.000000	11.344938	9.332506	2.012432	7.921388	40.331875	0.648794	5336825856	5336825856	5509369856	5509369856	6053220352	6072160256	6086524928	6086524928	6423302144	6423302144	6154866688	6154866688	6154866688	6064029696	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376
19	5000000	2455910	87628	2456462	23868998	19027064	5746951	70858270	17827374	453543	1.314517	8.591173	4.488012	7.875653	0.000000	10.867271	9.070419	1.796852	4.746727	38.312778	0.429424	5675356160	5675356160	5862584320	5862584320	6343839744	6363488256	6394380288	6394380288	6740299776	6740299776	6471864320	6471864320	6471864320	6261477376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376
20	5000000	2527920	96175	2375905	23158018	19047326	5602050	76460320	20355294	549718	1.335439	8.443391	2.341974	7.568610	0.000000	11.038503	9.230163	1.808340	5.199443	36.393923	0.466563	5990899712	5990899712	6166515712	6166515712	6609031168	6629253120	6661066752	6661066752	7012675584	7012675584	6744240128	6744240128	6744240128	6537162752	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7368421376	7466012672	7466012672	7466012672	7466012672	7466012672	7466012672
21	5000000	2527632	95682	2376686	22737655	18952397	5831967	82292287	22882926	645400	1.366068	8.477605	4.262949	7.370663	0.000000	19.963002	9.309522	10.653480	5.973949	47.929120	0.514885	6261600256	6261600256	6443380736	6443380736	6894764032	6914985984	6945828864	6945828864	7300800512	7300800512	7032365056	9179848704	9179848704	9011535872	7466012672	7466012672	7466012672	7466012672	7466012672	7466012672	7466012672	7466012672	7750774784	7750774784	7750774784	11326783488	11326783488	11326783488
22	5000000	2432681	92891	2474428	23180889	18947694	6602182	88894469	25315607	738291	1.294268	8.412542	2.164532	7.475609	0.000000	10.971582	9.063880	1.907702	7.082680	37.964644	0.563430	8712450048	8712450048	8890224640	8890224640	9362132992	9381593088	9413001216	9413001216	9764425728	9764425728	9495990272	9495990272	9495990272	9342791680	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488
23	5000000	2473210	93548	2433242	22685929	18696909	5233415	94127884	27788817	831839	1.302507	8.456656	4.110895	7.332536	0.000000	10.672445	9.071293	1.601152	7.315663	39.835555	0.644852	9009049600	9009049600	9190006784	9190006784	9667207168	9686994944	9732751360	9732751360	10088136704	10088136704	9819701248	9819701248	9819701248	9728708608	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488
24	5000000	2632772	106955	2260273	21033323	17699461	4532197	98660081	30421589	938794	1.283878	8.298243	2.022851	7.055096	0.000000	9.730549	8.312239	1.418310	7.076912	36.106056	0.638527	9326194688	9326194688	9515872256	9515872256	9882046464	9903112192	9941950464	9941950464	10310557696	10310557696	9907904512	9907904512	9907904512	9954811904	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488
25	5000000	2858261	124806	2016933	18624194	15876166	4132968	102793049	33279850	1063600	1.244274	8.081516	3.702929	6.325709	0.000000	8.963675	7.652768	1.310906	6.533093	35.455588	0.604393	9645629440	9645629440	9820569600	9820569600	10097369088	10120232960	10122043392	10122043392	10509922304	10509922304	10107269120	10107269120	10107269120	10129895424	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488
26	5000000	2793863	141953	2064184	19185992	16596094	4813954	107607003	36073713	1205553	1.299438	8.224309	1.228330	6.358399	0.000000	9.454637	7.939581	1.515056	6.316196	33.439412	0.558103	9769316352	9769316352	9949581312	9949581312	10351304704	10373656576	10392006656	10392006656	10775392256	10775392256	10372739072	10372739072	10372739072	10379993088	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488
27	5000000	2809066	145805	2045129	19000850	16214277	4583382	112190385	38882779	1351358	1.299283	8.131326	2.812321	6.252805	0.000000	9.389204	7.913157	1.476048	5.873475	34.303975	0.545561	10065305600	10065305600	10243817472	10243817472	10613977088	10636447744	10667855872	10667855872	11052720128	11052720128	10650066944	10650066944	10650066944	10654547968	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11326783488	11472617472	11472617472	11472617472	11472617472	11472617472	11472617472
28	5000000	2821349	150858	2027793	18748534	15999355	4412124	116602509	41704128	1502216	1.285568	8.054945	4.547175	6.140504	0.000000	9.100834	7.697493	1.403340	5.376110	35.016789	0.511653	10293809152	10293809152	10500362240	10500362240	10907250688	10929823744	10967130112	10967130112	11354013696	11354013696	10951360512	10951360512	10951360512	10926735360	11472617472	11472617472	11472617472	11472617472	11472617472	11472617472	11472617472	11472617472	11771891712	11771891712	11771891712	11771891712	11771891712	11771891712
29	5000000	2788433	156097	2055470	18745077	15770142	4319293	120921802	44492561	1658313	1.292944	8.069023	2.252090	6.192560	0.000000	9.082850	7.673821	1.409029	4.732301	32.089903	0.468134	10567561216	10567561216	10775662592	10775666688	11179438080	11201748992	11234865152	11234865152	11621777408	11621777408	11219124224	11219124224	11219124224	11166515200	11771891712	11771891712	11771891712	11771891712	11771891712	11771891712	11771891712	11771891712	12039626752	12039626752	12039626752	12039626752	12039626752	12039626752
30	5000000	2970483	186888	1842629	16997509	14644636	3512059	124433861	47463044	1845201	1.275912	7.915348	3.666635	5.707944	0.000000	8.400807	7.224061	1.176746	3.662823	31.033972	0.404503	10842558464	10842558464	11046813696	11046813696	11399086080	11422851072	11433353216	11433353216	11834245120	11834245120	11431591936	11431591936	11431591936	11356217344	12039626752	12039626752	12039626752	12039626752	12039626752	12039626752	12039626752	12039626752	12238114816	12238114816	12238114816	12238114816	12238114816	12238114816
31	5000000	3156020	201713	1642267	15095157	13037540	3248697	127682558	50619064	2046914	1.258731	7.695062	1.001742	5.206175	0.000000	7.675590	6.589642	1.085948	6.221258	29.660776	0.602218	11060383744	11060383744	11268362240	11268362240	11531018240	11556270080	11597959168	11597959168	12014071808	12014071808	11611418624	11611418624	11611418624	11673673728	12238114816	12238114816	12238114816	12238114816	12238114816	12238114816	12238114816	12238114816	12402720768	12402720768	12402720768	12402720768	12402720768	12402720768
32	5000000	3094861	200744	1704395	15627095	13530304	4010841	131693399	53713925	2247658	1.180032	7.757190	2.365243	5.268293	0.000000	11.334192	9.274443	2.059748	6.965164	35.578568	0.708454	11273895936	11273895936	11464380416	11464384512	11808321536	11851063296	11906691072	11906691072	12318547968	12318547968	11915894784	11915894784	11915894784	11900731392	12402720768	12402720768	12402720768	12402720768	12402720768	12402720768	12402720768	12402720768	12711452672	12711452672	12711452672	12711452672	12711452672	12711452672
33	5000000	2911039	197413	1891548	17164698	14494365	4584132	136277531	56624964	2445071	1.442691	8.371629	4.671276	6.151043	0.000000	22.711520	19.966020	2.745500	5.029733	49.097964	0.720072	11593785344	11593785344	11775991808	11775991808	12166664192	12191531008	12238340096	12238340096	12637896704	12637896704	12235243520	12235243520	12235243520	12206166016	12711452672	12711452672	12711452672	12711452672	12711452672	12711452672	12711452672	12711452672	13042077696	13042077696	13042077696	13042077696	13042077696	13042077696
34	5000000	2906785	206478	1886737	16881374	14341020	4286542	140564073	59531749	2651549	1.294822	8.147656	1.274913	5.581632	0.000000	9.970174	8.342182	1.627992	4.308091	31.010816	0.433528	11986558976	11986558976	12163919872	12163919872	12507295744	12531212288	12532887552	12532887552	12934709248	12934709248	12532056064	12532056064	12532056064	12471189504	13042077696	13042077696	13042077696	13042077696	13042077696	13042077696	13042077696	13042077696	13336395776	13336395776	13336395776	13336395776	13336395776	13336395776
35	5000000	2931684	210251	1858065	16641140	14030101	4015295	144579368	62463433	2861800	1.231985	8.124037	2.771793	5.472729	0.000000	9.495384	7.965216	1.530168	3.656477	31.141000	0.388596	12264017920	12264017920	12439224320	12439224320	12773646336	12797100032	12799082496	12799082496	13202825216	13202825216	12800172032	12800172032	12800172032	12719702016	13336395776	13336395776	13336395776	13336395776	13336395776	13336395776	13336395776	13336395776	13602820096	13602820096	13602820096	13602820096	13602820096	13602820096
