round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000139	0.000112	0.000317	0.000080	0.000242	0.000165	0.000089	0.000076	0.000457	0.054118	0.052605	23060480	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23388160	23388160	23388160	23388160	23392256	23191552	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23261184	23388160	23388160	23388160	23388160	23392256
2	4	0	0	4	17	0	17	22	0	0	0	0.000109	0.000102	0.000233	0.000079	0.000000	0.000146	0.000073	0.000073	0.000446	0.001942	0.000826	23400448	23400448	23400448	23400448	23400448	23400448	23404544	23404544	23404544	23404544	23404544	23404544	23404544	23404544	23400448	23400448	23400448	23400448	23400448	23400448	23404544	23404544	23404544	23404544	23404544	23404544	23404544	23404544
3	17	4	0	13	96	0	82	104	0	4	0	0.000111	0.000148	0.000240	0.000080	0.000000	0.000147	0.000073	0.000074	0.000471	0.002010	0.000813	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23416832	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23408640	23416832
4	82	24	0	58	510	0	447	551	0	28	0	0.000129	0.000326	0.000254	0.000079	0.000000	0.000158	0.000073	0.000085	0.000472	0.002243	0.000824	23420928	23420928	23429120	23429120	23441408	23441408	23449600	23449600	23449600	23449600	23449600	23449600	23449600	23482368	23420928	23420928	23429120	23429120	23441408	23441408	23449600	23449600	23449600	23449600	23449600	23449600	23449600	23482368
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000174	0.001226	0.000395	0.000089	0.000000	0.000159	0.000080	0.000079	0.000937	0.003888	0.000908	23482368	23482368	23486464	23486464	23560192	23560192	23592960	23592960	23592960	23592960	23592960	23592960	23592960	23609344	23482368	23482368	23486464	23486464	23560192	23560192	23592960	23592960	23592960	23592960	23592960	23592960	23592960	23609344
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000407	0.003776	0.000627	0.000073	0.000000	0.000129	0.000065	0.000064	0.002029	0.007948	0.000907	23613440	23613440	23732224	23732224	24027136	24027136	24174592	24174592	24174592	24174592	24174592	24174592	24174592	24240128	23613440	23613440	23732224	23732224	24027136	24027136	24174592	24174592	24174592	24174592	24174592	24174592	24174592	24313856
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001043	0.014478	0.002035	0.000072	0.000000	0.000126	0.000063	0.000063	0.007102	0.025846	0.000990	24240128	24240128	24567808	24567808	25669632	25669632	26386432	26386432	26386432	26386432	26386432	26386432	26386432	26619904	24313856	24313856	24567808	24567808	25669632	25669632	26386432	26386432	26386432	26386432	26386432	26386432	26386432	28442624
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.004075	0.053276	0.007820	0.000094	0.000000	0.000123	0.000064	0.000060	0.025404	0.092749	0.001957	26619904	26619904	27725824	27725824	31899648	31899648	34721792	34721792	34721792	34721792	34721792	34721792	34721792	35577856	28442624	28442624	28442624	28442624	31899648	31899648	34721792	34721792	34721792	34721792	34721792	34721792	34721792	39407616
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.014573	0.210133	0.026165	0.000070	0.000000	0.000137	0.000072	0.000065	0.102021	0.359336	0.006238	33513472	33513472	35201024	35201024	48975872	48975872	56651776	56651776	56651776	56651776	56651776	56651776	56651776	58896384	39407616	39407616	39407616	39407616	48975872	48975872	56651776	56651776	56651776	56651776	56651776	56651776	56651776	83918848
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.066417	0.779583	0.085851	0.000101	0.000000	0.000120	0.000060	0.000060	0.384839	1.338138	0.021227	48574464	48574464	70848512	70848512	147996672	147996672	150573056	150573056	150573056	150573056	150573056	150573056	150573056	132792320	83918848	83918848	83918848	83918848	147996672	147996672	151789568	151789568	151789568	151789568	151789568	151789568	151789568	206024704
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.206375	2.546132	0.439012	0.000069	0.000000	0.000116	0.000058	0.000059	1.519541	4.787620	0.076375	98484224	98484224	162942976	162942976	382144512	382144512	410058752	410058752	410058752	410058752	410058752	410058752	410058752	421113856	206024704	206024704	206024704	206024704	434831360	434831360	453001216	453001216	453001216	453001216	453001216	453001216	453001216	622125056
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.811559	6.421960	1.664493	0.000073	0.000000	0.000119	0.000060	0.000059	3.238894	12.340078	0.202980	212746240	212746240	455884800	455884800	886374400	899559424	947519488	947519488	947519488	947519488	947519488	947519488	947519488	935026688	622125056	622125056	622125056	622125056	886374400	899559424	1182408704	1182408704	1182408704	1182408704	1182408704	1182408704	1182408704	1182408704
13	5000000	2148862	37267	2813871	27966929	0	11258320	22996586	1	3959708	58958	1.133983	10.996054	3.678345	0.000073	0.000000	0.000117	0.000060	0.000058	6.791012	23.067918	0.468334	513548288	513548288	767393792	767393792	1487663104	1519341568	1548804096	1548804096	1548804096	1548804096	1548804096	1548804096	1548804096	1647038464	1182408704	1182408704	1182408704	1182408704	1506213888	1519341568	1933438976	1933438976	1933438976	1933438976	1933438976	1933438976	1933438976	1933438976
14	5000000	2135111	48453	2816436	28082321	0	10588851	33585437	1	6094819	107411	1.156799	11.656585	1.830855	0.000068	0.000000	0.000116	0.000058	0.000058	7.232000	22.386712	0.510288	842670080	842670080	1088569344	1088569344	2075901952	2092982272	2146320384	2146320384	2146320384	2146320384	2146320384	2146320384	2146320384	2302185472	1933438976	1933438976	1933438976	1933438976	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864
15	5000000	2102873	50061	2847066	27749883	0	8609009	42194446	0	8197692	157472	1.173789	10.024190	4.093374	0.000067	0.000000	0.000117	0.000059	0.000058	6.888949	22.699356	0.518870	1480536064	1480536064	1726029824	1726029824	2103193600	2120019968	2170630144	2170630144	2170630144	2170630144	2170630144	2170630144	2170630144	2371080192	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864
16	5000000	2293358	66863	2639779	26263198	0	7617910	49812356	0	10491050	224335	1.154835	9.871293	2.196573	0.000068	0.000000	0.000116	0.000058	0.000058	5.382042	19.029646	0.424718	1598140416	1598140416	1827364864	1827364864	2226610176	2244956160	2246971392	2246971392	2246971392	2246971392	2246971392	2246971392	2246971392	2365534208	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864
17	5000000	2304312	67543	2628145	25625306	0	8163786	57976142	0	12795362	291878	1.160928	10.065714	4.490634	0.000066	0.000000	0.000117	0.000057	0.000061	4.033025	20.078979	0.328495	1718882304	1718882304	1940705280	1940705280	2352615424	2371051520	2373537792	2373537792	2373537792	2373537792	2373537792	2373537792	2373537792	2384916480	2611236864	2611236864	2611236864	2611236864	2611236864	2611236864	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112
18	5000000	2369944	75813	2554243	25138004	0	6407133	64383275	0	15165306	367691	1.154593	9.267833	2.393325	0.000066	0.000000	0.000114	0.000058	0.000057	5.363374	18.633537	0.454231	1838919680	1838919680	2057891840	2057891840	2325270528	2344230912	2407133184	2407133184	2407133184	2407133184	2407133184	2407133184	2407133184	2561884160	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112	2807386112
