time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-20T00:48:01	3500	1336	56.0	0
2026-09-20T00:49:01	3500	1367	60.0	0
2026-09-20T00:50:01	3500	1392	64.0	0
2026-09-20T00:51:01	3405	1318	64.0	0
2026-09-20T00:52:01	3500	1398	64.0	0
2026-09-20T00:53:01	3500	1400	65.0	0
2026-09-20T00:54:01	3500	1387	68.0	0
2026-09-20T00:55:01	3492	1395	65.0	0
2026-09-20T00:56:02	3419	1488	66.0	0
2026-09-20T00:57:02	3492	1434	69.0	0
2026-09-20T00:58:02	3492	1394	69.0	0
2026-09-20T00:59:02	3492	1308	69.0	0
2026-09-20T01:00:02	3492	1378	67.0	0
2026-09-20T01:01:02	3256	1317	67.0	0
2026-09-20T01:02:02	3492	1319	70.0	0
2026-09-20T01:03:02	3492	1331	67.0	0
2026-09-20T01:04:02	3288	1343	67.0	0
2026-09-20T01:05:02	3193	1417	67.0	0
2026-09-20T01:06:02	3436	1305	67.0	0
2026-09-20T01:07:02	3419	1340	69.0	0
2026-09-20T01:08:02	3428	1370	69.0	0
2026-09-20T01:09:02	3492	1332	69.0	0
2026-09-20T01:10:02	3395	1317	68.0	0
2026-09-20T01:11:02	3326	1330	68.0	0
2026-09-20T01:12:02	3492	1333	69.0	0
2026-09-20T01:13:02	3490	1310	68.0	0
2026-09-20T01:14:02	3416	1335	69.0	0
2026-09-20T01:15:02	3492	1270	68.0	0
2026-09-20T01:16:02	3492	1322	68.0	0
2026-09-20T01:17:02	3432	1374	67.0	0
2026-09-20T01:18:02	3307	1319	67.0	0
2026-09-20T01:19:02	3401	1327	69.0	0
2026-09-20T01:20:02	3399	1334	71.0	0
2026-09-20T01:21:02	3492	1287	67.0	0
2026-09-20T01:22:02	3492	1338	69.0	0
2026-09-20T01:23:02	3492	1308	68.0	0
