round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000133	0.000094	0.000323	0.000075	0.000227	0.000169	0.000083	0.000086	0.000430	0.049742	0.048291	23080960	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23400448	23400448	23400448	23400448	23404544	23207936	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23273472	23400448	23400448	23400448	23400448	23404544
2	4	0	0	4	17	0	17	22	0	0	0	0.000110	0.000096	0.000228	0.000075	0.000000	0.000159	0.000088	0.000072	0.000420	0.001872	0.000785	23408640	23408640	23408640	23408640	23408640	23408640	23412736	23412736	23412736	23412736	23412736	23412736	23412736	23412736	23408640	23408640	23408640	23408640	23408640	23408640	23412736	23412736	23412736	23412736	23412736	23412736	23412736	23412736
3	17	4	0	13	96	0	82	104	0	4	0	0.000110	0.000128	0.000218	0.000072	0.000000	0.000139	0.000070	0.000069	0.001417	0.002897	0.000812	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23425024	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23416832	23425024
4	82	24	0	58	510	0	447	551	0	28	0	0.000132	0.000288	0.000267	0.000076	0.000000	0.000137	0.000069	0.000068	0.000475	0.002204	0.000830	23429120	23429120	23437312	23437312	23449600	23449600	23457792	23457792	23457792	23457792	23457792	23457792	23457792	23490560	23429120	23429120	23437312	23437312	23449600	23449600	23457792	23457792	23457792	23457792	23457792	23457792	23457792	23490560
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000169	0.001093	0.000349	0.000077	0.000000	0.000135	0.000068	0.000067	0.000937	0.003625	0.000865	23490560	23490560	23490560	23490560	23564288	23564288	23601152	23601152	23601152	23601152	23601152	23601152	23601152	23625728	23490560	23490560	23490560	23490560	23564288	23564288	23601152	23601152	23601152	23601152	23601152	23601152	23601152	23625728
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000436	0.004424	0.000902	0.000087	0.000000	0.000151	0.000075	0.000076	0.002151	0.009114	0.000963	23629824	23629824	23732224	23732224	24043520	24043520	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24252416	23629824	23629824	23732224	23732224	24043520	24043520	24190976	24190976	24190976	24190976	24190976	24190976	24190976	24313856
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001121	0.013376	0.002004	0.000069	0.000000	0.000121	0.000061	0.000060	0.007313	0.025005	0.001001	24252416	24252416	24584192	24584192	25686016	25686016	26398720	26398720	26398720	26398720	26398720	26398720	26398720	26632192	24313856	24313856	24584192	24584192	25686016	25686016	26398720	26398720	26398720	26398720	26398720	26398720	26398720	28442624
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.003924	0.047964	0.007508	0.000068	0.000000	0.000117	0.000059	0.000058	0.024306	0.085751	0.001863	26632192	26632192	27684864	27684864	31846400	31846400	34672640	34672640	34672640	34672640	34672640	34672640	34672640	35528704	28442624	28442624	28442624	28442624	31846400	31846400	34672640	34672640	34672640	34672640	34672640	34672640	34672640	39464960
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.014923	0.183342	0.026134	0.000062	0.000000	0.000151	0.000093	0.000058	0.100085	0.330670	0.005972	32432128	32432128	35397632	35401728	49283072	49283072	56434688	56434688	56434688	56434688	56434688	56434688	56434688	59203584	39464960	39464960	39464960	39464960	49283072	49283072	56434688	56434688	56434688	56434688	56434688	56434688	56434688	84258816
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.064328	0.706050	0.085155	0.000064	0.000000	0.000116	0.000059	0.000057	0.376538	1.258793	0.026543	48881664	48881664	71266304	71266304	148398080	148398080	150855680	150855680	150855680	150855680	150855680	150855680	150855680	133074944	84258816	84258816	84258816	84258816	148398080	148398080	152694784	152694784	152694784	152694784	152694784	152694784	152694784	206352384
