round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000144	0.000181	0.000334	0.000078	0.000228	0.000159	0.000085	0.000074	0.000435	0.050772	0.049211	23273472	23535616	23535616	23535616	23539712	23539712	23543808	23543808	23543808	23609344	23609344	23609344	23609344	23609344	23470080	23535616	23535616	23535616	23539712	23539712	23543808	23543808	23543808	23609344	23609344	23609344	23609344	23609344
2	4	0	0	4	17	0	17	22	0	0	0	0.000104	0.000164	0.000237	0.000076	0.000000	0.000152	0.000071	0.000081	0.000464	0.002005	0.000810	23613440	23613440	23613440	23613440	23613440	23613440	23617536	23617536	23617536	23617536	23617536	23617536	23617536	23621632	23613440	23613440	23613440	23613440	23613440	23613440	23617536	23617536	23617536	23617536	23617536	23617536	23617536	23621632
3	17	4	0	13	96	0	82	104	0	4	0	0.000127	0.000159	0.000227	0.000076	0.000000	0.000141	0.000072	0.000070	0.000436	0.001959	0.000791	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23633920	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23621632	23633920
4	82	24	0	58	510	0	447	551	0	28	0	0.000124	0.000226	0.000257	0.000077	0.000000	0.000140	0.000070	0.000070	0.000469	0.002109	0.000816	23638016	23638016	23638016	23638016	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23687168	23638016	23638016	23638016	23638016	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23642112	23687168
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000181	0.000515	0.000355	0.000099	0.000000	0.000156	0.000079	0.000077	0.000996	0.003174	0.000872	23695360	23695360	23703552	23703552	23715840	23715840	23732224	23732224	23732224	23732224	23732224	23732224	23732224	23904256	23695360	23695360	23703552	23703552	23715840	23715840	23732224	23732224	23732224	23732224	23732224	23732224	23732224	23904256
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000544	0.001958	0.000796	0.000088	0.000000	0.000156	0.000078	0.000077	0.002839	0.007310	0.000928	23904256	23904256	24023040	24023040	23937024	23937024	24076288	24076288	24076288	24076288	24076288	24076288	24076288	24248320	23904256	23904256	24023040	24023040	23937024	23937024	24076288	24076288	24076288	24076288	24076288	24076288	24076288	24313856
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001544	0.006578	0.002383	0.000089	0.000000	0.000156	0.000079	0.000078	0.009844	0.021534	0.000940	24248320	24248320	24776704	24776704	24944640	24944640	25260032	25260032	25260032	25260032	25260032	25260032	25260032	26079232	24313856	24313856	24776704	24776704	24944640	24944640	25260032	25260032	25260032	25260032	25260032	25260032	25260032	27983872
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.005602	0.024622	0.008286	0.000072	0.000000	0.000122	0.000061	0.000061	0.027880	0.067516	0.000933	26079232	26079232	27869184	27869184	28495872	28495872	29900800	29900800	29900800	29900800	29900800	29900800	29900800	31891456	27983872	27983872	27983872	27983872	28495872	28495872	29900800	29900800	29900800	29900800	29900800	29900800	29900800	36962304
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.015491	0.071216	0.028842	0.000069	0.000000	0.000120	0.000062	0.000058	0.122020	0.238774	0.001016	31891456	31891456	35983360	35983360	36855808	36855808	42242048	42242048	42242048	42242048	42242048	42242048	42242048	43671552	36962304	36962304	36962304	36962304	36962304	36962304	42242048	42242048	42242048	42242048	42242048	42242048	42242048	75640832
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.068474	0.308702	0.091199	0.000069	0.000000	0.000120	0.000061	0.000059	0.427799	0.899947	0.003584	43671552	43671552	73183232	73183232	95956992	95956992	95375360	95375360	95375360	95375360	95375360	95375360	95375360	118001664	75640832	75640832	75640832	75640832	95956992	95956992	101232640	101232640	101232640	101232640	101232640	101232640	101232640	181952512
