time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-20T15:58:03	2594	1352	53.0	0
2026-09-20T15:59:03	3432	1318	57.0	0
2026-09-20T16:00:03	3492	1353	58.0	0
2026-09-20T16:01:03	3500	1318	60.0	0
2026-09-20T16:02:04	3356	1490	61.0	0
2026-09-20T16:03:04	3385	1362	62.0	0
2026-09-20T16:04:04	3492	1325	64.0	0
2026-09-20T16:05:04	3437	1389	64.0	0
2026-09-20T16:06:04	3289	1356	65.0	0
2026-09-20T16:07:04	3492	1343	65.0	0
2026-09-20T16:08:04	3387	1304	65.0	0
2026-09-20T16:09:04	3403	1356	66.0	0
2026-09-20T16:10:04	3492	1285	67.0	0
2026-09-20T16:11:04	3492	1363	67.0	0
2026-09-20T16:12:04	3435	1393	68.0	0
2026-09-20T16:13:04	3393	1304	69.0	0
2026-09-20T16:14:04	3203	1319	69.0	0
2026-09-20T16:15:04	3500	1395	67.0	0
2026-09-20T16:16:04	3492	1360	67.0	0
2026-09-20T16:17:04	3500	1470	67.0	0
2026-09-20T16:18:04	3266	1662	68.0	0
2026-09-20T16:19:04	3193	1644	69.0	0
2026-09-20T16:20:04	3404	1298	67.0	0
2026-09-20T16:21:04	3343	1389	67.0	0
2026-09-20T16:22:04	3389	1335	67.0	0
