round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000147	0.000174	0.000361	0.000077	0.000224	0.000155	0.000083	0.000072	0.000430	0.051193	0.049625	23314432	23515136	23519232	23519232	23523328	23527424	23531520	23531520	23531520	23592960	23592960	23592960	23592960	23592960	23445504	23515136	23519232	23519232	23523328	23527424	23531520	23531520	23531520	23592960	23592960	23592960	23592960	23592960
2	4	0	0	4	17	0	17	22	0	0	0	0.000104	0.000157	0.000230	0.000075	0.000000	0.000139	0.000070	0.000069	0.000447	0.001975	0.000823	23601152	23601152	23601152	23601152	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23609344	23601152	23601152	23601152	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23605248	23609344
3	17	4	0	13	96	0	82	104	0	4	0	0.000124	0.000155	0.000228	0.000075	0.000000	0.000142	0.000073	0.000069	0.000415	0.001962	0.000824	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23625728	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23613440	23625728
4	82	24	0	58	510	0	447	551	0	28	0	0.000122	0.000211	0.000257	0.000077	0.000000	0.000139	0.000070	0.000069	0.000482	0.002130	0.000843	23625728	23625728	23625728	23625728	23625728	23625728	23629824	23629824	23629824	23629824	23629824	23629824	23629824	23678976	23625728	23625728	23625728	23625728	23625728	23625728	23629824	23629824	23629824	23629824	23629824	23629824	23629824	23678976
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000178	0.000499	0.000350	0.000079	0.000000	0.000140	0.000071	0.000069	0.000968	0.003072	0.000858	23683072	23683072	23691264	23691264	23703552	23703552	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23773184	23683072	23683072	23691264	23691264	23703552	23703552	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23855104
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000473	0.001600	0.000814	0.000081	0.000000	0.000140	0.000071	0.000069	0.002867	0.006881	0.000906	23773184	23773184	23920640	23920640	23912448	23912448	23998464	23998464	23998464	23998464	23998464	23998464	23998464	24236032	23855104	23855104	23920640	23920640	23912448	23912448	23998464	23998464	23998464	23998464	23998464	23998464	23998464	24313856
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001502	0.005955	0.002375	0.000088	0.000000	0.000152	0.000077	0.000076	0.009129	0.020124	0.000923	24236032	24236032	24772608	24772608	24936448	24936448	25251840	25251840	25251840	25251840	25251840	25251840	25251840	26103808	24313856	24313856	24772608	24772608	24936448	24936448	25251840	25251840	25251840	25251840	25251840	25251840	25251840	27983872
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.004129	0.017367	0.007189	0.000069	0.000000	0.000120	0.000061	0.000059	0.025953	0.055593	0.000766	26103808	26103808	27865088	27865088	28491776	28491776	29884416	29884416	29884416	29884416	29884416	29884416	29884416	31907840	27983872	27983872	27983872	27983872	28491776	28491776	29884416	29884416	29884416	29884416	29884416	29884416	29884416	37081088
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.015063	0.066914	0.026403	0.000078	0.000000	0.000116	0.000059	0.000057	0.119445	0.228904	0.000886	31907840	31907840	35971072	35971072	35790848	35790848	41668608	41668608	41668608	41668608	41668608	41668608	41668608	43651072	37081088	37081088	37081088	37081088	37081088	37081088	41668608	41668608	41668608	41668608	41668608	41668608	41668608	76046336
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.072440	0.299178	0.088804	0.000065	0.000000	0.000152	0.000056	0.000096	0.442366	0.907097	0.004091	42602496	42602496	73154560	73154560	94879744	94879744	94310400	94310400	94310400	94310400	94310400	94310400	94310400	116936704	76046336	76046336	76046336	76046336	94879744	94879744	101167104	101167104	101167104	101167104	101167104	101167104	101167104	181899264
