time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-21T00:51:08	2595	1385	53.0	0
2026-09-21T00:52:08	3405	1380	58.0	0
2026-09-21T00:53:08	3492	1299	59.0	0
2026-09-21T00:54:08	3404	1315	55.0	0
2026-09-21T00:55:08	3473	1317	57.0	0
2026-09-21T00:56:08	3384	1343	61.0	0
2026-09-21T00:57:08	3315	1336	61.0	0
2026-09-21T00:58:08	3500	1360	64.0	0
2026-09-21T00:59:08	3230	1306	63.0	0
2026-09-21T01:00:08	3421	1310	67.0	0
2026-09-21T01:01:08	3491	1304	65.0	0
2026-09-21T01:02:08	3412	1313	68.0	0
2026-09-21T01:03:08	3389	1325	70.0	0
2026-09-21T01:04:08	3406	1331	68.0	0
2026-09-21T01:05:08	3391	1301	70.0	0
2026-09-21T01:06:09	3395	1362	70.0	0
2026-09-21T01:07:09	3400	1360	71.0	0
2026-09-21T01:08:09	3362	1362	67.0	0
2026-09-21T01:09:09	3492	1302	67.0	0
2026-09-21T01:10:09	3492	1316	67.0	0
2026-09-21T01:11:09	3193	1352	68.0	0
2026-09-21T01:12:09	3403	1375	67.0	0
