round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000163	0.000170	0.000275	0.000061	0.000188	0.000145	0.000070	0.000076	0.000422	0.053455	0.052031	23425024	23625728	23625728	23625728	23638016	23638016	23642112	23642112	23642112	23703552	23703552	23703552	23703552	23703552	23556096	23625728	23625728	23629824	23638016	23638016	23642112	23642112	23642112	23703552	23703552	23703552	23703552	23707648
2	4	0	0	4	17	0	17	22	0	0	0	0.000089	0.000115	0.000230	0.000060	0.000000	0.000127	0.000070	0.000057	0.000366	0.001687	0.000700	23711744	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23719936	23711744	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23715840	23719936
3	17	4	0	13	96	0	82	104	0	4	0	0.000084	0.000125	0.000225	0.000061	0.000000	0.000109	0.000055	0.000055	0.000341	0.001596	0.000651	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23736320	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23724032	23736320
4	82	24	0	58	510	0	447	551	0	28	0	0.000093	0.000186	0.000206	0.000062	0.000000	0.000113	0.000056	0.000057	0.000467	0.001832	0.000706	23736320	23736320	23736320	23736320	23740416	23740416	23744512	23744512	23744512	23744512	23744512	23744512	23744512	23789568	23736320	23736320	23736320	23736320	23740416	23740416	23744512	23744512	23744512	23744512	23744512	23744512	23744512	23793664
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000136	0.000382	0.000283	0.000062	0.000000	0.000109	0.000054	0.000055	0.000760	0.002419	0.000687	23793664	23793664	23801856	23801856	23814144	23814144	23830528	23830528	23830528	23830528	23830528	23830528	23830528	23887872	23793664	23793664	23801856	23801856	23814144	23814144	23830528	23830528	23830528	23830528	23830528	23830528	23830528	23887872
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000370	0.001295	0.000676	0.000082	0.000000	0.000120	0.000060	0.000060	0.002158	0.005442	0.000741	23887872	23887872	24031232	24031232	24027136	24027136	24109056	24109056	24109056	24109056	24109056	24109056	24109056	24338432	23887872	23887872	24031232	24031232	24027136	24027136	24109056	24109056	24109056	24109056	24109056	24109056	24109056	24772608
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.001089	0.004859	0.001911	0.000069	0.000000	0.000119	0.000060	0.000059	0.007907	0.016711	0.000756	24338432	24338432	24858624	24858624	25026560	25026560	25362432	25362432	25362432	25362432	25362432	25362432	25362432	26206208	24772608	24772608	24858624	24858624	25026560	25026560	25362432	25362432	25362432	25362432	25362432	25362432	25362432	27947008
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.004163	0.017779	0.007319	0.000068	0.000000	0.000112	0.000057	0.000055	0.026432	0.056619	0.000747	26206208	26206208	27971584	27971584	28602368	28602368	29974528	29974528	29974528	29974528	29974528	29974528	29974528	32010240	27947008	27947008	27971584	27971584	28602368	28602368	29974528	29974528	29974528	29974528	29974528	29974528	29974528	37154816
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.014591	0.067078	0.026258	0.000063	0.000000	0.000119	0.000065	0.000054	0.112755	0.221754	0.000890	32010240	32010240	36081664	36081664	35905536	35905536	41775104	41775104	41775104	41775104	41775104	41775104	41775104	43757568	37154816	37154816	37154816	37154816	37154816	37154816	41775104	41775104	41775104	41775104	41775104	41775104	41775104	76132352
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.068439	0.300914	0.090507	0.000068	0.000000	0.000117	0.000058	0.000058	0.421082	0.885021	0.003893	42708992	42708992	73261056	73261056	94990336	94990336	94412800	94412800	94412800	94412800	94412800	94412800	94412800	117059584	76132352	76132352	76132352	76132352	94990336	94990336	101249024	101249024	101249024	101249024	101249024	101249024	101249024	181972992
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.213469	1.163225	0.402996	0.000073	0.000000	0.000118	0.000058	0.000060	1.620881	3.406568	0.005805	76967936	76967936	172343296	172343296	219164672	222986240	226254848	226254848	226254848	226254848	226254848	226254848	226254848	271319040	181972992	181972992	181972992	181972992	283009024	283009024	322564096	322564096	322564096	322564096	322564096	322564096	322564096	549675008
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.800424	2.931419	1.588837	0.000067	0.000000	0.000108	0.000054	0.000054	3.523112	8.852500	0.008534	246632448	246632448	488394752	488394752	448413696	448413696	450670592	450670592	450670592	450670592	450670592	450670592	450670592	442982400	549675008	549675008	549675008	549675008	568795136	568795136	781692928	781692928	781692928	781692928	781692928	781692928	781692928	804884480
13	5000000	2148862	37267	2813871	27966929	0	11258320	22996586	1	3959708	58958	1.154999	5.200118	3.352819	0.000083	0.000000	0.000118	0.000059	0.000059	7.429632	17.170252	0.032483	384380928	384380928	719515648	719515648	798466048	830144512	868917248	868917248	868917248	868917248	868917248	868917248	868917248	848175104	804884480	804884480	804884480	804884480	1098145792	1098145792	1243062272	1243062272	1243062272	1243062272	1243062272	1243062272	1243062272	1243062272
14	5000000	2135111	48453	2816436	28082321	0	10588851	33585437	1	6094819	107411	1.131957	6.755655	1.596035	0.000123	0.000000	0.000123	0.000064	0.000060	8.611018	18.115769	0.020859	740536320	740536320	1058807808	1058807808	1362968576	1380048896	1364275200	1364275200	1364275200	1364275200	1364275200	1364275200	1364275200	1447747584	1243062272	1243062272	1243062272	1243062272	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984
15	5000000	2102873	50061	2847066	27749883	0	8609009	42194446	0	8197692	157472	1.152115	4.461413	3.970789	0.000100	0.000000	0.000120	0.000061	0.000059	7.418129	17.029023	0.026357	1334366208	1334366208	1654435840	1654439936	1404334080	1421160448	1430433792	1430433792	1430433792	1430433792	1430433792	1430433792	1430433792	1481101312	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984
16	5000000	2293358	66863	2639779	26263198	0	7617910	49812356	0	10491050	224335	1.096015	4.275457	1.969314	0.000100	0.000000	0.000143	0.000084	0.000060	5.820060	13.186201	0.025111	1275273216	1275273216	1609183232	1609183232	1376718848	1395064832	1376710656	1376710656	1376710656	1376710656	1376710656	1376710656	1376710656	1447854080	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984
17	5000000	2304312	67543	2628145	25625306	0	8163786	57976142	0	12795362	291878	1.101770	4.423380	4.055323	0.000085	0.000000	0.000117	0.000059	0.000058	4.326015	13.926010	0.019320	1287962624	1287962624	1624641536	1624641536	1391964160	1410396160	1397665792	1397665792	1397665792	1397665792	1397665792	1397665792	1397665792	1459167232	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984
18	5000000	2369944	75813	2554243	25138004	0	6407133	64383275	0	15165306	367691	1.064975	4.292527	2.180063	0.000084	0.000000	0.000118	0.000060	0.000058	5.794240	13.351074	0.019066	1390661632	1390661632	1708662784	1708662784	1391353856	1410314240	1408917504	1408917504	1408917504	1408917504	1408917504	1408917504	1408917504	1531789312	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984	1935273984
19	5000000	2520494	88392	2391114	23079484	0	5852301	70235576	1	17685800	456083	1.076181	6.491328	4.103595	0.000072	0.000000	0.000139	0.000058	0.000081	6.261659	17.953176	0.020202	1452027904	1452027904	1769844736	1769844736	2526294016	2546458624	2503557120	2503557120	2503557120	2503557120	2503557120	2503557120	2503557120	2644484096	1935273984	1935273984	1935273984	1935273984	3640291328	3640291328	3640291328	3640291328	3640291328	3640291328	3640291328	3640291328	3640291328	3640291328
