time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-21T05:26:29	2300	1345	53.0	0
2026-09-21T05:27:29	3492	1403	59.0	0
2026-09-21T05:28:29	3385	1373	62.0	0
2026-09-21T05:29:29	3402	1322	63.0	0
2026-09-21T05:30:29	3421	1338	65.0	0
2026-09-21T05:31:29	3492	1327	64.0	0
2026-09-21T05:32:29	3500	1429	67.0	0
2026-09-21T05:33:29	3302	1310	66.0	0
2026-09-21T05:34:29	3193	1389	66.0	0
2026-09-21T05:35:29	3500	1411	68.0	0
2026-09-21T05:36:29	3500	1370	67.0	0
2026-09-21T05:37:29	3492	1313	68.0	0
2026-09-21T05:38:29	3492	1328	69.0	0
2026-09-21T05:39:29	3500	1395	70.0	0
2026-09-21T05:40:29	3427	1299	69.0	0
2026-09-21T05:41:29	3500	1394	68.0	0
2026-09-21T05:42:29	3403	1361	67.0	0
2026-09-21T05:43:29	3254	1337	67.0	0
2026-09-21T05:44:29	3413	1501	68.0	0
2026-09-21T05:45:30	3330	1388	68.0	0
