round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000133	0.000197	0.000318	0.000079	0.000215	0.000173	0.000084	0.000089	0.000294	0.051702	0.050293	22441984	22573056	22573056	22573056	22642688	22642688	22642688	22642688	22642688	22704128	22704128	22704128	22704128	22704128	22573056	22573056	22573056	22573056	22642688	22642688	22642688	22642688	22642688	22704128	22704128	22704128	22704128	22704128
2	4	0	0	4	17	0	17	22	0	0	0	0.000120	0.000150	0.000232	0.000077	0.000000	0.000158	0.000087	0.000072	0.000298	0.001837	0.000802	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664	22769664
3	17	4	0	13	96	0	82	104	0	4	0	0.000118	0.000170	0.000228	0.000077	0.000000	0.000146	0.000075	0.000071	0.000316	0.001849	0.000794	22769664	22769664	22769664	22769664	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22769664	22769664	22769664	22769664	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856
4	82	24	0	58	510	0	447	551	0	28	0	0.000130	0.000213	0.000241	0.000091	0.000000	0.000141	0.000071	0.000070	0.000389	0.001999	0.000794	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856	22777856
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000109	0.000470	0.000326	0.000078	0.000000	0.000142	0.000071	0.000071	0.000853	0.002825	0.000848	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22777856	22777856	22777856	22777856	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000112	0.001530	0.000709	0.000090	0.000000	0.000153	0.000076	0.000077	0.002572	0.006069	0.000902	22790144	22790144	22790144	22790144	22904832	22904832	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23097344	22790144	22790144	22790144	22790144	22904832	22904832	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23396352
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000130	0.005549	0.002128	0.000088	0.000000	0.000171	0.000091	0.000080	0.009402	0.018374	0.000906	23097344	23097344	23097344	23097344	23261184	23277568	24018944	24018944	24018944	24018944	24018944	24018944	24018944	24801280	23396352	23396352	23396352	23396352	23396352	23396352	24018944	24018944	24018944	24018944	24018944	24018944	24018944	26546176
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000162	0.016896	0.006306	0.000097	0.000000	0.000130	0.000074	0.000056	0.026048	0.050475	0.000836	24801280	24801280	24801280	24801280	25427968	25534464	28536832	28536832	28536832	28536832	28536832	28536832	28536832	29585408	26546176	26546176	26546176	26546176	26546176	26546176	28536832	28536832	28536832	28536832	28536832	28536832	28536832	35590144
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000237	0.061959	0.022597	0.000080	0.000000	0.000118	0.000060	0.000058	0.115599	0.201513	0.000923	29585408	29585408	29585408	29585408	31502336	31502336	39747584	39747584	39747584	39747584	39747584	39747584	39747584	41615360	35590144	35590144	35590144	35590144	35590144	35590144	39915520	39915520	39915520	39915520	39915520	39915520	39915520	74321920
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.001371	0.265394	0.069437	0.000101	0.000000	0.000116	0.000057	0.000058	0.429536	0.769884	0.003928	41615360	41615360	41615360	41615360	88281088	88281088	91205632	91205632	91205632	91205632	91205632	91205632	91205632	113356800	74321920	74321920	74321920	74321920	88281088	88281088	98508800	98508800	98508800	98508800	98508800	98508800	98508800	180441088
