time_jst	freq_max_mhz	freq_mean_mhz	pkg_temp_c	throttle
2026-09-22T00:25:22	2597	1546	54.0	0
2026-09-22T00:26:23	3500	1491	58.0	0
2026-09-22T00:27:23	3413	1469	61.0	0
2026-09-22T00:28:23	3492	1404	59.0	0
2026-09-22T00:29:23	3492	1375	61.0	0
2026-09-22T00:30:23	3444	1330	61.0	0
2026-09-22T00:31:23	3492	1326	64.0	0
2026-09-22T00:32:23	3419	1289	63.0	0
2026-09-22T00:33:23	3443	1317	64.0	0
2026-09-22T00:34:23	3310	1295	65.0	0
2026-09-22T00:35:23	3359	1306	60.0	0
2026-09-22T00:36:23	3209	1339	58.0	0
2026-09-22T00:37:23	3487	1307	60.0	0
2026-09-22T00:38:23	3492	1305	62.0	0
2026-09-22T00:39:23	3328	1369	66.0	0
2026-09-22T00:40:23	3502	1378	65.0	0
