round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000144	0.000179	0.000285	0.000077	0.000215	0.000156	0.000083	0.000073	0.000285	0.051140	0.049799	22482944	22614016	22614016	22614016	22683648	22683648	22683648	22683648	22683648	22745088	22745088	22745088	22745088	22745088	22614016	22614016	22614016	22614016	22683648	22683648	22683648	22683648	22683648	22745088	22745088	22745088	22745088	22745088
2	4	0	0	4	17	0	17	22	0	0	0	0.000106	0.000145	0.000220	0.000076	0.000000	0.000139	0.000069	0.000070	0.000280	0.001744	0.000777	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624
3	17	4	0	13	96	0	82	104	0	4	0	0.000104	0.000157	0.000218	0.000077	0.000000	0.000139	0.000070	0.000069	0.000278	0.001751	0.000777	22810624	22810624	22810624	22810624	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22810624	22810624	22810624	22810624	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720
4	82	24	0	58	510	0	447	551	0	28	0	0.000104	0.000200	0.000222	0.000078	0.000000	0.000138	0.000069	0.000069	0.000280	0.001806	0.000785	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720	22814720
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000109	0.000444	0.000281	0.000077	0.000000	0.000138	0.000069	0.000069	0.000314	0.002179	0.000814	22814720	22814720	22814720	22814720	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22814720	22814720	22814720	22814720	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008	22827008
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000109	0.001478	0.000324	0.000078	0.000000	0.000155	0.000085	0.000070	0.000509	0.003481	0.000827	22827008	22827008	22827008	22827008	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	23126016	22827008	22827008	22827008	22827008	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	22941696	23126016
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000120	0.005358	0.000368	0.000079	0.000000	0.000141	0.000071	0.000070	0.001095	0.008031	0.000870	23007232	23007232	23007232	23007232	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23629824	23007232	23007232	23007232	23007232	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23400448	23629824
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000216	0.019675	0.000930	0.000079	0.000000	0.000160	0.000071	0.000090	0.003273	0.025257	0.000924	23400448	23400448	23502848	23502848	24883200	24883200	25198592	25198592	25198592	25198592	25198592	25198592	25198592	25853952	23400448	23400448	23502848	23502848	24883200	24883200	25198592	25198592	25198592	25198592	25198592	25198592	25198592	26771456
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000615	0.074400	0.002778	0.000081	0.000000	0.000141	0.000071	0.000070	0.010127	0.089527	0.001385	24997888	24997888	25726976	25726976	29687808	30003200	30334976	30334976	30334976	30334976	30334976	30334976	30334976	30134272	26771456	26771456	26771456	26771456	29687808	30003200	31649792	31649792	31649792	31649792	31649792	31649792	31649792	37871616
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002412	0.261854	0.007168	0.000112	0.000000	0.000130	0.000072	0.000058	0.036652	0.310303	0.001976	27361280	27361280	32772096	32772096	69468160	70918144	79724544	79724544	79724544	79724544	79724544	79724544	79724544	97218560	37871616	37871616	37871616	37871616	81297408	81297408	81297408	81297408	81297408	81297408	81297408	81297408	81297408	97218560
