round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000128	0.000178	0.000293	0.000076	0.000213	0.000168	0.000083	0.000085	0.000286	0.050549	0.049207	22462464	22593536	22593536	22593536	22663168	22663168	22663168	22663168	22663168	22724608	22724608	22724608	22724608	22724608	22593536	22593536	22593536	22593536	22663168	22663168	22663168	22663168	22663168	22724608	22724608	22724608	22724608	22724608
2	4	0	0	4	17	0	17	22	0	0	0	0.000102	0.000144	0.000222	0.000076	0.000000	0.000154	0.000070	0.000083	0.000290	0.001790	0.000801	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144	22790144
3	17	4	0	13	96	0	82	104	0	4	0	0.000101	0.000160	0.000215	0.000075	0.000000	0.000139	0.000069	0.000070	0.000281	0.001772	0.000801	22790144	22790144	22790144	22790144	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22790144	22790144	22790144	22790144	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336
4	82	24	0	58	510	0	447	551	0	28	0	0.000102	0.000187	0.000222	0.000075	0.000000	0.000138	0.000069	0.000069	0.000285	0.001797	0.000789	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000101	0.000327	0.000226	0.000076	0.000000	0.000155	0.000086	0.000069	0.000302	0.001983	0.000795	22798336	22798336	22798336	22798336	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22798336	22798336	22798336	22798336	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624	22810624
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000129	0.000855	0.000251	0.000078	0.000000	0.000140	0.000070	0.000070	0.000603	0.002901	0.000845	22810624	22810624	22810624	22810624	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	23109632	22810624	22810624	22810624	22810624	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	23109632
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000125	0.002902	0.000366	0.000081	0.000000	0.000144	0.000074	0.000070	0.001115	0.005631	0.000899	22990848	22990848	22990848	22990848	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23613440	22990848	22990848	22990848	22990848	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23384064	23613440
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000237	0.010738	0.000901	0.000079	0.000000	0.000154	0.000071	0.000083	0.003256	0.016318	0.000953	23384064	23384064	23486464	23486464	24866816	24866816	25182208	25182208	25182208	25182208	25182208	25182208	25182208	25837568	23396352	23396352	23486464	23486464	24866816	24866816	25182208	25182208	25182208	25182208	25182208	25182208	25182208	26783744
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000604	0.039373	0.002375	0.000066	0.000000	0.000115	0.000057	0.000057	0.008273	0.052011	0.001205	24981504	24981504	25710592	25710592	29671424	29986816	30318592	30318592	30318592	30318592	30318592	30318592	30318592	30117888	26783744	26783744	26783744	26783744	29671424	29986816	31711232	31711232	31711232	31711232	31711232	31711232	31711232	37883904
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002192	0.162483	0.007123	0.000062	0.000000	0.000140	0.000055	0.000085	0.041096	0.214941	0.001845	27344896	27344896	32755712	32755712	69451776	70901760	79708160	79708160	79708160	79708160	79708160	79708160	79708160	97202176	37883904	37883904	37883904	37883904	81309696	81309696	81309696	81309696	81309696	81309696	81309696	81309696	81309696	97202176
11	1095851	441814	4375	649662	6408513	0	2954532	4542137	2	625629	5452	0.002865	0.635646	0.038824	0.000067	0.000000	0.000111	0.000056	0.000055	0.136746	0.819640	0.005381	97202176	97202176	97226752	97226752	212758528	216584192	239542272	239542272	239542272	239542272	239542272	239542272	239542272	263266304	97202176	97202176	97226752	97226752	276430848	276430848	276430848	276430848	276430848	276430848	276430848	276430848	276430848	310210560
12	2954532	1185217	16239	1753076	17195492	0	7196129	11738266	1	1810846	21691	0.024537	1.586415	0.153589	0.000098	0.000000	0.000140	0.000069	0.000070	0.374931	2.148622	0.008912	239628288	239628288	263266304	263266304	442650624	442650624	457957376	457957376	457957376	457957376	457957376	457957376	457957376	442650624	310210560	310210560	310210560	310210560	562814976	562814976	562814976	562814976	562814976	562814976	562814976	562814976	562814976	577458176
13	5000000	2186385	43896	2769719	27836473	0	10358000	22096266	1	3997231	65587	0.060777	2.775495	0.252828	0.000077	0.000000	0.000128	0.000064	0.000064	0.443784	3.571745	0.038656	385081344	385081344	425082880	425082880	778248192	810229760	853590016	853590016	853590016	853590016	853590016	853590016	853590016	887332864	577458176	577458176	577458176	577458176	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048
14	5000000	2317482	45104	2637414	26907699	0	8701626	30797892	0	6314713	110691	0.053303	2.212056	0.139220	0.000102	0.000000	0.000116	0.000057	0.000058	0.484630	2.918122	0.028695	684654592	684654592	724656128	724656128	793780224	812318720	812449792	812449792	812449792	812449792	812449792	812449792	812449792	873619456	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048	1081602048
15	5000000	2184299	29740	2785961	27004443	0	8452933	39250825	1	8499012	140431	0.056456	3.178259	0.336055	0.000125	0.000000	0.000190	0.000095	0.000095	0.453720	4.044040	0.019234	686096384	686096384	726097920	726097920	1330221056	1348825088	1373757440	1373757440	1373757440	1373757440	1373757440	1373757440	1373757440	1383804928	1081602048	1081602048	1081602048	1081602048	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928
16	5000000	2277878	97320	2624802	25421026	0	8336624	47587449	0	10776890	237751	0.039432	2.069314	0.172820	0.000074	0.000000	0.000121	0.000060	0.000061	0.542574	2.846071	0.021735	1306132480	1306132480	1346134016	1346134016	1372827648	1391116288	1391116288	1391116288	1391116288	1391116288	1391116288	1391116288	1391116288	1442484224	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928
17	5000000	2304997	58326	2636677	26502165	0	7836035	55423484	0	13081887	296077	0.038633	2.145646	0.338722	0.000078	0.000000	0.000127	0.000063	0.000064	0.460369	3.003494	0.019919	1300447232	1300447232	1340448768	1340448768	1363136512	1381801984	1410015232	1410015232	1410015232	1410015232	1410015232	1410015232	1410015232	1454891008	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928
18	5000000	2473861	48806	2477333	24383719	0	6791716	62215200	0	15555748	344883	0.016738	2.128812	0.187527	0.000079	0.000000	0.000145	0.000065	0.000079	0.389003	2.741148	0.018844	1367838720	1367838720	1367838720	1367838720	1422176256	1442111488	1413136384	1413136384	1413136384	1413136384	1413136384	1413136384	1413136384	1415516160	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928	1919356928
19	5000000	2578417	55576	2366007	22673628	0	5768148	67983348	1	18134165	400459	0.040401	4.034370	0.348128	0.000099	0.000000	0.000162	0.000081	0.000081	0.444094	4.888256	0.021002	1354129408	1354129408	1394130944	1394130944	2474016768	2494644224	2509578240	2509578240	2509578240	2509578240	2509578240	2509578240	2509578240	2544734208	1919356928	1919356928	1919356928	1919356928	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
20	5000000	2697195	207241	2095564	20321873	0	6040927	74024275	0	20831360	607700	0.017900	1.774492	0.149752	0.000087	0.000000	0.000125	0.000063	0.000062	0.436025	2.399238	0.020859	2477203456	2477203456	2477203456	2477203456	2525532160	2547109888	2522722304	2522722304	2522722304	2522722304	2522722304	2522722304	2522722304	2588561408	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
21	5000000	2573318	61195	2365487	22438434	0	5060722	79084997	0	23404678	668895	0.016329	1.814540	0.347141	0.000155	0.000000	0.000230	0.000115	0.000115	0.420124	2.623033	0.024514	2512703488	2512703488	2512703488	2512703488	2512703488	2533289984	2576580608	2576580608	2576580608	2576580608	2576580608	2576580608	2576580608	2688786432	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
22	5000000	2682186	96775	2221039	23331495	0	5528956	84613953	0	26086864	765670	0.018827	1.845266	0.111041	0.000104	0.000000	0.000123	0.000061	0.000062	0.478208	2.476870	0.023302	2576580608	2576580608	2576580608	2576580608	2576580608	2598035456	2557067264	2557067264	2557067264	2557067264	2557067264	2557067264	2557067264	2673987584	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
23	5000000	2680252	52928	2266820	21295709	0	4844300	89458253	0	28767116	818598	0.017226	1.796732	0.245152	0.000115	0.000000	0.000172	0.000085	0.000087	0.230637	2.306145	0.016111	2557067264	2557067264	2557067264	2557067264	2557067264	2578509824	2614136832	2614136832	2614136832	2614136832	2614136832	2614136832	2614136832	2614136832	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
24	5000000	2615312	88535	2296153	20026754	0	4690848	94149101	0	31382428	907133	0.020313	1.767262	0.308350	0.000099	0.000000	0.000184	0.000083	0.000101	0.385331	2.506428	0.024888	2614136832	2614136832	2614136832	2614136832	2614136832	2635059200	2646835200	2646835200	2646835200	2646835200	2646835200	2646835200	2646835200	2763022336	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
25	5000000	2673346	141583	2185071	19709752	0	5434587	99583688	0	34055774	1048716	0.016617	1.768485	0.211100	0.000090	0.000000	0.000142	0.000062	0.000079	0.388504	2.408209	0.023271	2646835200	2646835200	2646835200	2646835200	2646835200	2668224512	2668224512	2668224512	2668224512	2668224512	2668224512	2668224512	2668224512	2785415168	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
26	5000000	2627994	227056	2144950	19325458	0	5641573	105225261	0	36683768	1275772	0.016398	1.780543	0.251008	0.000075	0.000000	0.000122	0.000061	0.000061	0.248058	2.311460	0.015256	2668224512	2668224512	2668224512	2668224512	2668224512	2689245184	2689245184	2689245184	2689245184	2689245184	2689245184	2689245184	2689245184	2689245184	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
27	5000000	2751934	74191	2173875	19471629	0	4378051	109603312	0	39435702	1349963	0.020044	1.772058	0.164025	0.000075	0.000000	0.000125	0.000063	0.000062	0.257490	2.233380	0.019562	2689245184	2689245184	2689245184	2689245184	2689245184	2711261184	2686574592	2686574592	2686574592	2686574592	2686574592	2686574592	2686574592	2727067648	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
28	5000000	2686246	171315	2142439	20170324	0	4762300	114365612	0	42121948	1521278	0.021086	1.851112	0.299035	0.000103	0.000000	0.000141	0.000071	0.000071	0.256291	2.446774	0.019006	2686574592	2686574592	2686574592	2686574592	2686574592	2708066304	2713960448	2713960448	2713960448	2713960448	2713960448	2713960448	2713960448	2752548864	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848	3621326848
