round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000146	0.000209	0.000326	0.000087	0.000242	0.000178	0.000094	0.000083	0.000311	0.055639	0.054141	22724608	22855680	22855680	22859776	22929408	22929408	22929408	22929408	22929408	22990848	22990848	22990848	22990848	22990848	22855680	22855680	22855680	22859776	22929408	22929408	22929408	22929408	22929408	22990848	22990848	22990848	22990848	22990848
2	4	0	0	4	17	0	17	22	0	0	0	0.000117	0.000155	0.000251	0.000088	0.000000	0.000162	0.000082	0.000081	0.000302	0.001968	0.000893	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384
3	17	4	0	13	96	0	82	104	0	4	0	0.000114	0.000158	0.000244	0.000086	0.000000	0.000159	0.000080	0.000079	0.000324	0.001943	0.000858	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384
4	82	24	0	58	510	0	447	551	0	28	0	0.000111	0.000186	0.000236	0.000085	0.000000	0.000159	0.000080	0.000079	0.000321	0.001971	0.000872	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384	23056384
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000114	0.000340	0.000244	0.000087	0.000000	0.000165	0.000085	0.000080	0.000352	0.002209	0.000907	23056384	23056384	23056384	23056384	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23101440	23056384	23056384	23056384	23056384	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23068672	23101440
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000120	0.000888	0.000284	0.000089	0.000000	0.000160	0.000081	0.000079	0.000569	0.003087	0.000977	23101440	23101440	23101440	23101440	23183360	23183360	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23367680	23101440	23101440	23101440	23101440	23183360	23183360	23207936	23207936	23207936	23207936	23207936	23207936	23207936	23367680
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000132	0.003010	0.000410	0.000091	0.000000	0.000159	0.000080	0.000079	0.001107	0.005882	0.000973	23248896	23248896	23248896	23248896	23678976	23678976	23711744	23711744	23711744	23711744	23711744	23711744	23711744	23941120	23248896	23248896	23248896	23248896	23678976	23678976	23711744	23711744	23711744	23711744	23711744	23711744	23711744	23941120
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000221	0.011058	0.000941	0.000088	0.000000	0.000168	0.000079	0.000089	0.003187	0.016711	0.001047	23711744	23711744	23814144	23814144	25194496	25194496	25563136	25563136	25563136	25563136	25563136	25563136	25563136	26165248	23855104	23855104	23855104	23855104	25194496	25194496	25563136	25563136	25563136	25563136	25563136	25563136	25563136	27066368
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000624	0.037727	0.002185	0.000073	0.000000	0.000129	0.000065	0.000064	0.008215	0.050133	0.001178	25309184	25309184	26038272	26038272	29999104	30314496	30445568	30445568	30445568	30445568	30445568	30445568	30445568	30445568	27066368	27066368	27066368	27066368	29999104	30314496	31727616	31727616	31727616	31727616	31727616	31727616	31727616	37937152
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002156	0.159406	0.007062	0.000070	0.000000	0.000156	0.000093	0.000063	0.032344	0.203115	0.001922	27672576	27672576	33083392	33083392	69783552	71229440	80031744	80031744	80031744	80031744	80031744	80031744	80031744	97529856	37937152	37937152	37937152	37937152	81567744	81567744	81567744	81567744	81567744	81567744	81567744	81567744	81567744	97529856
