round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000135	0.000185	0.000308	0.000082	0.000214	0.000163	0.000087	0.000077	0.000310	0.050261	0.048863	22687744	22818816	22818816	22827008	22896640	22896640	22896640	22896640	22896640	22958080	22958080	22958080	22958080	22958080	22818816	22818816	22818816	22827008	22896640	22896640	22896640	22896640	22896640	22958080	22958080	22958080	22958080	22958080
2	4	0	0	4	17	0	17	22	0	0	0	0.000107	0.000159	0.000231	0.000081	0.000000	0.000148	0.000075	0.000073	0.000310	0.001843	0.000808	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616
3	17	4	0	13	96	0	82	104	0	4	0	0.000104	0.000162	0.000222	0.000080	0.000000	0.000147	0.000074	0.000073	0.000308	0.001818	0.000794	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616
4	82	24	0	58	510	0	447	551	0	28	0	0.000105	0.000190	0.000225	0.000079	0.000000	0.000146	0.000073	0.000073	0.000302	0.001852	0.000804	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616	23023616
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000107	0.000334	0.000312	0.000091	0.000000	0.000147	0.000074	0.000073	0.000339	0.002161	0.000831	23023616	23023616	23023616	23023616	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23068672	23023616	23023616	23023616	23023616	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23035904	23068672
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000116	0.000848	0.000274	0.000083	0.000000	0.000168	0.000093	0.000075	0.000505	0.002884	0.000890	23068672	23068672	23068672	23068672	23150592	23150592	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23334912	23068672	23068672	23068672	23068672	23150592	23150592	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23334912
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000125	0.002873	0.000387	0.000085	0.000000	0.000148	0.000075	0.000073	0.001122	0.005649	0.000910	23216128	23216128	23216128	23216128	23646208	23646208	23678976	23678976	23678976	23678976	23678976	23678976	23678976	23908352	23216128	23216128	23216128	23216128	23646208	23646208	23678976	23678976	23678976	23678976	23678976	23678976	23678976	23908352
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000221	0.010464	0.000949	0.000085	0.000000	0.000148	0.000075	0.000073	0.003204	0.016060	0.000989	23678976	23678976	23781376	23781376	25161728	25161728	25530368	25530368	25530368	25530368	25530368	25530368	25530368	26132480	23855104	23855104	23855104	23855104	25161728	25161728	25530368	25530368	25530368	25530368	25530368	25530368	25530368	27066368
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000604	0.034238	0.002410	0.000070	0.000000	0.000125	0.000063	0.000061	0.009045	0.047773	0.001282	25276416	25276416	26005504	26005504	29966336	30281728	30412800	30412800	30412800	30412800	30412800	30412800	30412800	30412800	27066368	27066368	27066368	27066368	29966336	30281728	31965184	31965184	31965184	31965184	31965184	31965184	31965184	37937152
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002466	0.151735	0.007502	0.000066	0.000000	0.000136	0.000076	0.000060	0.040915	0.204688	0.001868	27639808	27639808	33050624	33050624	69750784	71196672	79998976	79998976	79998976	79998976	79998976	79998976	79998976	97497088	37937152	37937152	37937152	37937152	81567744	81567744	81567744	81567744	81567744	81567744	81567744	81567744	81567744	97497088
