round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000135	0.000179	0.000297	0.000080	0.000217	0.000182	0.000099	0.000083	0.000304	0.053057	0.051663	22847488	22978560	22978560	22978560	23048192	23048192	23048192	23048192	23048192	23109632	23109632	23109632	23109632	23109632	22978560	22978560	22978560	22978560	23048192	23048192	23048192	23048192	23048192	23109632	23109632	23109632	23109632	23109632
2	4	0	0	4	17	0	17	22	0	0	0	0.000125	0.000149	0.000229	0.000079	0.000000	0.000155	0.000077	0.000077	0.000303	0.001870	0.000831	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168	23175168
3	17	4	0	13	96	0	82	104	0	4	0	0.000111	0.000158	0.000222	0.000092	0.000000	0.000150	0.000074	0.000075	0.000288	0.001833	0.000811	23175168	23175168	23175168	23175168	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23175168	23175168	23175168	23175168	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264
4	82	24	0	58	510	0	447	551	0	28	0	0.000111	0.000171	0.000223	0.000100	0.000000	0.000152	0.000075	0.000076	0.000295	0.001861	0.000809	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264	23179264
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000112	0.000302	0.000236	0.000080	0.000000	0.000152	0.000075	0.000077	0.000322	0.002044	0.000839	23179264	23179264	23179264	23179264	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23207936	23179264	23179264	23179264	23179264	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23191552	23207936
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000114	0.000817	0.000272	0.000086	0.000000	0.000154	0.000076	0.000077	0.000556	0.002900	0.000902	23207936	23207936	23207936	23207936	23306240	23306240	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23490560	23207936	23207936	23207936	23207936	23306240	23306240	23334912	23334912	23334912	23334912	23334912	23334912	23334912	23490560
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000126	0.002754	0.000399	0.000083	0.000000	0.000151	0.000075	0.000075	0.001113	0.005526	0.000901	23371776	23371776	23371776	23371776	23801856	23801856	23834624	23834624	23834624	23834624	23834624	23834624	23834624	24064000	23371776	23371776	23371776	23371776	23801856	23801856	23834624	23834624	23834624	23834624	23834624	23834624	23834624	24064000
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000214	0.010048	0.000942	0.000095	0.000000	0.000152	0.000076	0.000076	0.003231	0.015640	0.000959	23834624	23834624	23937024	23937024	25317376	25317376	25690112	25690112	25690112	25690112	25690112	25690112	25690112	26292224	23834624	23834624	23937024	23937024	25317376	25317376	25690112	25690112	25690112	25690112	25690112	25690112	25690112	27250688
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000605	0.038996	0.002554	0.000089	0.000000	0.000153	0.000076	0.000077	0.010167	0.053914	0.001351	25436160	25436160	26161152	26161152	30121984	30437376	30568448	30568448	30568448	30568448	30568448	30568448	30568448	30568448	27250688	27250688	27250688	27250688	30121984	30437376	32120832	32120832	32120832	32120832	32120832	32120832	32120832	38092800
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.002756	0.145415	0.007080	0.000066	0.000000	0.000119	0.000060	0.000059	0.041640	0.198914	0.001838	27795456	27795456	33210368	33210368	69910528	71356416	80162816	80162816	80162816	80162816	80162816	80162816	80162816	97656832	38092800	38092800	38092800	38092800	82108416	82108416	82108416	82108416	82108416	82108416	82108416	82108416	82108416	97656832
