round	n_in	n_win	n_lose	n_uk	n_new_pre	n_new_uniq	n_new_post	n_seen	n_rehash	n_catch_total	n_try_total	F0	F1	F2	F3	S	F4	F4_diff	F4_union	F5	round_total	residual	rss_start	rss_F0_begin	rss_F0	rss_F1_begin	rss_F1	rss_F2_begin	rss_F2	rss_F3_begin	rss_F3	rss_F4_begin	rss_F4_mid	rss_F4	rss_F5_begin	rss_F5	hwm_start	hwm_F0_begin	hwm_F0	hwm_F1_begin	hwm_F1	hwm_F2_begin	hwm_F2	hwm_F3_begin	hwm_F3	hwm_F4_begin	hwm_F4_mid	hwm_F4	hwm_F5_begin	hwm_F5
1	1	0	0	1	4	0	4	5	0	0	0	0.000128	0.000201	0.000093	0.000085	0.000000	0.000165	0.000083	0.000081	0.000170	0.001779	0.000937	22597632	22728704	22728704	22728704	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22728704	22728704	22728704	22728704	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336	22798336
2	4	0	0	4	17	0	17	22	0	0	0	0.000101	0.000158	0.000088	0.000084	0.000000	0.000180	0.000082	0.000099	0.000167	0.001549	0.000770	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312
3	17	4	0	13	96	0	82	104	0	4	0	0.000085	0.000172	0.000089	0.000084	0.000000	0.000163	0.000081	0.000082	0.000182	0.001533	0.000759	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312
4	82	24	0	58	510	0	447	551	0	28	0	0.000085	0.000197	0.000105	0.000084	0.000000	0.000159	0.000079	0.000080	0.000155	0.001530	0.000746	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312	22925312
5	447	131	0	316	2509	0	1960	2511	0	159	0	0.000084	0.000312	0.000094	0.000086	0.000000	0.000160	0.000079	0.000081	0.000156	0.001681	0.000788	22925312	22925312	22925312	22925312	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22925312	22925312	22925312	22925312	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600	22937600
6	1960	687	2	1271	10840	0	7714	10225	0	846	2	0.000083	0.000837	0.000100	0.000085	0.000000	0.000160	0.000080	0.000080	0.000228	0.002308	0.000815	22937600	22937600	22937600	22937600	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23113728	22937600	22937600	22937600	22937600	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23052288	23113728
7	7714	3005	15	4694	43237	0	28583	38808	0	3851	17	0.000083	0.002804	0.000103	0.000087	0.000000	0.000158	0.000079	0.000079	0.000335	0.004399	0.000830	23113728	23113728	23113728	23113728	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23801856	23113728	23113728	23113728	23113728	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23572480	23801856
8	28583	10041	41	18501	169739	0	106762	145570	0	13892	58	0.000083	0.010438	0.000249	0.000082	0.000000	0.000154	0.000076	0.000077	0.000820	0.012714	0.000889	23572480	23572480	23572480	23572480	25141248	25141248	25329664	25329664	25329664	25329664	25329664	25329664	25329664	26185728	23572480	23572480	23572480	23572480	25141248	25141248	25329664	25329664	25329664	25329664	25329664	25329664	25329664	26185728
9	106762	41609	225	64928	610934	0	346184	491754	0	55501	283	0.000085	0.040273	0.000610	0.000080	0.000000	0.000170	0.000093	0.000077	0.002214	0.044618	0.001186	25329664	25329664	25329664	25329664	29810688	30130176	30851072	30851072	30851072	30851072	30851072	30851072	30851072	33624064	25870336	25870336	25870336	25870336	29810688	30130176	30851072	30851072	30851072	30851072	30851072	30851072	30851072	33624064
10	346184	128314	794	217076	2070403	0	1095851	1587605	2	183815	1077	0.000085	0.144949	0.001574	0.000083	0.000000	0.000124	0.000061	0.000063	0.005990	0.154598	0.001793	30851072	30851072	30851072	30851072	70332416	71782400	74244096	74244096	74244096	74244096	74244096	74244096	74244096	83013632	33210368	33210368	33210368	33210368	82542592	82542592	82542592	82542592	82542592	82542592	82542592	82542592	82542592	83013632
